Time ,Mass_1 (kg),Q_1 (kJ),Mass_2 (kg),Q_2 (kJ),Mass_3 (kg),Q_3 (kJ),Mass_4 (kg),Q_4 (kJ)
80,0.00452,54.24,0.00679,81.48,0.00905,108.6,0.0113,135.6
90,0.00452,54.24,0.00679,81.48,0.00905,108.6,0.0113,135.6
100,0.00452,54.24,0.00679,81.48,0.00905,108.6,0.0113,135.6
