s,kW/m2,C,kg/m2/s,kW/m2,m
FDS Time,"Net Heat Flux","Surface Temperature","Burn Rate","External Heat Flux","Thickness"
 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 0.0000000E+000,-4.6526452E-011, 2.5000000E-002
 8.9999998E-001, 4.4111806E+001, 1.2211370E+002, 6.2612735E-011, 5.0000000E+001, 2.5000000E-002
 1.8000000E+000, 4.2966603E+001, 1.9288499E+002, 5.2608587E-008, 5.0000000E+001, 2.5000000E-002
 2.7100000E+000, 4.1910902E+001, 2.3741057E+002, 2.8232141E-006, 5.0000000E+001, 2.4999999E-002
 3.6099999E+000, 4.0884023E+001, 2.7169564E+002, 4.4243332E-005, 5.0000000E+001, 2.4999969E-002
 4.5100002E+000, 3.9899664E+001, 2.9936929E+002, 3.3234459E-004, 5.0000000E+001, 2.4999696E-002
 5.4099998E+000, 3.9032513E+001, 3.2078146E+002, 1.3945787E-003, 5.0000000E+001, 2.4998290E-002
 6.3099999E+000, 3.8413296E+001, 3.3473016E+002, 3.3970240E-003, 5.0000000E+001, 2.4994050E-002
 7.2100000E+000, 3.8065209E+001, 3.4214634E+002, 5.4864486E-003, 5.0000000E+001, 2.4985981E-002
 8.1099997E+000, 3.7884625E+001, 3.4588678E+002, 7.1177183E-003, 5.0000000E+001, 2.4974550E-002
 9.0100002E+000, 3.7786627E+001, 3.4788866E+002, 8.3500717E-003, 5.0000000E+001, 2.4960568E-002
 9.9099998E+000, 3.7744981E+001, 3.4873874E+002, 8.6574987E-003, 5.0000000E+001, 2.4944945E-002
 1.0810000E+001, 3.7624556E+001, 3.5117752E+002, 9.7017807E-003, 5.0000000E+001, 2.4928746E-002
 1.1710000E+001, 3.7592007E+001, 3.5181900E+002, 1.0604211E-002, 5.0000000E+001, 2.4910387E-002
 1.2610000E+001, 3.7593780E+001, 3.5181133E+002, 1.0748741E-002, 5.0000000E+001, 2.4890846E-002
 1.3510000E+001, 3.7510606E+001, 3.5345490E+002, 1.1331793E-002, 5.0000000E+001, 2.4871357E-002
