Temp,Mass
23.85012,1
24.85012,0.9972929
25.85012,0.997259
26.85012,0.9973545
27.85012,0.9973027
28.85012,0.9972767
29.85012,0.997191
30.85012,0.997112
31.85012,0.9970514
32.85012,0.9968857
33.85012,0.9967005
34.85012,0.9964921
35.85012,0.9962587
36.85012,0.9959738
37.85012,0.9956632
38.85012,0.9953708
39.85012,0.9949015
40.85012,0.9945018
41.85012,0.9940136
42.85012,0.99354
43.85012,0.993034
44.85012,0.9925427
45.85012,0.991946
46.85012,0.9913718
47.85012,0.9908145
48.85012,0.9902353
49.85012,0.9896601
50.85012,0.9890998
51.85012,0.9885391
52.85012,0.987903
53.85012,0.987313
54.85012,0.9867453
55.85012,0.9860581
56.85012,0.985458
57.85012,0.984833
58.85012,0.9843103
59.85012,0.9837288
60.85012,0.9830956
61.85012,0.9825753
62.85012,0.9820497
63.85012,0.9814395
64.85012,0.9809509
65.85012,0.9804438
66.85012,0.9799262
67.85012,0.9794276
68.85012,0.978998
69.85012,0.978569
70.85012,0.9781615
71.85012,0.9777878
72.85012,0.9773652
73.85012,0.9770122
74.85012,0.9767148
75.85012,0.9764093
76.85012,0.9761193
77.85012,0.9757807
78.85012,0.9755411
79.85012,0.9752693
80.85012,0.9750794
81.85012,0.9748321
82.85012,0.9746405
83.85012,0.9744909
84.85012,0.9743253
85.85012,0.9741359
86.85012,0.9739744
87.85012,0.9738299
88.85012,0.9737181
89.85012,0.9735895
90.85012,0.9734825
91.85012,0.9733298
92.85012,0.9732565
93.85012,0.9732072
94.85012,0.9731419
95.85012,0.9730593
96.85012,0.9729955
97.85012,0.9729352
98.85012,0.9728509
99.85012,0.9727886
100.85012,0.97279
101.85012,0.972745
102.85012,0.9727354
103.85012,0.9727027
104.85012,0.9726642
105.85012,0.9726486
106.85012,0.9726531
107.85012,0.9726566
108.85012,0.9725984
109.85012,0.9726106
110.85012,0.9726155
111.85012,0.9725932
112.85012,0.9725726
113.85012,0.9725739
114.85012,0.9725942
115.85012,0.9725844
116.85012,0.9725865
117.85012,0.9726192
118.85012,0.9726188
119.85012,0.9726146
120.85012,0.9726398
121.85012,0.9726063
122.85012,0.9726445
123.85012,0.972662
124.85012,0.972681
125.85012,0.9727506
126.85012,0.9727561
127.85012,0.9727717
128.85012,0.9727396
129.85012,0.9727211
130.85012,0.9727111
131.85012,0.9727271
132.85012,0.9727441
133.85012,0.9727594
134.85012,0.9727624
135.85012,0.9728373
136.85012,0.9727987
137.85012,0.9728697
138.85012,0.9728518
139.85012,0.9728368
140.85012,0.9728714
141.85012,0.9729064
142.85012,0.9728896
143.85012,0.9729114
144.85012,0.9729222
145.85012,0.9729781
146.85012,0.9729965
147.85012,0.9729714
148.85012,0.972978
149.85012,0.9730193
150.85012,0.9729818
151.85012,0.9730128
152.85012,0.9729866
153.85012,0.9730542
154.85012,0.9730472
155.85012,0.9730059
156.85012,0.9730117
157.85012,0.973004
158.85012,0.9729961
159.85012,0.9729965
