Time,Exact
0.00E+00,0.00E+00
1.00E+00,4.88E+00
2.00E+00,2.68E+01
3.00E+00,6.39E+01
4.00E+00,1.14E+02
5.00E+00,1.67E+02
6.00E+00,2.28E+02
7.00E+00,2.85E+02
8.00E+00,3.45E+02
9.00E+00,3.86E+02
1.00E+01,4.22E+02
1.10E+01,4.54E+02
1.20E+01,4.87E+02
1.30E+01,5.11E+02
1.40E+01,5.29E+02
1.50E+01,5.46E+02
1.60E+01,5.64E+02
1.70E+01,5.81E+02
1.80E+01,5.96E+02
1.90E+01,6.10E+02
2.00E+01,6.19E+02
2.10E+01,6.28E+02
2.20E+01,6.35E+02
2.30E+01,6.47E+02
2.40E+01,6.56E+02
2.50E+01,6.63E+02
2.60E+01,6.70E+02
2.70E+01,6.79E+02
2.80E+01,6.81E+02
2.90E+01,6.84E+02
3.00E+01,6.91E+02
3.10E+01,6.99E+02
3.20E+01,7.05E+02
3.30E+01,7.10E+02
3.40E+01,7.14E+02
3.50E+01,7.13E+02
3.60E+01,7.14E+02
3.70E+01,7.21E+02
3.80E+01,7.28E+02
3.90E+01,7.30E+02
4.00E+01,7.31E+02
4.10E+01,7.30E+02
4.20E+01,7.35E+02
4.30E+01,7.38E+02
4.40E+01,7.36E+02
4.50E+01,7.38E+02
4.60E+01,7.42E+02
4.70E+01,7.42E+02
4.80E+01,7.45E+02
4.90E+01,7.52E+02
5.00E+01,7.52E+02
5.10E+01,7.53E+02
5.20E+01,7.57E+02
5.30E+01,7.61E+02
5.40E+01,7.66E+02
5.50E+01,7.65E+02
5.60E+01,7.65E+02
5.70E+01,7.64E+02
5.80E+01,7.66E+02
5.90E+01,7.67E+02
6.00E+01,7.67E+02
6.10E+01,7.68E+02
6.20E+01,7.73E+02
6.30E+01,7.77E+02
6.40E+01,7.80E+02
6.50E+01,7.85E+02
6.60E+01,7.87E+02
6.70E+01,7.89E+02
6.80E+01,7.92E+02
6.90E+01,7.90E+02
7.00E+01,7.90E+02
7.10E+01,7.93E+02
7.20E+01,7.96E+02
7.30E+01,7.95E+02
7.40E+01,7.94E+02
7.50E+01,7.95E+02
7.60E+01,8.01E+02
7.70E+01,8.04E+02
7.80E+01,8.04E+02
7.90E+01,8.01E+02
8.00E+01,8.01E+02
8.10E+01,8.04E+02
8.20E+01,8.06E+02
8.30E+01,8.08E+02
8.40E+01,8.07E+02
8.50E+01,8.09E+02
8.60E+01,8.11E+02
8.70E+01,8.08E+02
8.80E+01,8.08E+02
8.90E+01,8.08E+02
9.00E+01,8.15E+02
9.10E+01,8.20E+02
9.20E+01,8.20E+02
9.30E+01,8.24E+02
9.40E+01,8.27E+02
9.50E+01,8.31E+02
9.60E+01,8.34E+02
9.70E+01,8.36E+02
9.80E+01,8.37E+02
9.90E+01,8.39E+02
1.00E+02,8.47E+02
1.01E+02,8.48E+02
1.02E+02,8.46E+02
1.03E+02,8.52E+02
1.04E+02,8.55E+02
1.05E+02,8.56E+02
1.06E+02,8.56E+02
1.07E+02,8.59E+02
1.08E+02,8.58E+02
1.09E+02,8.58E+02
1.10E+02,8.57E+02
1.11E+02,8.56E+02
1.12E+02,8.56E+02
1.13E+02,8.62E+02
1.14E+02,8.63E+02
1.15E+02,8.67E+02
1.16E+02,8.73E+02
1.17E+02,8.72E+02
1.18E+02,8.73E+02
1.19E+02,8.74E+02
1.20E+02,8.76E+02
1.21E+02,8.77E+02
1.22E+02,8.82E+02
1.23E+02,8.84E+02
1.24E+02,8.89E+02
1.25E+02,8.85E+02
1.26E+02,8.86E+02
1.27E+02,8.95E+02
1.28E+02,8.97E+02
1.29E+02,9.06E+02
1.30E+02,9.06E+02
1.31E+02,9.08E+02
1.32E+02,9.05E+02
1.33E+02,9.06E+02
1.34E+02,9.09E+02
1.35E+02,9.09E+02
1.36E+02,9.07E+02
1.37E+02,9.09E+02
1.38E+02,9.12E+02
1.39E+02,9.14E+02
1.40E+02,9.20E+02
1.41E+02,9.26E+02
1.42E+02,9.29E+02
1.43E+02,9.27E+02
1.44E+02,9.29E+02
1.45E+02,9.30E+02
1.46E+02,9.36E+02
1.47E+02,9.49E+02
1.48E+02,9.55E+02
1.49E+02,9.54E+02
1.50E+02,9.55E+02
1.51E+02,9.56E+02
1.52E+02,9.54E+02
1.53E+02,9.58E+02
1.54E+02,9.61E+02
1.55E+02,9.67E+02
1.56E+02,9.66E+02
1.57E+02,9.62E+02
1.58E+02,9.61E+02
1.59E+02,9.61E+02
1.60E+02,9.64E+02
1.61E+02,9.65E+02
1.62E+02,9.72E+02
1.63E+02,9.77E+02
1.64E+02,9.79E+02
1.65E+02,9.77E+02
1.66E+02,9.80E+02
1.67E+02,9.89E+02
1.68E+02,9.99E+02
1.69E+02,9.97E+02
1.70E+02,1.00E+03
1.71E+02,1.01E+03
1.72E+02,1.01E+03
1.73E+02,1.00E+03
1.74E+02,9.95E+02
1.75E+02,9.94E+02
1.76E+02,9.96E+02
1.77E+02,9.99E+02
1.78E+02,1.01E+03
1.79E+02,1.01E+03
1.80E+02,1.02E+03
1.81E+02,1.02E+03
1.82E+02,1.02E+03
1.83E+02,1.02E+03
1.84E+02,1.02E+03
1.85E+02,1.02E+03
1.86E+02,1.01E+03
1.87E+02,1.00E+03
1.88E+02,9.98E+02
1.89E+02,9.99E+02
1.90E+02,1.00E+03
1.91E+02,1.01E+03
1.92E+02,1.00E+03
1.93E+02,9.97E+02
1.94E+02,9.86E+02
1.95E+02,9.74E+02
1.96E+02,9.61E+02
1.97E+02,9.48E+02
1.98E+02,9.32E+02
1.99E+02,9.22E+02
2.00E+02,9.10E+02
2.01E+02,8.96E+02
2.02E+02,8.88E+02
2.03E+02,8.80E+02
2.04E+02,8.63E+02
2.05E+02,8.60E+02
2.06E+02,8.52E+02
2.07E+02,8.45E+02
2.08E+02,8.35E+02
2.09E+02,8.20E+02
2.10E+02,8.09E+02
2.11E+02,8.02E+02
2.12E+02,7.92E+02
2.13E+02,7.86E+02
2.14E+02,7.78E+02
2.15E+02,7.69E+02
2.16E+02,7.66E+02
2.17E+02,7.63E+02
2.18E+02,7.58E+02
2.19E+02,7.48E+02
2.20E+02,7.37E+02
2.21E+02,7.25E+02
2.22E+02,7.15E+02
2.23E+02,6.96E+02
2.24E+02,6.72E+02
2.25E+02,6.43E+02
2.26E+02,6.10E+02
2.27E+02,5.82E+02
2.28E+02,5.57E+02
2.29E+02,5.36E+02
2.30E+02,5.21E+02
2.31E+02,5.01E+02
2.32E+02,4.84E+02
2.33E+02,4.75E+02
2.34E+02,4.80E+02
2.35E+02,4.88E+02
2.36E+02,4.89E+02
2.37E+02,4.87E+02
2.38E+02,4.84E+02
2.39E+02,4.76E+02
2.40E+02,4.71E+02
2.41E+02,4.71E+02
2.42E+02,4.76E+02
2.43E+02,4.80E+02
2.44E+02,4.79E+02
2.45E+02,4.79E+02
2.46E+02,4.82E+02
2.47E+02,4.86E+02
2.48E+02,4.86E+02
2.49E+02,4.85E+02
2.50E+02,4.84E+02
2.51E+02,4.83E+02
2.52E+02,4.89E+02
2.53E+02,4.98E+02
2.54E+02,4.94E+02
2.55E+02,4.91E+02
2.56E+02,4.89E+02
2.57E+02,4.86E+02
2.58E+02,4.87E+02
2.59E+02,4.90E+02
2.60E+02,4.96E+02
2.61E+02,5.05E+02
2.62E+02,5.10E+02
2.63E+02,5.08E+02
2.64E+02,5.08E+02
2.65E+02,5.13E+02
2.66E+02,5.22E+02
2.67E+02,5.30E+02
2.68E+02,5.29E+02
2.69E+02,5.32E+02
2.70E+02,5.35E+02
2.71E+02,5.40E+02
2.72E+02,5.37E+02
2.73E+02,5.29E+02
2.74E+02,5.25E+02
2.75E+02,5.21E+02
2.76E+02,5.16E+02
2.77E+02,5.06E+02
2.78E+02,5.09E+02
2.79E+02,5.21E+02
2.80E+02,5.34E+02
2.81E+02,5.42E+02
2.82E+02,5.41E+02
2.83E+02,5.37E+02
2.84E+02,5.26E+02
2.85E+02,5.06E+02
2.86E+02,4.92E+02
2.87E+02,4.86E+02
2.88E+02,4.96E+02
2.89E+02,4.94E+02
2.90E+02,4.80E+02
2.91E+02,4.54E+02
2.92E+02,4.43E+02
2.93E+02,4.38E+02
2.94E+02,4.28E+02
2.95E+02,4.13E+02
2.96E+02,4.03E+02
2.97E+02,4.02E+02
2.98E+02,3.96E+02
2.99E+02,3.90E+02
3.00E+02,3.72E+02
3.01E+02,3.60E+02
3.02E+02,3.54E+02
3.03E+02,3.49E+02
3.04E+02,3.43E+02
3.05E+02,3.36E+02
3.06E+02,3.26E+02
3.07E+02,3.17E+02
3.08E+02,3.15E+02
3.09E+02,3.13E+02
3.10E+02,3.08E+02
3.11E+02,3.02E+02
3.12E+02,3.01E+02
3.13E+02,2.94E+02
3.14E+02,2.89E+02
3.15E+02,2.84E+02
3.16E+02,2.78E+02
3.17E+02,2.75E+02
3.18E+02,2.71E+02
3.19E+02,2.64E+02
3.20E+02,2.55E+02
3.21E+02,2.49E+02
3.22E+02,2.43E+02
3.23E+02,2.36E+02
3.24E+02,2.27E+02
3.25E+02,2.18E+02
3.26E+02,2.10E+02
3.27E+02,2.00E+02
3.28E+02,1.90E+02
3.29E+02,1.81E+02
3.30E+02,1.70E+02
3.31E+02,1.60E+02
3.32E+02,1.50E+02
3.33E+02,1.41E+02
3.34E+02,1.32E+02
3.35E+02,1.22E+02
3.36E+02,1.12E+02
3.37E+02,1.04E+02
3.38E+02,9.54E+01
3.39E+02,8.71E+01
3.40E+02,7.91E+01
3.41E+02,7.21E+01
3.42E+02,6.61E+01
3.43E+02,6.06E+01
3.44E+02,5.53E+01
3.45E+02,5.01E+01
3.46E+02,4.52E+01
3.47E+02,4.05E+01
3.48E+02,3.61E+01
3.49E+02,3.17E+01
3.50E+02,2.74E+01
3.51E+02,2.33E+01
3.52E+02,2.01E+01
3.53E+02,1.71E+01
3.54E+02,1.44E+01
3.55E+02,1.26E+01
3.56E+02,1.08E+01
3.57E+02,9.34E+00
3.58E+02,8.03E+00
3.59E+02,6.90E+00
3.60E+02,5.92E+00
3.61E+02,5.07E+00
3.62E+02,4.35E+00
3.63E+02,3.83E+00
3.64E+02,3.70E+00
3.65E+02,3.53E+00
3.66E+02,3.22E+00
3.67E+02,2.89E+00
3.68E+02,2.64E+00
3.69E+02,2.40E+00
3.70E+02,2.47E+00
3.71E+02,2.64E+00
3.72E+02,2.51E+00
3.73E+02,2.30E+00
3.74E+02,2.12E+00
3.75E+02,1.95E+00
3.76E+02,1.78E+00
3.77E+02,1.63E+00
3.78E+02,1.52E+00
3.79E+02,1.44E+00
3.80E+02,1.38E+00
