"Time","T_slab"
 0.00,  20.0
 0.10,  29.8
 0.20,  39.2
 0.30,  48.2
 0.40,  56.7
 0.50,  64.8
 0.60,  72.5
 0.70,  79.6
 0.80, 104.1
 0.90, 121.3
 1.00, 132.7
 1.10, 140.1
 1.20, 144.9
 1.30, 148.2
 1.40, 150.4
 1.50, 151.9
 1.60, 152.9
 1.70, 153.6
 1.80, 154.2
 1.90, 154.5
 2.00, 154.8
 2.10, 155.0
 2.20, 155.2
 2.30, 155.3
 2.40, 155.4
 2.50, 155.5
 2.60, 155.5
 2.70, 155.6
 2.80, 155.6
 2.90, 155.6
 3.00, 155.6
 3.10, 155.7
 3.20, 155.7
 3.30, 155.7
 3.40, 155.7
 3.50, 155.7
 3.60, 155.7
 3.70, 155.7
 3.80, 155.7
 3.90, 155.7
 4.00, 155.7
 4.10, 155.7
 4.20, 155.7
 4.30, 155.7
 4.40, 155.7
 4.50, 155.7
 4.60, 155.7
 4.70, 155.7
 4.80, 155.7
 4.90, 155.7
 5.00, 155.7
