Temperature (C),HRR (W/g)
99.59,-2.425
99.561,-3.0625
99.55,-4.1803
99.479,-5.319
99.45,-6.4925
99.393,-6.8835
99.335,-7.1975
99.34,-7.1076
99.33,-7.3564
99.307,-7.106
99.295,-7.1288
99.305,-6.5369
99.3,-5.7048
99.307,-4.842
99.38,-3.9853
99.375,-3.1042
99.511,-2.4226
99.516,-2.0767
99.565,-1.7666
99.679,-1.3326
99.715,-1.0192
99.811,-0.90993
99.902,-0.91454
100.05,-0.9021
100.1,-0.80106
100.22,-0.40523
100.34,-0.54127
100.48,-0.67874
100.56,-0.68521
100.75,-0.76554
100.9,-0.76929
101.07,-0.76729
101.22,-0.70396
101.35,-0.80725
101.52,-0.53132
101.7,-0.61747
101.89,-0.4089
102.09,-0.71248
102.26,-0.45249
102.5,-0.51677
102.69,-0.48302
102.9,-0.36882
103.13,-0.48687
103.33,-0.41335
103.58,-0.43385
103.82,-0.37013
104.02,-0.15477
104.29,-0.094427
104.5,0.025825
104.76,0.17519
105.01,0.16678
105.3,0.071594
105.51,0.17777
105.82,0.058392
106.1,-0.038565
106.4,-0.059983
106.67,0.23518
106.92,0.068814
107.26,0.055827
107.53,-0.032005
107.82,-0.073139
108.11,-0.048274
108.41,-0.11067
108.71,-0.015986
109.02,0.037489
109.36,0.34341
109.71,0.16825
110.01,0.34687
110.36,0.29767
110.68,0.48202
111.03,0.44973
111.36,0.33897
111.68,0.30318
112.03,0.29103
112.38,0.16781
112.7,0.35411
113.11,0.28572
113.47,0.28336
113.89,0.5079
114.2,0.37248
114.6,0.43441
114.95,0.38619
115.33,0.49344
115.7,0.30778
116.06,0.14435
116.5,0.13967
116.88,0.16983
117.25,0.09219
117.67,0.21376
118.02,0.082563
118.5,0.048
118.89,0.017214
119.26,-0.075501
119.66,-0.0015721
120.07,0.10514
120.51,0.036434
120.92,0.24201
121.36,0.067191
121.81,0.24321
122.22,0.185
122.62,0.13484
123.04,0.16242
123.49,0.06835
123.92,-0.18522
124.35,-0.19979
124.81,-0.22896
125.28,-0.14945
125.67,-0.15631
126.11,-0.12616
126.59,-0.011741
127,0.048993
127.48,0.15345
127.94,0.17633
128.37,0.11778
128.79,0.012175
129.31,-0.009974
129.72,-0.088347
130.19,-0.094625
130.68,-0.019402
131.14,0.061533
131.61,0.12318
132.08,0.16382
132.54,0.10971
133.02,0.14513
133.5,0.25862
133.97,-0.043761
134.46,-0.024538
134.91,-0.049496
135.4,0.1458
135.89,0.08504
136.36,-0.0021855
136.85,0.039092
137.34,0.11337
137.81,0.22205
138.31,0.085207
138.78,-0.11714
139.26,-0.01083
139.75,0.081518
140.27,0.15328
140.77,0.21538
141.23,0.32519
141.75,0.20704
142.24,0.0223
142.69,0.17936
143.22,0.083925
143.69,0.044575
144.23,0.15198
144.7,0.0035611
145.21,0.10347
145.74,0.24321
146.22,0.12954
146.74,0.030391
147.26,0.024046
147.77,0.15213
148.24,0.17967
148.72,0.017161
149.3,0.14293
149.75,0.11683
150.28,-0.10557
150.78,0.025547
151.32,-0.034029
151.77,0.026048
152.36,0.01253
