#FILE:                        13WaT18 20 K min N2 7.2.2007.dsu
#FORMAT:                      NETZSCH4                        
#IDENTITY:                    13WaT18 20 K min N2             
#DECIMAL:                     POINT                           
#SEPARATOR:                   SEMICOLON                       
#MTYPE:                       TG                              
#INSTRUMENT:                  NETZSCH STA 449C                
#PROJECT:                     vtt                             
#DATE/TIME:                   7.2.2007 14:10:03               
#CORR. FILE:                  correction 20K min N2 800 C.bsu 
#LABORATORY:                  EO                              
#OPERATOR:                    TL                              
#REMARK:                                                      
#SAMPLE:                      13WaT18                         
#SAMPLE MASS /mg:             12.208                          
#MATERIAL:                    Empty crucibles                 
#REFERENCE:                   al2o3                           
#REFERENCE MASS /mg:          40.312                          
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                
#SAMPLE CRUCIBLE MASS /mg:    0.000                           
#REFERENCE CRUCIBLE MASS /mg: 0.000                           
#PROTECTIVE GAS:              N2                              
#PURGE GAS 1:                 air                             
#FLOW RATE 1 /(ml/min):       40                              
#PURGE GAS 2:                                                 
#FLOW RATE 2:                                                 
#DSC RANGE /æm:               5000                            
#TG RANGE /æm:                5000                            
#CORR. CODE:                  020                             
#EXO:                         +1                              
#RANGE:                       20.0/20.00(K/min)/800.0         
#SEGMENT:                     S1/2                            

##Temp./øC,Mass/%
 20.05544,100.00000
 21.05544, 99.98084
 22.05544, 99.98027
 23.05544, 99.97926
 24.05544, 99.97526
 25.05544, 99.96793
 26.05544, 99.96524
 27.05544, 99.95872
 28.05544, 99.95416
 29.05544, 99.94039
 30.05544, 99.94099
 31.05544, 99.93419
 32.05544, 99.92849
 33.05544, 99.91913
 34.05544, 99.91147
 35.05544, 99.90855
 36.05544, 99.89977
 37.05544, 99.88895
 38.05544, 99.88363
 39.05544, 99.88047
 40.05544, 99.87575
 41.05544, 99.87066
 42.05544, 99.86728
 43.05544, 99.86617
 44.05544, 99.86136
 45.05544, 99.85326
 46.05544, 99.84543
 47.05544, 99.84106
 48.05544, 99.83397
 49.05544, 99.82922
 50.05544, 99.82331
 51.05544, 99.81859
 52.05544, 99.80839
 53.05544, 99.79809
 54.05544, 99.78912
 55.05544, 99.78229
 56.05544, 99.77038
 57.05544, 99.75736
 58.05544, 99.74522
 59.05544, 99.73408
 60.05544, 99.72191
 61.05544, 99.70949
 62.05544, 99.69454
 63.05544, 99.68190
 64.05544, 99.67207
 65.05544, 99.66162
 66.05544, 99.64882
 67.05544, 99.63073
 68.05544, 99.60790
 69.05544, 99.58566
 70.05544, 99.56759
 71.05544, 99.54689
 72.05544, 99.52518
 73.05544, 99.50112
 74.05544, 99.48123
 75.05544, 99.46352
 76.05544, 99.44412
 77.05544, 99.41869
 78.05544, 99.43788
 79.05544, 99.48257
 80.05544, 99.46349
 81.05544, 99.33388
 82.05544, 99.31274
 83.05544, 99.28880
 84.05544, 99.26564
 85.05544, 99.24035
 86.05544, 99.21359
 87.05544, 99.18500
 88.05544, 99.15767
 89.05544, 99.13063
 90.05544, 99.10345
 91.05544, 99.07785
 92.05544, 99.05158
 93.05544, 99.02631
 94.05544, 99.00109
 95.05544, 98.97381
 96.05544, 98.94576
 97.05544, 98.91765
 98.05544, 98.89123
 99.05544, 98.86521
100.05544, 98.84212
101.05544, 98.81966
102.05544, 98.79392
103.05544, 98.77035
104.05544, 98.74822
105.05544, 98.72721
106.05544, 98.70493
107.05544, 98.68598
108.05544, 98.66896
109.05544, 98.65157
110.05544, 98.63416
111.05544, 98.61639
112.05544, 98.59907
113.05544, 98.58315
114.05544, 98.56770
115.05544, 98.55445
116.05544, 98.54169
117.05544, 98.52921
118.05544, 98.51764
119.05544, 98.50944
120.05544, 98.50094
121.05544, 98.49333
122.05544, 98.48447
123.05544, 98.47712
124.05544, 98.47206
125.05544, 98.46740
