s,C
FDS Time,"T_slab"
 0.0000000E+000, 2.0000000E+001
 9.9999998E-003, 2.0199788E+001
 1.5000000E-002, 2.0898338E+001
 2.5000000E-002, 2.1644565E+001
 2.9999999E-002, 2.2388867E+001
 3.5000000E-002, 2.2883781E+001
 4.5000002E-002, 2.3624212E+001
 5.0000001E-002, 2.4362695E+001
 5.9999999E-002, 2.5098732E+001
 6.4999998E-002, 2.5832805E+001
 7.5000003E-002, 2.6564410E+001
 7.9999998E-002, 2.7294033E+001
 8.5000001E-002, 2.7779123E+001
 9.4999999E-002, 2.8504759E+001
 1.0000000E-001, 2.9228392E+001
 1.1000000E-001, 2.9949508E+001
 1.1500000E-001, 3.0668605E+001
 1.2000000E-001, 3.1146651E+001
 1.3000000E-001, 3.1861685E+001
 1.3500001E-001, 3.2574677E+001
 1.4500000E-001, 3.3285108E+001
 1.5000001E-001, 3.3993482E+001
 1.5500000E-001, 3.4464356E+001
 1.6500001E-001, 3.5168596E+001
 1.7000000E-001, 3.5870760E+001
 1.8000001E-001, 3.6570319E+001
 1.8500000E-001, 3.7267786E+001
 1.9000000E-001, 3.7731366E+001
 2.0000000E-001, 3.8424633E+001
 2.0500000E-001, 3.9115790E+001
 2.1500000E-001, 3.9804301E+001
 2.2000000E-001, 4.0490689E+001
 2.2499999E-001, 4.0946863E+001
 2.3500000E-001, 4.1628987E+001
 2.3999999E-001, 4.2308972E+001
 2.5000000E-001, 4.2986273E+001
 2.5500000E-001, 4.3661421E+001
 2.5999999E-001, 4.4110082E+001
 2.7000001E-001, 4.4780909E+001
 2.7500001E-001, 4.5449567E+001
 2.8500000E-001, 4.6115508E+001
 2.8999999E-001, 4.6779268E+001
 2.9499999E-001, 4.7220319E+001
 3.0500001E-001, 4.7879705E+001
 3.1000000E-001, 4.8536896E+001
 3.1999999E-001, 4.9191339E+001
 3.2499999E-001, 4.9843576E+001
 3.3000001E-001, 5.0276928E+001
 3.4000000E-001, 5.0924743E+001
 3.4500000E-001, 5.1570341E+001
 3.5499999E-001, 5.2213160E+001
 3.6000001E-001, 5.2853753E+001
 3.6500001E-001, 5.3279327E+001
 3.7500000E-001, 5.3915455E+001
 3.8000000E-001, 5.4549343E+001
 3.8999999E-001, 5.5180429E+001
 3.9500001E-001, 5.5809269E+001
 4.0000001E-001, 5.6226995E+001
 4.1000000E-001, 5.6851332E+001
 4.1499999E-001, 5.7473412E+001
 4.2500001E-001, 5.8092667E+001
 4.3000001E-001, 5.8709659E+001
 4.3500000E-001, 5.9119476E+001
 4.4499999E-001, 5.9731933E+001
