s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 2.2800000E+002, 3.9004032E+001, 9.9006361E-001, 5.8412264E-005, 2.8973107E-019, 2.5277010E-001
 2.4000000E+002, 4.0004032E+001, 9.8935223E-001, 6.0145761E-005, 4.0028562E-019, 2.5686094E-001
 2.5200000E+002, 4.1004028E+001, 9.8861986E-001, 6.1897517E-005, 5.5188834E-019, 2.6099014E-001
 2.6400000E+002, 4.2004028E+001, 9.8786640E-001, 6.3665721E-005, 7.5935920E-019, 2.6515317E-001
 2.7600000E+002, 4.3004025E+001, 9.8709166E-001, 6.5448403E-005, 1.0427172E-018, 2.6934481E-001
 2.8800000E+002, 4.4004025E+001, 9.8629546E-001, 6.7243491E-005, 1.4289508E-018, 2.7355999E-001
 3.0000000E+002, 4.5004021E+001, 9.8547763E-001, 6.9048743E-005, 1.9543743E-018, 2.7779323E-001
 3.1200000E+002, 4.6004017E+001, 9.8463804E-001, 7.0861803E-005, 2.6677553E-018, 2.8203821E-001
 3.2400000E+002, 4.7004017E+001, 9.8377675E-001, 7.2680159E-005, 3.6344612E-018, 2.8628883E-001
 3.3600000E+002, 4.8004013E+001, 9.8289353E-001, 7.4501164E-005, 4.9419426E-018, 2.9053852E-001
 3.4800000E+002, 4.9004013E+001, 9.8198849E-001, 7.6322045E-005, 6.7069773E-018, 2.9478019E-001
 3.6000000E+002, 5.0004009E+001, 9.8106164E-001, 7.8139863E-005, 9.0852125E-018, 2.9900649E-001
 3.7200000E+002, 5.1004005E+001, 9.8011297E-001, 7.9951569E-005, 1.2283726E-017, 3.0320972E-001
 3.8400000E+002, 5.2004005E+001, 9.7914267E-001, 8.1753962E-005, 1.6577512E-017, 3.0738226E-001
 3.9600000E+002, 5.3004002E+001, 9.7815078E-001, 8.3543717E-005, 2.2331107E-017, 3.1151542E-001
 4.0800000E+002, 5.4004002E+001, 9.7713751E-001, 8.5317377E-005, 3.0026875E-017, 3.1560078E-001
 4.2000000E+002, 5.5003998E+001, 9.7610307E-001, 8.7071370E-005, 4.0301963E-017, 3.1962949E-001
 4.3200000E+002, 5.6003998E+001, 9.7504771E-001, 8.8802008E-005, 5.3996504E-017, 3.2359248E-001
 4.4400000E+002, 5.7003994E+001, 9.7397172E-001, 9.0505469E-005, 7.2216342E-017, 3.2748008E-001
 4.5600000E+002, 5.8003994E+001, 9.7287554E-001, 9.2177863E-005, 9.6414577E-017, 3.3128276E-001
 4.6800000E+002, 5.9003990E+001, 9.7175944E-001, 9.3815179E-005, 1.2849736E-016, 3.3499071E-001
 4.8000000E+002, 6.0003990E+001, 9.7062397E-001, 9.5413336E-005, 1.7096089E-016, 3.3859384E-001
 4.9200000E+002, 6.1003986E+001, 9.6946955E-001, 9.6968164E-005, 2.2706865E-016, 3.4208173E-001
 5.0400000E+002, 6.2003986E+001, 9.6829677E-001, 9.8475452E-005, 3.0108006E-016, 3.4544426E-001
 5.1600000E+002, 6.3003983E+001, 9.6710622E-001, 9.9930920E-005, 3.9854544E-016, 3.4867078E-001
 5.2800000E+002, 6.4003983E+001, 9.6589851E-001, 1.0133025E-004, 5.2668530E-016, 3.5175082E-001
 5.4000000E+002, 6.5003983E+001, 9.6467435E-001, 1.0266912E-004, 6.9487777E-016, 3.5467365E-001
 5.5200000E+002, 6.6003975E+001, 9.6343458E-001, 1.0394320E-004, 9.1528411E-016, 3.5742873E-001
 5.6400000E+002, 6.7003975E+001, 9.6217990E-001, 1.0514816E-004, 1.2036492E-015, 3.6000580E-001
 5.7600000E+002, 6.8003975E+001, 9.6091121E-001, 1.0627969E-004, 1.5803257E-015, 3.6239383E-001
 5.8800000E+002, 6.9003975E+001, 9.5962936E-001, 1.0733356E-004, 2.0715819E-015, 3.6458290E-001
 6.0000000E+002, 7.0003975E+001, 9.5833540E-001, 1.0830558E-004, 2.7112680E-015, 3.6656284E-001
 6.1200000E+002, 7.1003975E+001, 9.5703030E-001, 1.0919166E-004, 3.5429385E-015, 3.6832371E-001
 6.2400000E+002, 7.2003975E+001, 9.5571506E-001, 1.0998781E-004, 4.6225489E-015, 3.6985594E-001
 6.3600000E+002, 7.3003975E+001, 9.5439088E-001, 1.1069018E-004, 6.0218782E-015, 3.7115029E-001
 6.4800000E+002, 7.4003967E+001, 9.5305884E-001, 1.1129507E-004, 7.8328669E-015, 3.7219784E-001
 6.6000000E+002, 7.5003967E+001, 9.5172018E-001, 1.1179895E-004, 1.0173106E-014, 3.7299010E-001
 6.7200000E+002, 7.6003967E+001, 9.5037603E-001, 1.1219850E-004, 1.3192772E-014, 3.7351936E-001
 6.8400000E+002, 7.7003967E+001, 9.4902778E-001, 1.1249060E-004, 1.7083379E-014, 3.7377816E-001
 6.9600000E+002, 7.8003967E+001, 9.4767672E-001, 1.1267242E-004, 2.2088807E-014, 3.7375990E-001
 7.0800000E+002, 7.9003967E+001, 9.4632411E-001, 1.1274133E-004, 2.8519172E-014, 3.7345853E-001
 7.2000000E+002, 8.0003967E+001, 9.4497138E-001, 1.1269503E-004, 3.6768270E-014, 3.7286875E-001
 7.3200000E+002, 8.1003967E+001, 9.4361991E-001, 1.1253154E-004, 4.7335433E-014, 3.7198609E-001
 7.4400000E+002, 8.2003975E+001, 9.4227111E-001, 1.1224919E-004, 6.0852954E-014, 3.7080681E-001
 7.5600000E+002, 8.3003975E+001, 9.4092643E-001, 1.1184667E-004, 7.8120385E-014, 3.6932808E-001
 7.6800000E+002, 8.4003975E+001, 9.3958730E-001, 1.1132303E-004, 1.0014738E-013, 3.6754823E-001
 7.8000000E+002, 8.5003975E+001, 9.3825519E-001, 1.1067774E-004, 1.2820721E-013, 3.6546630E-001
 7.9200000E+002, 8.6003975E+001, 9.3693161E-001, 1.0991064E-004, 1.6390338E-013, 3.6308253E-001
 8.0400000E+002, 8.7003975E+001, 9.3561792E-001, 1.0902202E-004, 2.0925266E-013, 3.6039785E-001
 8.1600000E+002, 8.8003975E+001, 9.3431562E-001, 1.0801256E-004, 2.6678819E-013, 3.5741499E-001
 8.2800000E+002, 8.9003983E+001, 9.3302619E-001, 1.0688342E-004, 3.3968753E-013, 3.5413685E-001
 8.4000000E+002, 9.0003983E+001, 9.3175101E-001, 1.0563618E-004, 4.3193148E-013, 3.5056821E-001
 8.5200000E+002, 9.1003983E+001, 9.3049157E-001, 1.0427290E-004, 5.4850054E-013, 3.4671474E-001
 8.6400000E+002, 9.2003990E+001, 9.2924911E-001, 1.0279607E-004, 6.9561820E-013, 3.4258288E-001
 8.7600000E+002, 9.3003990E+001, 9.2802501E-001, 1.0120864E-004, 8.8105120E-013, 3.3818087E-001
 8.8800000E+002, 9.4003990E+001, 9.2682070E-001, 9.9514036E-005, 1.1144800E-012, 3.3351746E-001
 9.0000000E+002, 9.5003990E+001, 9.2563730E-001, 9.7716096E-005, 1.4079557E-012, 3.2860276E-001
 9.1200000E+002, 9.6003998E+001, 9.2447609E-001, 9.5819101E-005, 1.7764608E-012, 3.2344791E-001
 9.2400000E+002, 9.7003998E+001, 9.2333817E-001, 9.3827766E-005, 2.2386012E-012, 3.1806523E-001
 9.3600000E+002, 9.8004005E+001, 9.2222476E-001, 9.1747192E-005, 2.8174535E-012, 3.1246766E-001
 9.4800000E+002, 9.9004005E+001, 9.2113680E-001, 8.9582871E-005, 3.5416036E-012, 3.0666944E-001
 9.6000000E+002, 1.0000401E+002, 9.2007530E-001, 8.7340661E-005, 4.4464224E-012, 3.0068579E-001
 9.7200000E+002, 1.0100401E+002, 9.1904116E-001, 8.5026746E-005, 5.5756216E-012, 2.9453209E-001
 9.8400000E+002, 1.0200401E+002, 9.1803515E-001, 8.2647624E-005, 6.9831588E-012, 2.8822526E-001
 9.9600000E+002, 1.0300402E+002, 9.1705805E-001, 8.0210062E-005, 8.7355600E-012, 2.8178209E-001
 1.0080000E+003, 1.0400402E+002, 9.1611058E-001, 7.7721059E-005, 1.0914753E-011, 2.7522072E-001
 1.0200000E+003, 1.0500403E+002, 9.1519320E-001, 7.5187818E-005, 1.3621519E-011, 2.6855934E-001
 1.0320000E+003, 1.0600403E+002, 9.1430646E-001, 7.2617717E-005, 1.6979685E-011, 2.6181650E-001
 1.0440000E+003, 1.0700404E+002, 9.1345078E-001, 7.0018243E-005, 2.1141228E-011, 2.5501102E-001
 1.0560000E+003, 1.0800404E+002, 9.1262639E-001, 6.7396955E-005, 2.6292461E-011, 2.4816190E-001
 1.0680000E+003, 1.0900404E+002, 9.1183352E-001, 6.4761451E-005, 3.2661540E-011, 2.4128827E-001
 1.0800000E+003, 1.1000404E+002, 9.1107237E-001, 6.2119325E-005, 4.0527547E-011, 2.3440914E-001
 1.0920000E+003, 1.1100404E+002, 9.1034293E-001, 5.9478101E-005, 5.0231489E-011, 2.2754362E-001
 1.1040000E+003, 1.1200405E+002, 9.0964514E-001, 5.6845216E-005, 6.2189594E-011, 2.2071007E-001
 1.1160000E+003, 1.1300405E+002, 9.0897888E-001, 5.4227945E-005, 7.6909326E-011, 2.1392672E-001
 1.1280000E+003, 1.1400406E+002, 9.0834385E-001, 5.1633386E-005, 9.5008758E-011, 2.0721118E-001
 1.1400000E+003, 1.1500406E+002, 9.0773982E-001, 4.9068400E-005, 1.1723988E-010, 2.0058052E-001
 1.1520000E+003, 1.1600407E+002, 9.0716630E-001, 4.6539571E-005, 1.4451662E-010, 1.9405112E-001
 1.1640000E+003, 1.1700407E+002, 9.0662295E-001, 4.4053180E-005, 1.7794857E-010, 1.8763843E-001
 1.1760000E+003, 1.1800407E+002, 9.0610909E-001, 4.1615160E-005, 2.1888154E-010, 1.8135732E-001
 1.1880000E+003, 1.1900407E+002, 9.0562421E-001, 3.9231058E-005, 2.6894603E-010, 1.7522137E-001
 1.2000000E+003, 1.2000407E+002, 9.0516752E-001, 3.6906022E-005, 3.3011563E-010, 1.6924314E-001
 1.2120000E+003, 1.2100408E+002, 9.0473843E-001, 3.4644760E-005, 4.0477657E-010, 1.6343412E-001
 1.2240000E+003, 1.2200408E+002, 9.0433604E-001, 3.2451528E-005, 4.9581139E-010, 1.5780476E-001
 1.2360000E+003, 1.2300409E+002, 9.0395951E-001, 3.0330108E-005, 6.0669836E-010, 1.5236425E-001
 1.2480000E+003, 1.2400409E+002, 9.0360802E-001, 2.8283799E-005, 7.4163065E-010, 1.4712057E-001
 1.2600000E+003, 1.2500409E+002, 9.0328062E-001, 2.6315402E-005, 9.0565844E-010, 1.4208028E-001
 1.2720000E+003, 1.2600410E+002, 9.0297633E-001, 2.4427223E-005, 1.1048578E-009, 1.3724890E-001
 1.2840000E+003, 1.2700410E+002, 9.0269417E-001, 2.2621067E-005, 1.3465322E-009, 1.3263042E-001
 1.2960000E+003, 1.2800410E+002, 9.0243322E-001, 2.0898249E-005, 1.6394522E-009, 1.2822813E-001
 1.3080000E+003, 1.2900410E+002, 9.0219247E-001, 1.9259594E-005, 1.9941402E-009, 1.2404344E-001
 1.3200000E+003, 1.3000410E+002, 9.0197086E-001, 1.7705464E-005, 2.4232074E-009, 1.2007701E-001
 1.3320000E+003, 1.3100410E+002, 9.0176737E-001, 1.6235763E-005, 2.9417559E-009, 1.1632821E-001
 1.3440000E+003, 1.3200410E+002, 9.0158099E-001, 1.4849958E-005, 3.5678533E-009, 1.1279552E-001
 1.3560000E+003, 1.3300410E+002, 9.0141076E-001, 1.3547114E-005, 4.3230934E-009, 1.0947599E-001
 1.3680000E+003, 1.3400410E+002, 9.0125567E-001, 1.2325907E-005, 5.2332645E-009, 1.0636613E-001
 1.3800000E+003, 1.3500410E+002, 9.0111470E-001, 1.1184663E-005, 6.3291310E-009, 1.0346117E-001
 1.3920000E+003, 1.3600412E+002, 9.0098703E-001, 1.0121386E-005, 7.6473654E-009, 1.0075612E-001
 1.4040000E+003, 1.3700412E+002, 9.0087163E-001, 9.1337915E-006, 9.2316412E-009, 9.8244593E-002
 1.4160000E+003, 1.3800412E+002, 9.0076762E-001, 8.2193383E-006, 1.1133924E-008, 9.5920183E-002
 1.4280000E+003, 1.3900412E+002, 9.0067416E-001, 7.3752672E-006, 1.3415990E-008, 9.3775690E-002
 1.4400000E+003, 1.4000412E+002, 9.0059042E-001, 6.5986342E-006, 1.6151214E-008, 9.1803163E-002
 1.4520000E+003, 1.4100412E+002, 9.0051562E-001, 5.8863461E-006, 1.9426675E-008, 8.9995019E-002
 1.4640000E+003, 1.4200412E+002, 9.0044898E-001, 5.2351929E-006, 2.3345622E-008, 8.8342547E-002
 1.4760000E+003, 1.4300412E+002, 9.0038979E-001, 4.6418854E-006, 2.8030371E-008, 8.6837411E-002
 1.4880000E+003, 1.4400412E+002, 9.0033740E-001, 4.1030821E-006, 3.3625710E-008, 8.5471056E-002
 1.5000000E+003, 1.4500412E+002, 9.0029114E-001, 3.6154240E-006, 4.0302872E-008, 8.4234849E-002
 1.5120000E+003, 1.4600412E+002, 9.0025049E-001, 3.1755603E-006, 4.8264205E-008, 8.3120160E-002
 1.5240000E+003, 1.4700412E+002, 9.0021479E-001, 2.7801759E-006, 5.7748625E-008, 8.2118489E-002
 1.5360000E+003, 1.4800412E+002, 9.0018362E-001, 2.4260146E-006, 6.9037988E-008, 8.1221640E-002
 1.5480000E+003, 1.4900412E+002, 9.0015650E-001, 2.1099002E-006, 8.2464524E-008, 8.0421261E-002
 1.5600000E+003, 1.5000412E+002, 9.0013289E-001, 1.8287561E-006, 9.8419569E-008, 7.9709850E-002
 1.5720000E+003, 1.5100412E+002, 9.0011245E-001, 1.5796209E-006, 1.1736363E-007, 7.9079375E-002
 1.5840000E+003, 1.5200412E+002, 9.0009487E-001, 1.3596608E-006, 1.3983824E-007, 7.8522921E-002
 1.5960000E+003, 1.5300412E+002, 9.0007979E-001, 1.1661822E-006, 1.6647968E-007, 7.8033634E-002
 1.6080000E+003, 1.5400412E+002, 9.0006679E-001, 9.9663782E-007, 1.9803497E-007, 7.7604957E-002
 1.6200000E+003, 1.5500412E+002, 9.0005577E-001, 8.4863416E-007, 2.3538048E-007, 7.7230960E-002
 1.6320000E+003, 1.5600412E+002, 9.0004641E-001, 7.1993389E-007, 2.7954346E-007, 7.6905638E-002
 1.6440000E+003, 1.5700412E+002, 9.0003842E-001, 6.0845775E-007, 3.3172714E-007, 7.6623999E-002
 1.6560000E+003, 1.5800412E+002, 9.0003175E-001, 5.1228369E-007, 3.9333975E-007, 7.6381229E-002
 1.6680000E+003, 1.5900412E+002, 9.0002608E-001, 4.2964484E-007, 4.6602827E-007, 7.6172538E-002
 1.6800000E+003, 1.6000412E+002, 9.0002137E-001, 3.5892560E-007, 5.5171733E-007, 7.5993985E-002
 1.6920000E+003, 1.6100412E+002, 9.0001744E-001, 2.9865660E-007, 6.5265448E-007, 7.5841963E-002
 1.7040000E+003, 1.6200412E+002, 9.0001416E-001, 2.4750861E-007, 7.7146217E-007, 7.5712740E-002
 1.7160000E+003, 1.6300412E+002, 9.0001148E-001, 2.0428551E-007, 9.1119824E-007, 7.5603716E-002
 1.7280000E+003, 1.6400412E+002, 9.0000927E-001, 1.6791675E-007, 1.0754255E-006, 7.5511888E-002
 1.7400000E+003, 1.6500412E+002, 9.0000743E-001, 1.3744918E-007, 1.2682923E-006, 7.5435072E-002
 1.7520000E+003, 1.6600412E+002, 9.0000594E-001, 1.1203868E-007, 1.4946243E-006, 7.5371042E-002
 1.7640000E+003, 1.6700412E+002, 9.0000474E-001, 9.0941739E-008, 1.7600325E-006, 7.5317815E-002
 1.7760000E+003, 1.6800412E+002, 9.0000373E-001, 7.3506882E-008, 2.0710354E-006, 7.5273797E-002
 1.7880000E+003, 1.6900412E+002, 9.0000296E-001, 5.9166400E-008, 2.4352003E-006, 7.5237557E-002
 1.8000000E+003, 1.7000412E+002, 9.0000230E-001, 4.7428255E-008, 2.8613065E-006, 7.5208172E-002
 1.8120000E+003, 1.7100412E+002, 9.0000182E-001, 3.7868311E-008, 3.3595315E-006, 7.5183935E-002
 1.8240000E+003, 1.7200412E+002, 9.0000141E-001, 3.0123008E-008, 3.9416659E-006, 7.5164437E-002
 1.8360000E+003, 1.7300412E+002, 9.0000105E-001, 2.3882452E-008, 4.6213604E-006, 7.5148717E-002
 1.8480000E+003, 1.7400412E+002, 9.0000081E-001, 1.8884018E-008, 5.4144057E-006, 7.5135946E-002
 1.8600000E+003, 1.7500412E+002, 9.0000063E-001, 1.4906457E-008, 6.3390594E-006, 7.5126007E-002
 1.8720000E+003, 1.7600412E+002, 9.0000045E-001, 1.1764503E-008, 7.4164132E-006, 7.5117968E-002
 1.8840000E+003, 1.7700412E+002, 9.0000033E-001, 9.3040322E-009, 8.6708196E-006, 7.5111799E-002
 1.8960000E+003, 1.7800412E+002, 9.0000021E-001, 7.3976847E-009, 1.0130375E-005, 7.5106822E-002
 1.9080000E+003, 1.7900412E+002, 9.0000015E-001, 5.9410015E-009, 1.1827474E-005, 7.5103194E-002
 1.9200000E+003, 1.8000412E+002, 9.0000010E-001, 4.8490092E-009, 1.3799445E-005, 7.5100183E-002
 1.9320000E+003, 1.8100412E+002, 9.0000004E-001, 4.0532373E-009, 1.6089269E-005, 7.5097933E-002
 1.9440000E+003, 1.8200412E+002, 8.9999998E-001, 3.4991379E-009, 1.8746405E-005, 7.5096644E-002
 1.9560000E+003, 1.8300412E+002, 8.9999998E-001, 3.1438701E-009, 2.1827733E-005, 7.5095505E-002
 1.9680000E+003, 1.8400412E+002, 8.9999992E-001, 2.9544214E-009, 2.5398620E-005, 7.5094879E-002
 1.9800000E+003, 1.8500412E+002, 8.9999986E-001, 2.9060272E-009, 2.9534143E-005, 7.5094521E-002
 1.9920000E+003, 1.8600412E+002, 8.9999986E-001, 2.9808598E-009, 3.4320470E-005, 7.5094268E-002
 2.0040000E+003, 1.8700412E+002, 8.9999980E-001, 3.1669587E-009, 3.9856448E-005, 7.5094461E-002
 2.0160000E+003, 1.8800412E+002, 8.9999980E-001, 3.4573686E-009, 4.6255380E-005, 7.5094946E-002
 2.0280000E+003, 1.8900412E+002, 8.9999974E-001, 3.8494679E-009, 5.3647080E-005, 7.5095363E-002
 2.0400000E+003, 1.9000412E+002, 8.9999968E-001, 4.3444564E-009, 6.2180166E-005, 7.5096093E-002
 2.0520000E+003, 1.9100412E+002, 8.9999962E-001, 4.9469913E-009, 7.2024697E-005, 7.5097285E-002
 2.0640000E+003, 1.9200412E+002, 8.9999956E-001, 5.6649463E-009, 8.3375133E-005, 7.5098284E-002
 2.0760000E+003, 1.9300412E+002, 8.9999950E-001, 6.5092856E-009, 9.6453718E-005, 7.5099692E-002
 2.0880000E+003, 1.9400412E+002, 8.9999938E-001, 7.4940392E-009, 1.1151427E-004, 7.5101264E-002
 2.1000000E+003, 1.9500412E+002, 8.9999932E-001, 8.6363672E-009, 1.2884651E-004, 7.5103186E-002
 2.1120000E+003, 1.9600412E+002, 8.9999920E-001, 9.9567146E-009, 1.4878099E-004, 7.5105384E-002
 2.1240000E+003, 1.9700412E+002, 8.9999908E-001, 1.1479041E-008, 1.7169453E-004, 7.5107962E-002
 2.1360000E+003, 1.9800412E+002, 8.9999890E-001, 1.3231134E-008, 1.9801650E-004, 7.5110592E-002
 2.1480000E+003, 1.9900412E+002, 8.9999872E-001, 1.5244998E-008, 2.2823583E-004, 7.5114205E-002
 2.1600000E+003, 2.0000412E+002, 8.9999855E-001, 1.7557321E-008, 2.6290907E-004, 7.5118080E-002
 2.1720000E+003, 2.0100412E+002, 8.9999831E-001, 2.0210033E-008, 3.0266918E-004, 7.5122342E-002
 2.1840000E+003, 2.0200412E+002, 8.9999807E-001, 2.3250934E-008, 3.4823574E-004, 7.5127445E-002
 2.1960000E+003, 2.0300412E+002, 8.9999777E-001, 2.6734439E-008, 4.0042633E-004, 7.5133212E-002
 2.2080000E+003, 2.0400412E+002, 8.9999741E-001, 3.0722411E-008, 4.6016934E-004, 7.5139880E-002
 2.2200000E+003, 2.0500412E+002, 8.9999700E-001, 3.5285105E-008, 5.2851829E-004, 7.5147584E-002
 2.2320000E+003, 2.0600412E+002, 8.9999658E-001, 4.0502243E-008, 6.0666830E-004, 7.5156100E-002
 2.2440000E+003, 2.0700412E+002, 8.9999604E-001, 4.6464233E-008, 6.9597410E-004, 7.5166129E-002
 2.2560000E+003, 2.0800412E+002, 8.9999545E-001, 5.3273521E-008, 7.9797051E-004, 7.5177372E-002
 2.2680000E+003, 2.0900412E+002, 8.9999479E-001, 6.1046123E-008, 9.1439573E-004, 7.5190283E-002
 2.2800000E+003, 2.1000412E+002, 8.9999396E-001, 6.9913348E-008, 1.0472167E-003, 7.5205036E-002
 2.2920000E+003, 2.1100412E+002, 8.9999306E-001, 8.0023746E-008, 1.1986587E-003, 7.5221784E-002
 2.3040000E+003, 2.1200412E+002, 8.9999205E-001, 9.1545253E-008, 1.3712373E-003, 7.5241007E-002
 2.3160000E+003, 2.1300412E+002, 8.9999086E-001, 1.0466763E-007, 1.5677948E-003, 7.5262889E-002
 2.3280000E+003, 2.1400412E+002, 8.9998955E-001, 1.1960518E-007, 1.7915415E-003, 7.5287603E-002
 2.3400000E+003, 2.1500412E+002, 8.9998800E-001, 1.3659979E-007, 2.0461006E-003, 7.5315759E-002
 2.3520000E+003, 2.1600412E+002, 8.9998627E-001, 1.5592438E-007, 2.3355596E-003, 7.5348012E-002
 2.3640000E+003, 2.1700412E+002, 8.9998424E-001, 1.7788663E-007, 2.6645276E-003, 7.5384505E-002
 2.3760000E+003, 2.1800412E+002, 8.9998198E-001, 2.0283333E-007, 3.0381994E-003, 7.5425997E-002
 2.3880000E+003, 2.1900412E+002, 8.9997935E-001, 2.3115510E-007, 3.4624252E-003, 7.5472884E-002
 2.4000000E+003, 2.2000412E+002, 8.9997637E-001, 2.6329167E-007, 3.9437921E-003, 7.5526543E-002
 2.4120000E+003, 2.2100412E+002, 8.9997303E-001, 2.9973785E-007, 4.4897124E-003, 7.5586930E-002
 2.4240000E+003, 2.2200412E+002, 8.9996916E-001, 3.4105014E-007, 5.1085209E-003, 7.5655580E-002
 2.4360000E+003, 2.2300412E+002, 8.9996481E-001, 3.8785413E-007, 5.8095884E-003, 7.5733401E-002
 2.4480000E+003, 2.2400412E+002, 8.9995986E-001, 4.4085260E-007, 6.6034417E-003, 7.5821526E-002
 2.4600000E+003, 2.2500412E+002, 8.9995420E-001, 5.0083486E-007, 7.5019030E-003, 7.5921103E-002
 2.4720000E+003, 2.2600412E+002, 8.9994776E-001, 5.6868663E-007, 8.5182413E-003, 7.6033846E-002
 2.4840000E+003, 2.2700412E+002, 8.9994049E-001, 6.4540177E-007, 9.6673416E-003, 7.6161377E-002
 2.4960000E+003, 2.2800412E+002, 8.9993227E-001, 7.3209446E-007, 1.0965894E-002, 7.6305293E-002
 2.5080000E+003, 2.2900412E+002, 8.9992285E-001, 8.3001356E-007, 1.2432604E-002, 7.6468080E-002
 2.5200000E+003, 2.3000412E+002, 8.9991224E-001, 9.4055781E-007, 1.4088425E-002, 7.6651752E-002
 2.5320000E+003, 2.3100412E+002, 8.9990026E-001, 1.0652934E-006, 1.5956813E-002, 7.6859049E-002
 2.5440000E+003, 2.3200412E+002, 8.9988661E-001, 1.2059728E-006, 1.8064022E-002, 7.7092633E-002
 2.5560000E+003, 2.3300412E+002, 8.9987123E-001, 1.3645563E-006, 2.0439411E-002, 7.7356167E-002
 2.5680000E+003, 2.3400412E+002, 8.9985377E-001, 1.5432352E-006, 2.3115806E-002, 7.7653073E-002
 2.5800000E+003, 2.3500412E+002, 8.9983404E-001, 1.7444582E-006, 2.6129885E-002, 7.7987269E-002
 2.5920000E+003, 2.3600412E+002, 8.9981180E-001, 1.9709601E-006, 2.9522609E-002, 7.8363433E-002
 2.6040000E+003, 2.3700412E+002, 8.9978659E-001, 2.2257930E-006, 3.3339702E-002, 7.8786947E-002
 2.6160000E+003, 2.3800412E+002, 8.9975822E-001, 2.5123634E-006, 3.7632182E-002, 7.9262905E-002
 2.6280000E+003, 2.3900412E+002, 8.9972615E-001, 2.8344691E-006, 4.2456936E-002, 7.9798028E-002
 2.6400000E+003, 2.4000412E+002, 8.9968997E-001, 3.1963430E-006, 4.7877371E-002, 8.0399096E-002
 2.6520000E+003, 2.4100412E+002, 8.9964920E-001, 3.6027011E-006, 5.3964127E-002, 8.1074066E-002
 2.6640000E+003, 2.4200412E+002, 8.9960331E-001, 4.0587938E-006, 6.0795851E-002, 8.1831656E-002
 2.6760000E+003, 2.4300412E+002, 8.9955151E-001, 4.5704646E-006, 6.8460062E-002, 8.2681701E-002
 2.6880000E+003, 2.4400412E+002, 8.9949328E-001, 5.1442125E-006, 7.7054121E-002, 8.3634496E-002
 2.7000000E+003, 2.4500412E+002, 8.9942771E-001, 5.7872626E-006, 8.6686224E-002, 8.4702261E-002
 2.7120000E+003, 2.4600412E+002, 8.9935404E-001, 6.5076406E-006, 9.7476624E-002, 8.5899010E-002
