s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 2.7240000E+003, 2.4700412E+002, 8.9927113E-001, 7.3142605E-006, 1.0955883E-001, 8.7238692E-002
 2.7360000E+003, 2.4800412E+002, 8.9917803E-001, 8.2170145E-006, 1.2308098E-001, 8.8737644E-002
 2.7480000E+003, 2.4900412E+002, 8.9907342E-001, 9.2268720E-006, 1.3820745E-001, 9.0414807E-002
 2.7600000E+003, 2.5000412E+002, 8.9895600E-001, 1.0355996E-005, 1.5512036E-001, 9.2290081E-002
 2.7720000E+003, 2.5100412E+002, 8.9882421E-001, 1.1617855E-005, 1.7402150E-001, 9.4385505E-002
 2.7840000E+003, 2.5200412E+002, 8.9867640E-001, 1.3027364E-005, 1.9513424E-001, 9.6726380E-002
 2.7960000E+003, 2.5300412E+002, 8.9851075E-001, 1.4601020E-005, 2.1870571E-001, 9.9339359E-002
 2.8080000E+003, 2.5400412E+002, 8.9832509E-001, 1.6357062E-005, 2.4500909E-001, 1.0225552E-001
 2.8200000E+003, 2.5500410E+002, 8.9811718E-001, 1.8315637E-005, 2.7434620E-001, 1.0550754E-001
 2.8320000E+003, 2.5600412E+002, 8.9788443E-001, 2.0498985E-005, 3.0705014E-001, 1.0913295E-001
 2.8440000E+003, 2.5700412E+002, 8.9762396E-001, 2.2931636E-005, 3.4348831E-001, 1.1317220E-001
 2.8560000E+003, 2.5800412E+002, 8.9733273E-001, 2.5640620E-005, 3.8406566E-001, 1.1767003E-001
 2.8680000E+003, 2.5900409E+002, 8.9700711E-001, 2.8655699E-005, 4.2922789E-001, 1.2267616E-001
 2.8800000E+003, 2.6000409E+002, 8.9664328E-001, 3.2009604E-005, 4.7946537E-001, 1.2824459E-001
 2.8920000E+003, 2.6100409E+002, 8.9623702E-001, 3.5738307E-005, 5.3531682E-001, 1.3443469E-001
 2.9040000E+003, 2.6200409E+002, 8.9578354E-001, 3.9881274E-005, 5.9737349E-001, 1.4131314E-001
 2.9160000E+003, 2.6300409E+002, 8.9527762E-001, 4.4481785E-005, 6.6628361E-001, 1.4895031E-001
 2.9280000E+003, 2.6400409E+002, 8.9471346E-001, 4.9587208E-005, 7.4275672E-001, 1.5742588E-001
 2.9400000E+003, 2.6500409E+002, 8.9408475E-001, 5.5249340E-005, 8.2756865E-001, 1.6682512E-001
 2.9520000E+003, 2.6600406E+002, 8.9338440E-001, 6.1524705E-005, 9.2156607E-001, 1.7724201E-001
 2.9640000E+003, 2.6700406E+002, 8.9260477E-001, 6.8474917E-005, 1.0256720E+000, 1.8877840E-001
 2.9760000E+003, 2.6800406E+002, 8.9173734E-001, 7.6166980E-005, 1.1408898E+000, 2.0154607E-001
 2.9880000E+003, 2.6900406E+002, 8.9077270E-001, 8.4673629E-005, 1.2683091E+000, 2.1566500E-001
 3.0000000E+003, 2.7000406E+002, 8.8970071E-001, 9.4073643E-005, 1.4091100E+000, 2.3126613E-001
 3.0120000E+003, 2.7100403E+002, 8.8851005E-001, 1.0445212E-004, 1.5645671E+000, 2.4849071E-001
 3.0240000E+003, 2.7200403E+002, 8.8718843E-001, 1.1590075E-004, 1.7360538E+000, 2.6748991E-001
 3.0360000E+003, 2.7300403E+002, 8.8572252E-001, 1.2851800E-004, 1.9250450E+000, 2.8842780E-001
 3.0480000E+003, 2.7400400E+002, 8.8409764E-001, 1.4240923E-004, 2.1331191E+000, 3.1147867E-001
 3.0600000E+003, 2.7500400E+002, 8.8229769E-001, 1.5768677E-004, 2.3619580E+000, 3.3682841E-001
 3.0720000E+003, 2.7600397E+002, 8.8030553E-001, 1.7446975E-004, 2.6133471E+000, 3.6467454E-001
 3.0840000E+003, 2.7700397E+002, 8.7810218E-001, 1.9288396E-004, 2.8891697E+000, 3.9522478E-001
 3.0960000E+003, 2.7800394E+002, 8.7566733E-001, 2.1306131E-004, 3.1914022E+000, 4.2869818E-001
 3.1080000E+003, 2.7900394E+002, 8.7297899E-001, 2.3513920E-004, 3.5221024E+000, 4.6532181E-001
 3.1200000E+003, 2.8000391E+002, 8.7001348E-001, 2.5925951E-004, 3.8833957E+000, 5.0532991E-001
 3.1320000E+003, 2.8100388E+002, 8.6674547E-001, 2.8556734E-004, 4.2774549E+000, 5.4896253E-001
 3.1440000E+003, 2.8200385E+002, 8.6314780E-001, 3.1420906E-004, 4.7064734E+000, 5.9646171E-001
 3.1560000E+003, 2.8300381E+002, 8.5919154E-001, 3.4533025E-004, 5.1726317E+000, 6.4806676E-001
 3.1680000E+003, 2.8400378E+002, 8.5484612E-001, 3.7907271E-004, 5.6780529E+000, 7.0401245E-001
 3.1800000E+003, 2.8500375E+002, 8.5007924E-001, 4.1557095E-004, 6.2247529E+000, 7.6451921E-001
 3.1920000E+003, 2.8600372E+002, 8.4485710E-001, 4.5494779E-004, 6.8145704E+000, 8.2978839E-001
 3.2040000E+003, 2.8700369E+002, 8.3914447E-001, 4.9730926E-004, 7.4490943E+000, 8.9999437E-001
 3.2160000E+003, 2.8800366E+002, 8.3290505E-001, 5.4273824E-004, 8.1295662E+000, 9.7527069E-001
 3.2280000E+003, 2.8900360E+002, 8.2610160E-001, 5.9128733E-004, 8.8567734E+000, 1.0557013E+000
 3.2400000E+003, 2.9000357E+002, 8.1869656E-001, 6.4297038E-004, 9.6309223E+000, 1.1413051E+000
 3.2520000E+003, 2.9100351E+002, 8.1065255E-001, 6.9775281E-004, 1.0451498E+001, 1.2320201E+000
 3.2640000E+003, 2.9200348E+002, 8.0193287E-001, 7.5554097E-004, 1.1317095E+001, 1.3276857E+000
 3.2760000E+003, 2.9300342E+002, 7.9250228E-001, 8.1617013E-004, 1.2225246E+001, 1.4280226E+000
 3.2880000E+003, 2.9400336E+002, 7.8232819E-001, 8.7939168E-004, 1.3172230E+001, 1.5326117E+000
 3.3000000E+003, 2.9500330E+002, 7.7138144E-001, 9.4485976E-004, 1.4152862E+001, 1.6408722E+000
 3.3120000E+003, 2.9600323E+002, 7.5963777E-001, 1.0121170E-003, 1.5160295E+001, 1.7520370E+000
 3.3240000E+003, 2.9700317E+002, 7.4707901E-001, 1.0805816E-003, 1.6185812E+001, 1.8651321E+000
 3.3360000E+003, 2.9800311E+002, 7.3369497E-001, 1.1495342E-003, 1.7218641E+001, 1.9789553E+000
 3.3480000E+003, 2.9900305E+002, 7.1948481E-001, 1.2181083E-003, 1.8245798E+001, 2.0920599E+000
 3.3600000E+003, 3.0000302E+002, 7.0445913E-001, 1.2852828E-003, 1.9251989E+001, 2.2027414E+000
 3.3720000E+003, 3.0100296E+002, 6.8864173E-001, 1.3498797E-003, 2.0219572E+001, 2.3090372E+000
 3.3840000E+003, 3.0200290E+002, 6.7207140E-001, 1.4105692E-003, 2.1128630E+001, 2.4087324E+000
 3.3960000E+003, 3.0300284E+002, 6.5480375E-001, 1.4658829E-003, 2.1957161E+001, 2.4993832E+000
 3.4080000E+003, 3.0400281E+002, 6.3691282E-001, 1.5142369E-003, 2.2681446E+001, 2.5783563E+000
 3.4200000E+003, 3.0500278E+002, 6.1849213E-001, 1.5539684E-003, 2.3276577E+001, 2.6428893E+000
 3.4320000E+003, 3.0600275E+002, 5.9965539E-001, 1.5833860E-003, 2.3717216E+001, 2.6901743E+000
 3.4440000E+003, 3.0700275E+002, 5.8053643E-001, 1.6008340E-003, 2.3978565E+001, 2.7174673E+000
 3.4560000E+003, 3.0800275E+002, 5.6128836E-001, 1.6047730E-003, 2.4037567E+001, 2.7222216E+000
 3.4680000E+003, 3.0900275E+002, 5.4208165E-001, 1.5938727E-003, 2.3874296E+001, 2.7022405E+000
 3.4800000E+003, 3.1000278E+002, 5.2310079E-001, 1.5671150E-003, 2.3473495E+001, 2.6558490E+000
 3.4920000E+003, 3.1100281E+002, 5.0454026E-001, 1.5239002E-003, 2.2826191E+001, 2.5820730E+000
 3.5040000E+003, 3.1200287E+002, 4.8659855E-001, 1.4641515E-003, 2.1931229E+001, 2.4808080E+000
 3.5160000E+003, 3.1300293E+002, 4.6947151E-001, 1.3884032E-003, 2.0796610E+001, 2.3529675E+000
 3.5280000E+003, 3.1400302E+002, 4.5334446E-001, 1.2978639E-003, 1.9440439E+001, 2.2005842E+000
 3.5400000E+003, 3.1500311E+002, 4.3838409E-001, 1.1944399E-003, 1.7891273E+001, 2.0268574E+000
 3.5520000E+003, 3.1600320E+002, 4.2473006E-001, 1.0807095E-003, 1.6187729E+001, 1.8360904E+000
 3.5640000E+003, 3.1700330E+002, 4.1248745E-001, 9.5983531E-004, 1.4377177E+001, 1.6335672E+000
 3.5760000E+003, 3.1800342E+002, 4.0172049E-001, 8.3541498E-004, 1.2513511E+001, 1.4252834E+000
 3.5880000E+003, 3.1900354E+002, 3.9244878E-001, 7.1127346E-004, 1.0654021E+001, 1.2176116E+000
 3.6000000E+003, 3.2000363E+002, 3.8464579E-001, 5.9120997E-004, 8.8556137E+000, 1.0168780E+000
 3.6120000E+003, 3.2100372E+002, 3.7824100E-001, 4.7872335E-004, 7.1707001E+000, 8.2890433E-001
 3.6240000E+003, 3.2200381E+002, 3.7312502E-001, 3.7674815E-004, 5.6432343E+000, 6.5856838E-001
 3.6360000E+003, 3.2300391E+002, 3.6915782E-001, 2.8743473E-004, 4.3054266E+000, 5.0943846E-001
 3.6480000E+003, 3.2400397E+002, 3.6617914E-001, 2.1200776E-004, 3.1756210E+000, 3.8354060E-001
 3.6600000E+003, 3.2500403E+002, 3.6401978E-001, 1.5072607E-004, 2.2576952E+000, 2.8128606E-001
 3.6720000E+003, 3.2600406E+002, 3.6251304E-001, 1.0295265E-004, 1.5421069E+000, 2.0159769E-001
 3.6840000E+003, 3.2700409E+002, 3.6150444E-001, 6.7323599E-005, 1.0084265E+000, 1.4218612E-001
 3.6960000E+003, 3.2800412E+002, 3.6085910E-001, 4.1987194E-005, 6.2891763E-001, 9.9949375E-002
 3.7080000E+003, 3.2900412E+002, 3.6046597E-001, 2.4870702E-005, 3.7253317E-001, 7.1427196E-002
 3.7200000E+003, 3.3000415E+002, 3.6023894E-001, 1.3929684E-005, 2.0864992E-001, 5.3200666E-002
 3.7320000E+003, 3.3100415E+002, 3.6011517E-001, 7.3418091E-006, 1.0997146E-001, 4.2228561E-002
 3.7440000E+003, 3.3200415E+002, 3.6005181E-001, 3.6233646E-006, 5.4273643E-002, 3.6039405E-002
 3.7560000E+003, 3.3300415E+002, 3.6002150E-001, 1.6664446E-006, 2.4961336E-002, 3.2782249E-002
 3.7680000E+003, 3.3400415E+002, 3.6000800E-001, 7.1195842E-007, 1.0664281E-002, 3.1194182E-002
 3.7800000E+003, 3.3500415E+002, 3.6000240E-001, 2.8352497E-007, 4.2468626E-003, 3.0480359E-002
 3.7920000E+003, 3.3600415E+002, 3.6000022E-001, 1.0822120E-007, 1.6210234E-003, 3.0188581E-002
 3.8040000E+003, 3.3700415E+002, 3.5999939E-001, 4.3954348E-008, 6.5838324E-004, 3.0080985E-002
 3.8160000E+003, 3.3800415E+002, 3.5999900E-001, 2.3875874E-008, 3.5763186E-004, 3.0047024E-002
 3.8280000E+003, 3.3900415E+002, 3.5999876E-001, 1.9763698E-008, 2.9603642E-004, 3.0038860E-002
 3.8400000E+003, 3.4000415E+002, 3.5999852E-001, 2.1023833E-008, 3.1491171E-004, 3.0039016E-002
 3.8520000E+003, 3.4100415E+002, 3.5999826E-001, 2.4177396E-008, 3.6214830E-004, 3.0042063E-002
 3.8640000E+003, 3.4200415E+002, 3.5999793E-001, 2.8272343E-008, 4.2348568E-004, 3.0047933E-002
 3.8760000E+003, 3.4300415E+002, 3.5999757E-001, 3.3145788E-008, 4.9648405E-004, 3.0053660E-002
 3.8880000E+003, 3.4400415E+002, 3.5999712E-001, 3.8857340E-008, 5.8203621E-004, 3.0059911E-002
 3.9000000E+003, 3.4500415E+002, 3.5999662E-001, 4.5532353E-008, 6.8201986E-004, 3.0068131E-002
 3.9120000E+003, 3.4600415E+002, 3.5999602E-001, 5.3327017E-008, 7.9877459E-004, 3.0076249E-002
 3.9240000E+003, 3.4700415E+002, 3.5999534E-001, 6.2424242E-008, 9.3504007E-004, 3.0086352E-002
 3.9360000E+003, 3.4800415E+002, 3.5999453E-001, 7.3036318E-008, 1.0939962E-003, 3.0100197E-002
 3.9480000E+003, 3.4900415E+002, 3.5999358E-001, 8.5409283E-008, 1.2793283E-003, 3.0114846E-002
 3.9600000E+003, 3.5000415E+002, 3.5999247E-001, 9.9828121E-008, 1.4953051E-003, 3.0130530E-002
 3.9720000E+003, 3.5100415E+002, 3.5999116E-001, 1.1662276E-007, 1.7468687E-003, 3.0151209E-002
 3.9840000E+003, 3.5200415E+002, 3.5998964E-001, 1.3617502E-007, 2.0397380E-003, 3.0173905E-002
 3.9960000E+003, 3.5300415E+002, 3.5998788E-001, 1.5892644E-007, 2.3805269E-003, 3.0200765E-002
 4.0080000E+003, 3.5400415E+002, 3.5998583E-001, 1.8538751E-007, 2.7768819E-003, 3.0230921E-002
 4.0200000E+003, 3.5500415E+002, 3.5998341E-001, 2.1614805E-007, 3.2376377E-003, 3.0267309E-002
 4.0320000E+003, 3.5600415E+002, 3.5998061E-001, 2.5188928E-007, 3.7729982E-003, 3.0310176E-002
 4.0440000E+003, 3.5700415E+002, 3.5997733E-001, 2.9339751E-007, 4.3947417E-003, 3.0357881E-002
 4.0560000E+003, 3.5800415E+002, 3.5997355E-001, 3.4158001E-007, 5.1164576E-003, 3.0413372E-002
 4.0680000E+003, 3.5900415E+002, 3.5996911E-001, 3.9748309E-007, 5.9538186E-003, 3.0479163E-002
 4.0800000E+003, 3.6000415E+002, 3.5996395E-001, 4.6231278E-007, 6.9248891E-003, 3.0555708E-002
 4.0920000E+003, 3.6100415E+002, 3.5995796E-001, 5.3745856E-007, 8.0504818E-003, 3.0643646E-002
 4.1040000E+003, 3.6200415E+002, 3.5995102E-001, 6.2452045E-007, 9.3545653E-003, 3.0746212E-002
 4.1160000E+003, 3.6300415E+002, 3.5994291E-001, 7.2534021E-007, 1.0864723E-002, 3.0864429E-002
 4.1280000E+003, 3.6400415E+002, 3.5993353E-001, 8.4203651E-007, 1.2612694E-002, 3.1000605E-002
 4.1400000E+003, 3.6500415E+002, 3.5992262E-001, 9.7704572E-007, 1.4634969E-002, 3.1158343E-002
 4.1520000E+003, 3.6600415E+002, 3.5990998E-001, 1.1331678E-006, 1.6973488E-002, 3.1341698E-002
 4.1640000E+003, 3.6700415E+002, 3.5989532E-001, 1.3136191E-006, 1.9676434E-002, 3.1551857E-002
 4.1760000E+003, 3.6800415E+002, 3.5987830E-001, 1.5220929E-006, 2.2799119E-002, 3.1796981E-002
 4.1880000E+003, 3.6900415E+002, 3.5985863E-001, 1.7628271E-006, 2.6405029E-002, 3.2078873E-002
 4.2000000E+003, 3.7000415E+002, 3.5983583E-001, 2.0406826E-006, 3.0566972E-002, 3.2403447E-002
 4.2120000E+003, 3.7100415E+002, 3.5980946E-001, 2.3612322E-006, 3.5368416E-002, 3.2778829E-002
 4.2240000E+003, 3.7200415E+002, 3.5977894E-001, 2.7308602E-006, 4.0905003E-002, 3.3213042E-002
 4.2360000E+003, 3.7300415E+002, 3.5974365E-001, 3.1568784E-006, 4.7286239E-002, 3.3710167E-002
 4.2480000E+003, 3.7400415E+002, 3.5970286E-001, 3.6476545E-006, 5.4637477E-002, 3.4286045E-002
 4.2600000E+003, 3.7500415E+002, 3.5965577E-001, 4.2127604E-006, 6.3102081E-002, 3.4947731E-002
 4.2720000E+003, 3.7600415E+002, 3.5960135E-001, 4.8631368E-006, 7.2843939E-002, 3.5708077E-002
 4.2840000E+003, 3.7700415E+002, 3.5953858E-001, 5.6112840E-006, 8.4050283E-002, 3.6584415E-002
 4.2960000E+003, 3.7800415E+002, 3.5946617E-001, 6.4714736E-006, 9.6934885E-002, 3.7590913E-002
 4.3080000E+003, 3.7900415E+002, 3.5938266E-001, 7.4599866E-006, 1.1174162E-001, 3.8748749E-002
 4.3200000E+003, 3.8000415E+002, 3.5928643E-001, 8.5953861E-006, 1.2874855E-001, 4.0076707E-002
 4.3320000E+003, 3.8100415E+002, 3.5917556E-001, 9.8988194E-006, 1.4827240E-001, 4.1603405E-002
 4.3440000E+003, 3.8200415E+002, 3.5904795E-001, 1.1394356E-005, 1.7067374E-001, 4.3354210E-002
 4.3560000E+003, 3.8300415E+002, 3.5890108E-001, 1.3109372E-005, 1.9636261E-001, 4.5360941E-002
 4.3680000E+003, 3.8400415E+002, 3.5873213E-001, 1.5074973E-005, 2.2580495E-001, 4.7662169E-002
 4.3800000E+003, 3.8500415E+002, 3.5853791E-001, 1.7326463E-005, 2.5952956E-001, 5.0298255E-002
 4.3920000E+003, 3.8600415E+002, 3.5831475E-001, 1.9903871E-005, 2.9813606E-001, 5.3313915E-002
 4.4040000E+003, 3.8700415E+002, 3.5805845E-001, 2.2852530E-005, 3.4230340E-001, 5.6764092E-002
 4.4160000E+003, 3.8800412E+002, 3.5776427E-001, 2.6223701E-005, 3.9279950E-001, 6.0710657E-002
 4.4280000E+003, 3.8900412E+002, 3.5742682E-001, 3.0075273E-005, 4.5049140E-001, 6.5219544E-002
 4.4400000E+003, 3.9000412E+002, 3.5703990E-001, 3.4472509E-005, 5.1635671E-001, 7.0363872E-002
 4.4520000E+003, 3.9100412E+002, 3.5659653E-001, 3.9488848E-005, 5.9149539E-001, 7.6235250E-002
 4.4640000E+003, 3.9200412E+002, 3.5608882E-001, 4.5206754E-005, 6.7714280E-001, 8.2925923E-002
 4.4760000E+003, 3.9300412E+002, 3.5550779E-001, 5.1718624E-005, 7.7468276E-001, 9.0546608E-002
 4.4880000E+003, 3.9400412E+002, 3.5484329E-001, 5.9127688E-005, 8.8566160E-001, 9.9215865E-002
 4.5000000E+003, 3.9500412E+002, 3.5408387E-001, 6.7548950E-005, 1.0118020E+000, 1.0906897E-001
 4.5120000E+003, 3.9600409E+002, 3.5321665E-001, 7.7110060E-005, 1.1550159E+000, 1.2025481E-001
 4.5240000E+003, 3.9700409E+002, 3.5222709E-001, 8.7952176E-005, 1.3174177E+000, 1.3294022E-001
 4.5360000E+003, 3.9800409E+002, 3.5109890E-001, 1.0023061E-004, 1.5013340E+000, 1.4730437E-001
 4.5480000E+003, 3.9900409E+002, 3.4981382E-001, 1.1411535E-004, 1.7093107E+000, 1.6354655E-001
 4.5600000E+003, 4.0000406E+002, 3.4835148E-001, 1.2979122E-004, 1.9441164E+000, 1.8188325E-001
 4.5720000E+003, 4.0100406E+002, 3.4668919E-001, 1.4745767E-004, 2.2087383E+000, 2.0254540E-001
 4.5840000E+003, 4.0200406E+002, 3.4480181E-001, 1.6732782E-004, 2.5063694E+000, 2.2578415E-001
 4.5960000E+003, 4.0300403E+002, 3.4266153E-001, 1.8962691E-004, 2.8403831E+000, 2.5186074E-001
 4.6080000E+003, 4.0400403E+002, 3.4023777E-001, 2.1458953E-004, 3.2142928E+000, 2.8104937E-001
 4.6200000E+003, 4.0500400E+002, 3.3749712E-001, 2.4245548E-004, 3.6316915E+000, 3.1362736E-001
 4.6320000E+003, 4.0600397E+002, 3.3440331E-001, 2.7346413E-004, 4.0961637E+000, 3.4987515E-001
 4.6440000E+003, 4.0700397E+002, 3.3091721E-001, 3.0784629E-004, 4.6111670E+000, 3.9005998E-001
 4.6560000E+003, 4.0800394E+002, 3.2699704E-001, 3.4581387E-004, 5.1798759E+000, 4.3442661E-001
 4.6680000E+003, 4.0900391E+002, 3.2259864E-001, 3.8754605E-004, 5.8049736E+000, 4.8318249E-001
 4.6800000E+003, 4.1000388E+002, 3.1767598E-001, 4.3317219E-004, 6.4883986E+000, 5.3647423E-001
 4.6920000E+003, 4.1100385E+002, 3.1218192E-001, 4.8275033E-004, 7.2310190E+000, 5.9436601E-001
 4.7040000E+003, 4.1200381E+002, 3.0606914E-001, 5.3624139E-004, 8.0322514E+000, 6.5680480E-001
 4.7160000E+003, 4.1300378E+002, 2.9929158E-001, 5.9347885E-004, 8.8895988E+000, 7.2359067E-001
 4.7280000E+003, 4.1400375E+002, 2.9180604E-001, 6.5413362E-004, 9.7981348E+000, 7.9433024E-001
 4.7400000E+003, 4.1500372E+002, 2.8357458E-001, 7.1767566E-004, 1.0749917E+001, 8.6839491E-001
 4.7520000E+003, 4.1600366E+002, 2.7456689E-001, 7.8333309E-004, 1.1733387E+001, 9.4486976E-001
 4.7640000E+003, 4.1700363E+002, 2.6476368E-001, 8.5005222E-004, 1.2732759E+001, 1.0225126E+000
 4.7760000E+003, 4.1800360E+002, 2.5416017E-001, 9.1646140E-004, 1.3727489E+001, 1.0997075E+000
 4.7880000E+003, 4.1900354E+002, 2.4277011E-001, 9.8084530E-004, 1.4691882E+001, 1.1744339E+000
 4.8000000E+003, 4.2000351E+002, 2.3062997E-001, 1.0411364E-003, 1.5594972E+001, 1.2442622E+000
 4.8120000E+003, 4.2100348E+002, 2.1780308E-001, 1.0949336E-003, 1.6400787E+001, 1.3063736E+000
 4.8240000E+003, 4.2200345E+002, 2.0438331E-001, 1.1395558E-003, 1.7069176E+001, 1.3576217E+000
 4.8360000E+003, 4.2300342E+002, 1.9049799E-001, 1.1721454E-003, 1.7557327E+001, 1.3946601E+000
 4.8480000E+003, 4.2400342E+002, 1.7630899E-001, 1.1898256E-003, 1.7822157E+001, 1.4141273E+000
 4.8600000E+003, 4.2500342E+002, 1.6201171E-001, 1.1899193E-003, 1.7823559E+001, 1.4128929E+000
 4.8720000E+003, 4.2600345E+002, 1.4783116E-001, 1.1702239E-003, 1.7528547E+001, 1.3884002E+000
 4.8840000E+003, 4.2700345E+002, 1.3401432E-001, 1.1293275E-003, 1.6915966E+001, 1.3390170E+000
 4.8960000E+003, 4.2800351E+002, 1.2081865E-001, 1.0669326E-003, 1.5981367E+001, 1.2644236E+000
 4.9080000E+003, 4.2900354E+002, 1.0849699E-001, 9.8414137E-004, 1.4741253E+001, 1.1659485E+000
 4.9200000E+003, 4.3000360E+002, 9.7279504E-002, 8.8363548E-004, 1.3235797E+001, 1.0467671E+000
 4.9320000E+003, 4.3100369E+002, 8.7354437E-002, 7.6968462E-004, 1.1528950E+001, 9.1191435E-001
 4.9440000E+003, 4.3200375E+002, 7.8850232E-002, 6.4792141E-004, 9.7050829E+000, 7.6802313E-001
 4.9560000E+003, 4.3300385E+002, 7.1821786E-002, 5.2485877E-004, 7.8617530E+000, 6.2274855E-001
 4.9680000E+003, 4.3400391E+002, 6.6244036E-002, 4.0717795E-004, 6.0990357E+000, 4.8394087E-001
 4.9800000E+003, 4.3500397E+002, 6.2014956E-002, 3.0088532E-004, 4.5069003E+000, 3.5864756E-001
 4.9920000E+003, 4.3600403E+002, 5.8968697E-002, 2.1050258E-004, 3.1530752E+000, 2.5217047E-001
 5.0040000E+003, 4.3700409E+002, 5.6897253E-002, 1.3848237E-004, 2.0742993E+000, 1.6736709E-001
 5.0160000E+003, 4.3800412E+002, 5.5576913E-002, 8.5014064E-005, 1.2734084E+000, 1.0443995E-001
 5.0280000E+003, 4.3900412E+002, 5.4794282E-002, 4.8285692E-005, 7.2326159E-001, 6.1234452E-002
 5.0400000E+003, 4.4000415E+002, 5.4366689E-002, 2.5130110E-005, 3.7641883E-001, 3.4009289E-002
 5.0520000E+003, 4.4100415E+002, 5.4153491E-002, 1.1855645E-005, 1.7758331E-001, 1.8415663E-002
 5.0640000E+003, 4.4200415E+002, 5.4057550E-002, 5.0089393E-006, 7.5027883E-002, 1.0380750E-002
 5.0760000E+003, 4.4300415E+002, 5.4019067E-002, 1.8696069E-006, 2.8004462E-002, 6.7000026E-003
 5.0880000E+003, 4.4400415E+002, 5.4005496E-002, 6.0717645E-007, 9.0947729E-003, 5.2195680E-003
 5.1000000E+003, 4.4500415E+002, 5.4001357E-002, 1.6865957E-007, 2.5263175E-003, 4.7037434E-003
 5.1120000E+003, 4.4600415E+002, 5.4000281E-002, 3.9310411E-008, 5.8882264E-004, 4.5461282E-003
 5.1240000E+003, 4.4700415E+002, 5.4000046E-002, 7.5242257E-009, 1.1270385E-004, 4.5061512E-003
 5.1360000E+003, 4.4800415E+002, 5.4000005E-002, 1.1545045E-009, 1.7293087E-005, 4.4989982E-003
 5.1480000E+003, 4.4900415E+002, 5.4000001E-002, 1.3821543E-010, 2.0703008E-006, 4.4952920E-003
 5.1600000E+003, 4.5000415E+002, 5.4000001E-002, 1.2524517E-011, 1.8760220E-007, 4.4970382E-003
 5.1720000E+003, 4.5100415E+002, 5.4000001E-002, 8.3026581E-013, 1.2436383E-008, 4.4974722E-003
 5.1840000E+003, 4.5200415E+002, 5.4000001E-002, 3.8754681E-014, 5.8049854E-010, 4.4977977E-003
 5.1960000E+003, 4.5300415E+002, 5.4000001E-002, 1.2202387E-015, 1.8277707E-011, 4.4985102E-003
 5.2080000E+003, 4.5400415E+002, 5.4000001E-002, 2.4697150E-017, 3.6993358E-013, 4.5007612E-003
 5.2200000E+003, 4.5500415E+002, 5.4000001E-002, 3.0437473E-019, 4.5591671E-015, 4.5038708E-003
 5.2320000E+003, 4.5600415E+002, 5.4000001E-002, 2.1492281E-021, 3.2192850E-017, 4.5055095E-003
 5.2440000E+003, 4.5700415E+002, 5.4000001E-002, 8.1191316E-024, 1.2161482E-019, 4.5035505E-003
 5.2560000E+003, 4.5800415E+002, 5.4000001E-002, 1.5190638E-026, 2.2753747E-022, 4.5020375E-003
 5.2680000E+003, 4.5900415E+002, 5.4000001E-002, 1.2903327E-029, 1.9327632E-025, 4.5014694E-003
 5.2800000E+003, 4.6000415E+002, 5.4000001E-002, 4.5107337E-033, 6.7565360E-029, 4.5005349E-003
 5.2920000E+003, 4.6100415E+002, 5.4000001E-002, 5.8079503E-037, 8.6996111E-033, 4.4992813E-003
 5.3040000E+003, 4.6200415E+002, 5.4000001E-002, 0.0000000E+000, 3.6387970E-037, 4.4998568E-003
 5.3160000E+003, 4.6300415E+002, 5.4000001E-002, 0.0000000E+000, 0.0000000E+000, 4.4995365E-003
 5.3280000E+003, 4.6400415E+002, 5.4000001E-002, 0.0000000E+000, 0.0000000E+000, 4.4992552E-003
 5.3400000E+003, 4.6500415E+002, 5.4000001E-002, 0.0000000E+000, 0.0000000E+000, 4.4988366E-003
 5.3520000E+003, 4.6600415E+002, 5.4000001E-002, 0.0000000E+000, 0.0000000E+000, 4.4987802E-003
 5.3640000E+003, 4.6700415E+002, 5.4000001E-002, 0.0000000E+000, 0.0000000E+000, 4.5003355E-003
 5.3760000E+003, 4.6800415E+002, 5.4000001E-002, 0.0000000E+000, 0.0000000E+000, 4.5015854E-003
 5.3880000E+003, 4.6900415E+002, 5.4000001E-002, 0.0000000E+000, 0.0000000E+000, 4.5015975E-003
 5.4000000E+003, 4.7000415E+002, 5.4000001E-002, 0.0000000E+000, 0.0000000E+000, 4.5028511E-003
 5.4120000E+003, 4.7100415E+002, 5.4000001E-002, 0.0000000E+000, 0.0000000E+000, 4.5025996E-003
 5.4240000E+003, 4.7200415E+002, 5.4000001E-002, 0.0000000E+000, 0.0000000E+000, 4.5026615E-003
 5.4360000E+003, 4.7300415E+002, 5.4000001E-002, 0.0000000E+000, 0.0000000E+000, 4.5020753E-003
 5.4480000E+003, 4.7400415E+002, 5.4000001E-002, 0.0000000E+000, 0.0000000E+000, 4.5005269E-003
 5.4600000E+003, 4.7500415E+002, 5.4000001E-002, 0.0000000E+000, 0.0000000E+000, 4.4996142E-003
 5.4720000E+003, 4.7600415E+002, 5.4000001E-002, 0.0000000E+000, 0.0000000E+000, 4.4992561E-003
 5.4840000E+003, 4.7700415E+002, 5.4000001E-002, 0.0000000E+000, 0.0000000E+000, 4.4992734E-003
 5.4960000E+003, 4.7800415E+002, 5.4000001E-002, 0.0000000E+000, 0.0000000E+000, 4.4989283E-003
