          16
Time,Humans,Floor,Floor,Corridor,Corridor,Exit,Exit,Exit,Exit,Door,Door,Exit,Exit,Exit,Door,Door
Time,Inside,Inside,Inside,Inside,Inside,Counter,Counter,Counter,Counter,Counter,Counter,Target,Target,Target,Target,Target
s,All Nodes,MainEvacGrid,MainEvacGrid2,LeftCorr,RightCorr,LeftExit,RightExit,RightCounter,LeftCorrExit,LeftDoor2nd,RightDoor2nd,LeftExit,RightExit,LeftCorrExit,LeftDoor2nd,RightDoor2nd
 0.00000E+000,     150,     100,      50,       0,       0,       0,       0,       0,       0,       0,       0,      54,      23,       0,      13,      14
 1.00000E+000,     150,     100,      50,       0,       0,       0,       0,       0,       0,       0,       0,      54,      23,       0,      13,      14
 2.00000E+000,     150,     100,      50,       0,       0,       0,       0,       0,       0,       0,       0,      54,      23,       0,      14,      14
 3.05000E+000,     150,     100,      50,       0,       0,       0,       0,       0,       0,       0,       0,      54,      26,       0,      14,      14
 4.05000E+000,     148,      98,      47,       1,       2,       2,       0,       2,       0,       1,       2,      53,      28,       0,      14,      13
 5.05000E+000,     146,      96,      44,       3,       3,       3,       1,       3,       0,       3,       3,      55,      29,       0,      12,      19
 6.05000E+000,     143,      93,      41,       3,       6,       5,       2,       5,       0,       3,       6,      53,      31,       0,      12,      16
 7.05000E+000,     139,      89,      39,       3,       8,       7,       4,       7,       0,       3,       8,      51,      31,       0,      12,      17
 8.05000E+000,     134,      84,      36,       4,      10,      10,       6,       8,       0,       4,      10,      48,      30,       0,      11,      15
 9.05000E+000,     131,      81,      33,       5,      12,      12,       7,      10,       0,       5,      12,      47,      29,       0,      10,      13
 1.00000E+001,     127,      77,      31,       6,      13,      14,       9,      11,       0,       6,      13,      46,      28,       0,       9,      13
 1.10000E+001,     123,      73,      28,       7,      15,      16,      11,      13,       0,       7,      15,      44,      27,       0,       8,      13
 1.20000E+001,     121,      72,      25,       8,      16,      17,      12,      16,       0,       8,      17,      43,      26,       0,       7,      12
 1.30000E+001,     114,      66,      21,       9,      18,      20,      15,      17,       0,      10,      19,      40,      26,       0,       5,      11
 1.40000E+001,     110,      63,      21,       9,      17,      22,      17,      19,       0,      10,      19,      38,      23,       0,       5,      12
 1.50000E+001,     107,      62,      18,       9,      18,      23,      18,      21,       0,      11,      21,      37,      22,       0,       4,      13
 1.60000E+001,     103,      61,      15,       9,      18,      24,      20,      23,       0,      12,      23,      36,      20,       0,       3,      12
 1.70000E+001,      98,      57,      13,      10,      18,      27,      22,      24,       0,      13,      24,      33,      18,       0,       2,      11
 1.80000E+001,      93,      55,      11,       9,      18,      29,      24,      26,       0,      13,      26,      31,      16,       0,       2,       9
 1.90000E+001,      89,      52,       8,       9,      20,      31,      25,      27,       0,      14,      28,      29,      16,       0,       1,       7
 2.00000E+001,      85,      49,       7,       9,      20,      33,      27,      30,       0,      14,      29,      27,      16,       0,       1,       6
 2.10000E+001,      78,      45,       6,       7,      20,      36,      29,      32,       0,      14,      30,      24,      15,       0,       1,       5
 2.20000E+001,      73,      43,       4,       6,      20,      38,      31,      34,       0,      14,      32,      22,      15,       0,       1,       3
 2.30000E+001,      68,      41,       3,       4,      20,      39,      33,      36,       0,      14,      33,      21,      13,       0,       1,       2
 2.40000E+001,      63,      38,       2,       3,      20,      41,      35,      38,       0,      14,      34,      19,      13,       0,       1,       1
 2.50000E+001,      58,      35,       0,       3,      20,      43,      37,      39,       0,      15,      35,      17,      12,       0,       0,       0
 2.60000E+001,      54,      32,       0,       3,      19,      45,      39,      40,       0,      15,      35,      15,      10,       0,       0,       0
 2.70000E+001,      51,      32,       0,       2,      17,      46,      40,      42,       0,      15,      35,      14,      10,       0,       0,       0
 2.80000E+001,      49,      31,       0,       2,      16,      47,      41,      43,       0,      15,      35,      13,      11,       0,       0,       0
 2.90000E+001,      46,      30,       0,       2,      14,      49,      42,      45,       0,      15,      35,      11,      11,       0,       0,       0
 3.00000E+001,      43,      28,       0,       2,      13,      50,      44,      46,       0,      15,      35,      10,       9,       0,       0,       0
 3.10000E+001,      39,      26,       0,       1,      12,      51,      46,      47,       0,      15,      35,       9,      10,       0,       0,       0
 3.20000E+001,      36,      24,       0,       1,      11,      53,      47,      48,       0,      15,      35,       7,       9,       0,       0,       0
 3.30000E+001,      33,      22,       0,       1,      10,      55,      48,      49,       0,      15,      35,       5,       9,       0,       0,       0
 3.40000E+001,      32,      23,       0,       1,       8,      56,      48,      50,       0,      15,      35,       4,      10,       0,       0,       0
 3.50000E+001,      28,      20,       0,       0,       8,      57,      50,      52,       0,      15,      35,       3,       9,       0,       0,       0
 3.60000E+001,      26,      19,       0,       0,       7,      58,      51,      52,       0,      15,      35,       2,       9,       0,       0,       0
 3.70000E+001,      24,      18,       0,       0,       6,      59,      52,      54,       0,      15,      35,       1,      10,       0,       0,       0
 3.80500E+001,      22,      17,       0,       0,       5,      60,      53,      56,       0,      15,      35,       0,      11,       0,       0,       0
 3.90500E+001,      20,      16,       0,       0,       4,      60,      55,      58,       0,      15,      35,       0,      10,       0,       0,       0
 4.00500E+001,      18,      15,       0,       0,       3,      60,      57,      60,       0,      15,      35,       0,      10,       0,       0,       0
 4.10500E+001,      16,      14,       0,       0,       2,      60,      59,      61,       0,      15,      35,       0,       9,       0,       0,       0
 4.20500E+001,      14,      13,       0,       0,       1,      60,      61,      62,       0,      15,      35,       0,       7,       0,       0,       0
 4.30500E+001,      13,      12,       0,       0,       1,      60,      62,      64,       0,      15,      35,       0,       8,       0,       0,       0
 4.40500E+001,      12,      12,       0,       0,       0,      60,      63,      66,       0,      15,      35,       0,       8,       0,       0,       0
 4.50500E+001,      10,      10,       0,       0,       0,      60,      65,      68,       0,      15,      35,       0,       6,       0,       0,       0
 4.60500E+001,       8,       8,       0,       0,       0,      60,      67,      68,       0,      15,      35,       0,       6,       0,       0,       0
 4.70500E+001,       7,       7,       0,       0,       0,      60,      68,      70,       0,      15,      35,       0,       5,       0,       0,       0
 4.80500E+001,       6,       6,       0,       0,       0,      60,      69,      71,       0,      15,      35,       0,       4,       0,       0,       0
 4.90500E+001,       5,       5,       0,       0,       0,      60,      70,      72,       0,      15,      35,       0,       4,       0,       0,       0
 5.00500E+001,       3,       3,       0,       0,       0,      60,      72,      73,       0,      15,      35,       0,       3,       0,       0,       0
 5.10500E+001,       2,       2,       0,       0,       0,      60,      73,      74,       0,      15,      35,       0,       2,       0,       0,       0
