Time,Soot Mass Fraction,Obscuration (%/m)
0,0.00E+0,0.00
1,1.30E-5,12.62
2,2.43E-5,22.30
3,3.41E-5,29.84
4,4.26E-5,35.81
5,5.01E-5,40.59
6,5.65E-5,44.46
7,6.22E-5,47.62
8,6.71E-5,50.23
9,7.13E-5,52.39
10,7.51E-5,54.20
11,7.83E-5,55.71
12,8.11E-5,56.99
13,8.36E-5,58.07
14,8.57E-5,58.99
15,8.75E-5,59.77
16,8.92E-5,60.44
17,9.06E-5,61.02
18,9.18E-5,61.51
19,9.29E-5,61.93
20,9.38E-5,62.30
21,9.46E-5,62.61
22,9.53E-5,62.89
23,9.59E-5,63.12
24,9.64E-5,63.32
25,9.69E-5,63.50
26,9.73E-5,63.65
27,9.76E-5,63.79
28,9.80E-5,63.90
29,9.82E-5,64.00
30,9.84E-5,64.09
31,9.87E-5,64.16
32,9.88E-5,64.23
33,9.90E-5,64.28
34,9.91E-5,64.33
35,9.92E-5,64.37
36,9.93E-5,64.41
37,9.94E-5,64.44
38,9.95E-5,64.47
39,9.96E-5,64.50
40,9.96E-5,64.52
41,9.97E-5,64.54
42,9.97E-5,64.55
43,9.97E-5,64.57
44,9.98E-5,64.58
45,9.98E-5,64.59
46,9.98E-5,64.60
47,9.99E-5,64.61
48,9.99E-5,64.61
49,9.99E-5,64.62
50,9.99E-5,64.63
51,9.99E-5,64.63
52,9.99E-5,64.63
53,9.99E-5,64.64
54,9.99E-5,64.64
55,1.00E-4,64.64
56,1.00E-4,64.65
57,1.00E-4,64.65
58,1.00E-4,64.65
59,1.00E-4,64.65
60,1.00E-4,64.65
61,1.00E-4,64.65
62,1.00E-4,64.65
63,1.00E-4,64.65
64,1.00E-4,64.66
65,1.00E-4,64.66
66,1.00E-4,64.66
67,1.00E-4,64.66
68,1.00E-4,64.66
69,1.00E-4,64.66
70,1.00E-4,64.66
71,1.00E-4,64.66
72,1.00E-4,64.66
73,1.00E-4,64.66
74,1.00E-4,64.66
75,1.00E-4,64.66
76,1.00E-4,64.66
77,1.00E-4,64.66
78,1.00E-4,64.66
79,1.00E-4,64.66
80,1.00E-4,64.66
81,1.00E-4,64.66
82,1.00E-4,64.66
83,1.00E-4,64.66
84,1.00E-4,64.66
85,1.00E-4,64.66
86,1.00E-4,64.66
87,1.00E-4,64.66
88,1.00E-4,64.66
89,1.00E-4,64.66
90,1.00E-4,64.66
91,1.00E-4,64.66
92,1.00E-4,64.66
93,1.00E-4,64.66
94,1.00E-4,64.66
95,1.00E-4,64.66
96,1.00E-4,64.66
97,1.00E-4,64.66
98,1.00E-4,64.66
99,1.00E-4,64.66
100,1.00E-4,64.66
