s,kW
Time,HRR
0.00E+00,0.00E+00
1.00E+01,4.13E+01
2.00E+01,1.39E+02
3.00E+01,1.81E+02
4.00E+01,1.99E+02
5.00E+01,2.09E+02
6.00E+01,2.29E+02
7.00E+01,2.43E+02
8.00E+01,2.52E+02
9.00E+01,2.58E+02
1.00E+02,2.63E+02
1.10E+02,2.92E+02
1.20E+02,3.09E+02
1.30E+02,3.32E+02
1.40E+02,3.50E+02
1.50E+02,3.51E+02
1.60E+02,3.61E+02
1.70E+02,3.42E+02
1.80E+02,3.62E+02
1.90E+02,3.72E+02
2.00E+02,3.81E+02
2.10E+02,4.01E+02
2.20E+02,4.04E+02
2.30E+02,4.22E+02
2.40E+02,4.02E+02
2.50E+02,3.97E+02
2.60E+02,3.86E+02
2.70E+02,3.82E+02
2.80E+02,3.74E+02
2.90E+02,3.50E+02
3.00E+02,3.39E+02
3.10E+02,2.93E+02
3.20E+02,2.65E+02
3.30E+02,2.27E+02
3.40E+02,1.89E+02
3.50E+02,1.47E+02
3.60E+02,1.14E+02
3.70E+02,1.03E+02
3.80E+02,8.24E+01
3.90E+02,6.89E+01
4.00E+02,5.56E+01
4.10E+02,4.39E+01
4.20E+02,3.31E+01
4.30E+02,2.60E+01
4.40E+02,2.08E+01
4.50E+02,1.45E+01
4.60E+02,5.92E+00
4.70E+02,3.20E+00
4.80E+02,2.13E+00
4.90E+02,1.07E+00
5.00E+02,0.00E+00
