Time,Back,8 cm,6 cm,4 cm,2 cm,Front
0,20,20,20,20,20,20
50,20,20,20,20,20.02,20.79
100,20,20,20,20,20.1,21.12
150,20,20,20,20.01,20.21,21.37
200,20,20,20,20.03,20.33,21.58
250,20,20,20,20.07,20.45,21.76
300,20,20,20.01,20.1,20.57,21.92
350,20,20,20.02,20.15,20.68,22.08
400,20,20,20.03,20.2,20.79,22.22
450,20,20.01,20.05,20.25,20.89,22.35
500,20,20.01,20.07,20.31,21,22.47
1000,20.08,20.14,20.37,20.89,21.87,23.47
2000,20.6,20.74,21.19,21.98,23.19,24.86
3000,21.39,21.57,22.09,22.98,24.26,25.94
4000,22.28,22.47,23.01,23.93,25.23,26.9
5000,23.2,23.39,23.94,24.87,26.16,27.82
6000,24.13,24.31,24.86,25.78,27.07,28.72
7000,25.05,25.23,25.78,26.69,27.97,29.6
8000,25.96,26.14,26.69,27.59,28.85,30.47
9000,26.86,27.04,27.58,28.48,29.73,31.33
10000,27.76,27.94,28.47,29.36,30.6,32.19
15000,32.12,32.29,32.8,33.64,34.82,36.33
20000,36.27,36.43,36.91,37.72,38.85,40.29
25000,40.22,40.38,40.84,41.61,42.68,44.05
30000,43.99,44.14,44.58,45.31,46.33,47.64
35000,47.58,47.72,48.14,48.84,49.81,51.05
40000,51,51.13,51.53,52.2,53.12,54.31
45000,54.26,54.38,54.77,55.4,56.28,57.41
50000,57.36,57.48,57.85,58.45,59.29,60.37
