Time,controller 1,controller 3,controller 4
0.00E+00,-1,-1,-1
5.00E-02,-1,-1,-1
1.00E-01,-1,-1,-1
1.50E-01,-1,-1,-1
2.00E-01,-1,-1,-1
2.50E-01,-1,-1,-1
3.00E-01,-1,-1,-1
3.50E-01,-1,-1,-1
4.00E-01,-1,-1,-1
4.50E-01,-1,-1,-1
5.00E-01,-1,-1,-1
5.50E-01,-1,-1,-1
6.00E-01,-1,-1,-1
6.50E-01,-1,-1,-1
7.00E-01,-1,-1,-1
7.50E-01,-1,-1,-1
8.00E-01,-1,-1,-1
8.50E-01,-1,-1,-1
9.00E-01,-1,-1,-1
9.50E-01,-1,-1,-1
1.00E+00,-1,-1,-1
1.05E+00,-1,-1,-1
1.10E+00,-1,-1,-1
1.15E+00,-1,-1,-1
1.20E+00,-1,-1,-1
1.25E+00,-1,-1,-1
1.30E+00,-1,-1,-1
1.35E+00,-1,-1,-1
1.40E+00,-1,-1,-1
1.45E+00,-1,-1,-1
1.50E+00,-1,-1,-1
1.55E+00,-1,-1,-1
1.60E+00,-1,-1,-1
1.65E+00,-1,-1,-1
1.70E+00,-1,-1,-1
1.75E+00,-1,-1,-1
1.80E+00,-1,-1,-1
1.85E+00,-1,-1,-1
1.90E+00,-1,-1,-1
1.95E+00,-1,-1,-1
2.00E+00,-1,-1,-1
2.05E+00,-1,-1,-1
2.10E+00,-1,-1,-1
2.15E+00,-1,-1,-1
2.20E+00,-1,-1,-1
2.25E+00,-1,-1,-1
2.30E+00,-1,-1,-1
2.35E+00,-1,-1,-1
2.40E+00,-1,-1,-1
2.45E+00,-1,-1,-1
2.50E+00,-1,-1,-1
2.55E+00,-1,-1,-1
2.60E+00,-1,-1,-1
2.65E+00,-1,-1,-1
2.70E+00,-1,-1,-1
2.75E+00,-1,-1,-1
2.80E+00,-1,-1,-1
2.85E+00,-1,-1,-1
2.90E+00,-1,-1,-1
2.95E+00,-1,-1,-1
3.00E+00,1,-1,-1
3.05E+00,1,-1,-1
3.10E+00,1,-1,-1
3.15E+00,1,-1,-1
3.20E+00,1,-1,-1
3.25E+00,1,-1,-1
3.30E+00,1,-1,-1
3.35E+00,1,-1,-1
3.40E+00,1,-1,-1
3.45E+00,1,-1,-1
3.50E+00,1,-1,-1
3.55E+00,1,-1,-1
3.60E+00,1,-1,-1
3.65E+00,1,-1,-1
3.70E+00,1,-1,-1
3.75E+00,1,-1,-1
3.80E+00,1,-1,-1
3.85E+00,1,-1,-1
3.90E+00,1,-1,-1
3.95E+00,1,-1,-1
4.00E+00,1,-1,-1
4.05E+00,1,-1,-1
4.10E+00,1,-1,-1
4.15E+00,1,-1,-1
4.20E+00,1,-1,-1
4.25E+00,1,-1,-1
4.30E+00,1,-1,-1
4.35E+00,1,-1,-1
4.40E+00,1,-1,-1
4.45E+00,1,-1,-1
4.50E+00,1,-1,-1
4.55E+00,1,-1,-1
4.60E+00,1,-1,-1
4.65E+00,1,-1,-1
4.70E+00,1,-1,-1
4.75E+00,1,-1,-1
4.80E+00,1,-1,-1
4.85E+00,1,-1,-1
4.90E+00,1,-1,-1
4.95E+00,1,-1,-1
5.00E+00,1,-1,-1
5.05E+00,1,-1,-1
5.10E+00,1,-1,-1
5.15E+00,1,-1,-1
5.20E+00,1,-1,-1
5.25E+00,1,-1,-1
5.30E+00,1,-1,-1
5.35E+00,1,-1,-1
5.40E+00,1,-1,-1
5.45E+00,1,-1,-1
5.50E+00,1,-1,-1
5.55E+00,1,-1,-1
5.60E+00,1,-1,-1
5.65E+00,1,-1,-1
5.70E+00,1,-1,-1
5.75E+00,1,-1,-1
5.80E+00,1,-1,-1
5.85E+00,1,-1,-1
5.90E+00,1,-1,-1
5.95E+00,1,-1,-1
6.00E+00,-1,-1,-1
6.05E+00,-1,-1,-1
6.10E+00,-1,-1,-1
6.15E+00,-1,-1,-1
6.20E+00,-1,-1,-1
6.25E+00,-1,-1,-1
6.30E+00,-1,-1,-1
6.35E+00,-1,-1,-1
6.40E+00,-1,-1,-1
6.45E+00,-1,-1,-1
6.50E+00,-1,-1,-1
6.55E+00,-1,-1,-1
6.60E+00,-1,-1,-1
6.65E+00,-1,-1,-1
6.70E+00,-1,-1,-1
6.75E+00,-1,-1,-1
6.80E+00,-1,-1,-1
6.85E+00,-1,-1,-1
6.90E+00,-1,-1,-1
6.95E+00,-1,-1,-1
7.00E+00,-1,-1,-1
7.05E+00,-1,-1,-1
7.10E+00,-1,-1,-1
7.15E+00,-1,-1,-1
7.20E+00,-1,-1,-1
7.25E+00,-1,-1,-1
7.30E+00,-1,-1,-1
7.35E+00,-1,-1,-1
7.40E+00,-1,-1,-1
7.45E+00,-1,-1,-1
7.50E+00,-1,-1,-1
7.55E+00,-1,-1,-1
7.60E+00,-1,-1,-1
7.65E+00,-1,-1,-1
7.70E+00,-1,-1,-1
7.75E+00,-1,-1,-1
7.80E+00,-1,-1,-1
7.85E+00,-1,-1,-1
7.90E+00,-1,-1,-1
7.95E+00,-1,-1,-1
8.00E+00,-1,-1,-1
8.05E+00,-1,-1,-1
8.10E+00,-1,1,-1
8.15E+00,-1,1,-1
8.20E+00,-1,1,-1
8.25E+00,-1,1,-1
8.30E+00,-1,1,-1
8.35E+00,-1,1,-1
8.40E+00,-1,1,-1
8.45E+00,-1,1,-1
8.50E+00,-1,1,-1
8.55E+00,-1,1,-1
8.60E+00,-1,1,-1
8.65E+00,-1,1,-1
8.70E+00,-1,1,-1
8.75E+00,-1,1,-1
8.80E+00,-1,1,-1
