m,m/s,m,m/s
U_Z-z,U_Z,V_Z-z,V_Z
-9.9800000E+000, 1.5428032E-002,-9.9800000E+000,-1.4374382E-001
-8.9989990E+000, 1.5428032E-002,-8.9989990E+000,-1.4374382E-001
-7.9979980E+000, 1.5465234E-002,-7.9979980E+000,-1.4425727E-001
-6.9969970E+000, 1.5465234E-002,-6.9969970E+000,-1.4425727E-001
-5.9959960E+000, 1.5537511E-002,-5.9959960E+000,-1.4525035E-001
-4.9949950E+000, 1.5537511E-002,-4.9949950E+000,-1.4525035E-001
-3.9939940E+000, 1.5640514E-002,-3.9939940E+000,-1.4665281E-001
-2.9929930E+000, 1.5640514E-002,-2.9929930E+000,-1.4665281E-001
-1.9919920E+000, 1.5767485E-002,-1.9919920E+000,-1.4835261E-001
-9.9099099E-001, 1.5767485E-002,-9.9099099E-001,-1.4835261E-001
 1.0010010E-002, 1.5908974E-002, 1.0010010E-002,-1.5018752E-001
 1.0110110E+000, 1.5908974E-002, 1.0110110E+000,-1.5018752E-001
 2.0120120E+000, 1.6052449E-002, 2.0120120E+000,-1.5193314E-001
 3.0130130E+000, 1.6052449E-002, 3.0130130E+000,-1.5193314E-001
 4.0140140E+000, 1.6199914E-002, 4.0140140E+000,-1.5351060E-001
 5.0150150E+000, 1.6199914E-002, 5.0150150E+000,-1.5351060E-001
 6.0160160E+000, 1.6352592E-002, 6.0160160E+000,-1.5486298E-001
 7.0170170E+000, 1.6352592E-002, 7.0170170E+000,-1.5486298E-001
 8.0180180E+000, 1.6511040E-002, 8.0180180E+000,-1.5594774E-001
 9.0190190E+000, 1.6511040E-002, 9.0190190E+000,-1.5594774E-001
 1.0020020E+001, 1.6674214E-002, 1.0020020E+001,-1.5673322E-001
 1.1021021E+001, 1.6674214E-002, 1.1021021E+001,-1.5673322E-001
 1.2022022E+001, 1.6840046E-002, 1.2022022E+001,-1.5719496E-001
 1.3023023E+001, 1.6840046E-002, 1.3023023E+001,-1.5719496E-001
 1.4024024E+001, 1.7007069E-002, 1.4024024E+001,-1.5731304E-001
 1.5025025E+001, 1.7007069E-002, 1.5025025E+001,-1.5731304E-001
 1.6026026E+001, 1.7171500E-002, 1.6026026E+001,-1.5707144E-001
 1.7027027E+001, 1.7171500E-002, 1.7027027E+001,-1.5707144E-001
 1.8028028E+001, 1.7328915E-002, 1.8028028E+001,-1.5645562E-001
 1.9029029E+001, 1.7328915E-002, 1.9029029E+001,-1.5645562E-001
 2.0030030E+001, 1.7473794E-002, 2.0030030E+001,-1.5545134E-001
 2.1031031E+001, 1.7473794E-002, 2.1031031E+001,-1.5545134E-001
 2.2032032E+001, 1.7599604E-002, 2.2032032E+001,-1.5404525E-001
 2.3033033E+001, 1.7599604E-002, 2.3033033E+001,-1.5404525E-001
 2.4034034E+001, 1.7699043E-002, 2.4034034E+001,-1.5222253E-001
 2.5035035E+001, 1.7699043E-002, 2.5035035E+001,-1.5222253E-001
 2.6036036E+001, 1.7763648E-002, 2.6036036E+001,-1.4996744E-001
 2.7037037E+001, 1.7763648E-002, 2.7037037E+001,-1.4996744E-001
 2.8038038E+001, 1.7784174E-002, 2.8038038E+001,-1.4726346E-001
 2.9039039E+001, 1.7784174E-002, 2.9039039E+001,-1.4726346E-001
 3.0040040E+001, 1.7750656E-002, 3.0040040E+001,-1.4409343E-001
 3.1041041E+001, 1.7750656E-002, 3.1041041E+001,-1.4409343E-001
 3.2042042E+001, 1.7652780E-002, 3.2042042E+001,-1.4043929E-001
 3.3043043E+001, 1.7652780E-002, 3.3043043E+001,-1.4043929E-001
 3.4044044E+001, 1.7481667E-002, 3.4044044E+001,-1.3628341E-001
 3.5045045E+001, 1.7481667E-002, 3.5045045E+001,-1.3628341E-001
 3.6046046E+001, 1.7228869E-002, 3.6046046E+001,-1.3160846E-001
 3.7047047E+001, 1.7228869E-002, 3.7047047E+001,-1.3160846E-001
 3.8048048E+001, 1.6888379E-002, 3.8048048E+001,-1.2639962E-001
 3.9049049E+001, 1.6888379E-002, 3.9049049E+001,-1.2639962E-001
 4.0050050E+001, 1.6455544E-002, 4.0050050E+001,-1.2064548E-001
 4.1051051E+001, 1.6455544E-002, 4.1051051E+001,-1.2064548E-001
 4.2052052E+001, 1.5927229E-002, 4.2052052E+001,-1.1434112E-001
 4.3053053E+001, 1.5927229E-002, 4.3053053E+001,-1.1434112E-001
 4.4054054E+001, 1.5301916E-002, 4.4054054E+001,-1.0748970E-001
 4.5055055E+001, 1.5301916E-002, 4.5055055E+001,-1.0748970E-001
 4.6056056E+001, 1.4578595E-002, 4.6056056E+001,-1.0010712E-001
 4.7057057E+001, 1.4578595E-002, 4.7057057E+001,-1.0010712E-001
 4.8058058E+001, 1.3758012E-002, 4.8058058E+001,-9.2226522E-002
 4.9059059E+001, 1.3758012E-002, 4.9059059E+001,-9.2226522E-002
 5.0060060E+001,-6.0946338E-001, 5.0060060E+001,-8.5672958E-001
 5.1061061E+001,-6.0946338E-001, 5.1061061E+001,-8.5672958E-001
 5.2062062E+001,-6.2314154E-001, 5.2062062E+001,-8.6750536E-001
 5.3063063E+001,-6.2314154E-001, 5.3063063E+001,-8.6750536E-001
 5.4064064E+001,-6.1511505E-001, 5.4064064E+001,-8.6212534E-001
 5.5065065E+001,-6.1511505E-001, 5.5065065E+001,-8.6212534E-001
 5.6066066E+001,-5.9096173E-001, 5.6066066E+001,-8.9357912E-001
 5.7067067E+001,-5.9096173E-001, 5.7067067E+001,-8.9357912E-001
 5.8068068E+001,-6.0543832E-001, 5.8068068E+001,-8.4386833E-001
 5.9069069E+001,-6.0543832E-001, 5.9069069E+001,-8.4386833E-001
 6.0070070E+001,-6.4349177E-001, 6.0070070E+001,-8.2999310E-001
 6.1071071E+001,-6.4349177E-001, 6.1071071E+001,-8.2999310E-001
 6.2072072E+001,-6.0680497E-001, 6.2072072E+001,-8.1698642E-001
 6.3073073E+001,-6.0680497E-001, 6.3073073E+001,-8.1698642E-001
 6.4074074E+001,-5.9353522E-001, 6.4074074E+001,-8.2061760E-001
 6.5075075E+001,-5.9353522E-001, 6.5075075E+001,-8.2061760E-001
 6.6076076E+001,-6.2991877E-001, 6.6076076E+001,-8.0219437E-001
 6.7077077E+001,-6.2991877E-001, 6.7077077E+001,-8.0219437E-001
 6.8078078E+001,-6.1888505E-001, 6.8078078E+001,-8.1427692E-001
 6.9079079E+001,-6.1888505E-001, 6.9079079E+001,-8.1427692E-001
 7.0080080E+001,-6.0570222E-001, 7.0080080E+001,-8.0436848E-001
 7.1081081E+001,-6.0570222E-001, 7.1081081E+001,-8.0436848E-001
 7.2082082E+001,-6.2025397E-001, 7.2082082E+001,-7.6370967E-001
 7.3083083E+001,-6.2025397E-001, 7.3083083E+001,-7.6370967E-001
 7.4084084E+001,-5.9945924E-001, 7.4084084E+001,-7.7224605E-001
 7.5085085E+001,-5.9945924E-001, 7.5085085E+001,-7.7224605E-001
 7.6086086E+001,-6.4354337E-001, 7.6086086E+001,-7.1503811E-001
 7.7087087E+001,-6.4354337E-001, 7.7087087E+001,-7.1503811E-001
 7.8088088E+001,-6.0824701E-001, 7.8088088E+001,-7.3937096E-001
 7.9089089E+001,-6.0824701E-001, 7.9089089E+001,-7.3937096E-001
 8.0090090E+001,-6.1871847E-001, 8.0090090E+001,-7.3094868E-001
 8.1091091E+001,-6.1871847E-001, 8.1091091E+001,-7.3094868E-001
 8.2092092E+001,-6.0984415E-001, 8.2092092E+001,-7.3803830E-001
 8.3093093E+001,-6.0984415E-001, 8.3093093E+001,-7.3803830E-001
 8.4094094E+001,-6.2024473E-001, 8.4094094E+001,-6.9989103E-001
 8.5095095E+001,-6.2024473E-001, 8.5095095E+001,-6.9989103E-001
 8.6096096E+001,-6.1585796E-001, 8.6096096E+001,-6.7255558E-001
 8.7097097E+001,-6.1585796E-001, 8.7097097E+001,-6.7255558E-001
 8.8098098E+001,-6.2220008E-001, 8.8098098E+001,-6.7610890E-001
 8.9099099E+001,-6.2220008E-001, 8.9099099E+001,-6.7610890E-001
 9.0100100E+001,-6.0323081E-001, 9.0100100E+001,-4.6332429E-001
 9.1101101E+001,-6.0323081E-001, 9.1101101E+001,-4.6332429E-001
 9.2102102E+001,-6.0323081E-001, 9.2102102E+001,-4.6332429E-001
 9.3103103E+001,-6.0323081E-001, 9.3103103E+001,-4.6332429E-001
 9.4104104E+001,-6.1049439E-001, 9.4104104E+001,-4.6819736E-001
 9.5105105E+001,-6.1049439E-001, 9.5105105E+001,-4.6819736E-001
 9.6106106E+001,-6.1049439E-001, 9.6106106E+001,-4.6819736E-001
 9.7107107E+001,-6.1049439E-001, 9.7107107E+001,-4.6819736E-001
 9.8108108E+001,-5.7911510E-001, 9.8108108E+001,-5.0876123E-001
