m,m/s,m,m/s
U_Z-z,U_Z,V_Z-z,V_Z
-9.9800000E+000, 1.8567189E-004,-9.9800000E+000, 2.5903913E-003
-8.9989990E+000, 1.8567189E-004,-8.9989990E+000, 2.5903913E-003
-7.9979980E+000, 1.8749946E-004,-7.9979980E+000, 2.5958600E-003
-6.9969970E+000, 1.8749946E-004,-6.9969970E+000, 2.5958600E-003
-5.9959960E+000, 1.9101463E-004,-5.9959960E+000, 2.6061485E-003
-4.9949950E+000, 1.9101463E-004,-4.9949950E+000, 2.6061485E-003
-3.9939940E+000, 1.9591991E-004,-3.9939940E+000, 2.6199169E-003
-2.9929930E+000, 1.9591991E-004,-2.9929930E+000, 2.6199169E-003
-1.9919920E+000, 2.0172375E-004,-1.9919920E+000, 2.6350458E-003
-9.9099099E-001, 2.0172375E-004,-9.9099099E-001, 2.6350458E-003
 1.0010010E-002, 2.0768199E-004, 1.0010010E-002, 2.6484997E-003
 1.0110110E+000, 2.0768199E-004, 1.0110110E+000, 2.6484997E-003
 2.0120120E+000, 2.1271273E-004, 2.0120120E+000, 2.6561315E-003
 3.0130130E+000, 2.1271273E-004, 3.0130130E+000, 2.6561315E-003
 4.0140140E+000, 2.1672395E-004, 4.0140140E+000, 2.6582887E-003
 5.0150150E+000, 2.1672395E-004, 5.0150150E+000, 2.6582887E-003
 6.0160160E+000, 2.1967705E-004, 6.0160160E+000, 2.6551669E-003
 7.0170170E+000, 2.1967705E-004, 7.0170170E+000, 2.6551669E-003
 8.0180180E+000, 2.2159500E-004, 8.0180180E+000, 2.6470933E-003
 9.0190190E+000, 2.2159500E-004, 9.0190190E+000, 2.6470933E-003
 1.0020020E+001, 2.2250875E-004, 1.0020020E+001, 2.6343232E-003
 1.1021021E+001, 2.2250875E-004, 1.1021021E+001, 2.6343232E-003
 1.2022022E+001, 2.2243359E-004, 1.2022022E+001, 2.6169516E-003
 1.3023023E+001, 2.2243359E-004, 1.3023023E+001, 2.6169516E-003
 1.4024024E+001, 2.2123555E-004, 1.4024024E+001, 2.5950997E-003
 1.5025025E+001, 2.2123555E-004, 1.5025025E+001, 2.5950997E-003
 1.6026026E+001, 2.1888226E-004, 1.6026026E+001, 2.5689643E-003
 1.7027027E+001, 2.1888226E-004, 1.7027027E+001, 2.5689643E-003
 1.8028028E+001, 2.1534009E-004, 1.8028028E+001, 2.5385964E-003
 1.9029029E+001, 2.1534009E-004, 1.9029029E+001, 2.5385964E-003
 2.0030030E+001, 2.1064533E-004, 2.0030030E+001, 2.5041023E-003
 2.1031031E+001, 2.1064533E-004, 2.1031031E+001, 2.5041023E-003
 2.2032032E+001, 2.0459951E-004, 2.2032032E+001, 2.4655401E-003
 2.3033033E+001, 2.0459951E-004, 2.3033033E+001, 2.4655401E-003
 2.4034034E+001, 1.9672028E-004, 2.4034034E+001, 2.4227734E-003
 2.5035035E+001, 1.9672028E-004, 2.5035035E+001, 2.4227734E-003
 2.6036036E+001, 1.8693320E-004, 2.6036036E+001, 2.3757250E-003
 2.7037037E+001, 1.8693320E-004, 2.7037037E+001, 2.3757250E-003
 2.8038038E+001, 1.7499335E-004, 2.8038038E+001, 2.3244444E-003
 2.9039039E+001, 1.7499335E-004, 2.9039039E+001, 2.3244444E-003
 3.0040040E+001, 1.6011173E-004, 3.0040040E+001, 2.2691057E-003
 3.1041041E+001, 1.6011173E-004, 3.1041041E+001, 2.2691057E-003
 3.2042042E+001, 1.4243342E-004, 3.2042042E+001, 2.2095883E-003
 3.3043043E+001, 1.4243342E-004, 3.3043043E+001, 2.2095883E-003
 3.4044044E+001, 1.2149535E-004, 3.4044044E+001, 2.1457904E-003
 3.5045045E+001, 1.2149535E-004, 3.5045045E+001, 2.1457904E-003
 3.6046046E+001, 9.7038921E-005, 3.6046046E+001, 2.0776059E-003
 3.7047047E+001, 9.7038921E-005, 3.7047047E+001, 2.0776059E-003
 3.8048048E+001, 6.8981574E-005, 3.8048048E+001, 2.0050612E-003
 3.9049049E+001, 6.8981574E-005, 3.9049049E+001, 2.0050612E-003
 4.0050050E+001, 3.7273708E-005, 4.0050050E+001, 1.9285492E-003
 4.1051051E+001, 3.7273708E-005, 4.1051051E+001, 1.9285492E-003
 4.2052052E+001, 2.0633529E-006, 4.2052052E+001, 1.8489540E-003
 4.3053053E+001, 2.0633529E-006, 4.3053053E+001, 1.8489540E-003
 4.4054054E+001,-3.7057785E-005, 4.4054054E+001, 1.7668156E-003
 4.5055055E+001,-3.7057785E-005, 4.5055055E+001, 1.7668156E-003
 4.6056056E+001,-8.0544204E-005, 4.6056056E+001, 1.6824271E-003
 4.7057057E+001,-8.0544204E-005, 4.7057057E+001, 1.6824271E-003
 4.8058058E+001,-1.2919003E-004, 4.8058058E+001, 1.5957480E-003
 4.9059059E+001,-1.2919003E-004, 4.9059059E+001, 1.5957480E-003
 5.0060060E+001, 6.7672912E-001, 5.0060060E+001, 7.1696954E-001
 5.1061061E+001, 6.7672912E-001, 5.1061061E+001, 7.1696954E-001
 5.2062062E+001, 6.8482764E-001, 5.2062062E+001, 7.3614742E-001
 5.3063063E+001, 6.8482764E-001, 5.3063063E+001, 7.3614742E-001
 5.4064064E+001, 7.0388017E-001, 5.4064064E+001, 7.6023733E-001
 5.5065065E+001, 7.0388017E-001, 5.5065065E+001, 7.6023733E-001
 5.6066066E+001, 7.4337706E-001, 5.6066066E+001, 7.4158624E-001
 5.7067067E+001, 7.4337706E-001, 5.7067067E+001, 7.4158624E-001
 5.8068068E+001, 7.4738680E-001, 5.8068068E+001, 7.9499107E-001
 5.9069069E+001, 7.4738680E-001, 5.9069069E+001, 7.9499107E-001
 6.0070070E+001, 7.4302690E-001, 6.0070070E+001, 8.2152883E-001
 6.1071071E+001, 7.4302690E-001, 6.1071071E+001, 8.2152883E-001
 6.2072072E+001, 8.0391882E-001, 6.2072072E+001, 8.4708576E-001
 6.3073073E+001, 8.0391882E-001, 6.3073073E+001, 8.4708576E-001
 6.4074074E+001, 8.3274788E-001, 6.4074074E+001, 8.6397798E-001
 6.5075075E+001, 8.3274788E-001, 6.5075075E+001, 8.6397798E-001
 6.6076076E+001, 8.4392027E-001, 6.6076076E+001, 8.7701444E-001
 6.7077077E+001, 8.4392027E-001, 6.7077077E+001, 8.7701444E-001
 6.8078078E+001, 8.4409169E-001, 6.8078078E+001, 8.8819776E-001
 6.9079079E+001, 8.4409169E-001, 6.9079079E+001, 8.8819776E-001
 7.0080080E+001, 8.9834808E-001, 7.0080080E+001, 8.9657634E-001
 7.1081081E+001, 8.9834808E-001, 7.1081081E+001, 8.9657634E-001
 7.2082082E+001, 9.1885708E-001, 7.2082082E+001, 9.6730005E-001
 7.3083083E+001, 9.1885708E-001, 7.3083083E+001, 9.6730005E-001
 7.4084084E+001, 9.5015531E-001, 7.4084084E+001, 9.5994111E-001
 7.5085085E+001, 9.5015531E-001, 7.5085085E+001, 9.5994111E-001
 7.6086086E+001, 9.4029533E-001, 7.6086086E+001, 1.0139377E+000
 7.7087087E+001, 9.4029533E-001, 7.7087087E+001, 1.0139377E+000
 7.8088088E+001, 1.0015183E+000, 7.8088088E+001, 9.9446380E-001
 7.9089089E+001, 1.0015183E+000, 7.9089089E+001, 9.9446380E-001
 8.0090090E+001, 1.0224367E+000, 8.0090090E+001, 1.0224784E+000
 8.1091091E+001, 1.0224367E+000, 8.1091091E+001, 1.0224784E+000
 8.2092092E+001, 1.0442219E+000, 8.2092092E+001, 1.0346390E+000
 8.3093093E+001, 1.0442219E+000, 8.3093093E+001, 1.0346390E+000
 8.4094094E+001, 1.0458663E+000, 8.4094094E+001, 1.0676166E+000
 8.5095095E+001, 1.0458663E+000, 8.5095095E+001, 1.0676166E+000
 8.6096096E+001, 1.1022910E+000, 8.6096096E+001, 1.0979282E+000
 8.7097097E+001, 1.1022910E+000, 8.7097097E+001, 1.0979282E+000
 8.8098098E+001, 1.0947075E+000, 8.8098098E+001, 1.1053263E+000
 8.9099099E+001, 1.0947075E+000, 8.9099099E+001, 1.1053263E+000
 9.0100100E+001, 1.1114755E+000, 9.0100100E+001, 1.1120948E+000
 9.1101101E+001, 1.1114755E+000, 9.1101101E+001, 1.1120948E+000
 9.2102102E+001, 1.1114755E+000, 9.2102102E+001, 1.1120948E+000
 9.3103103E+001, 1.1114755E+000, 9.3103103E+001, 1.1120948E+000
 9.4104104E+001, 1.1302485E+000, 9.4104104E+001, 1.1540955E+000
 9.5105105E+001, 1.1302485E+000, 9.5105105E+001, 1.1540955E+000
 9.6106106E+001, 1.1302485E+000, 9.6106106E+001, 1.1540955E+000
 9.7107107E+001, 1.1302485E+000, 9.7107107E+001, 1.1540955E+000
 9.8108108E+001, 1.2100947E+000, 9.8108108E+001, 1.1907271E+000
 9.9109109E+001, 1.2100947E+000, 9.9109109E+001, 1.1907271E+000
 1.0011011E+002, 1.2100947E+000, 1.0011011E+002, 1.1907271E+000
 1.0111111E+002, 1.2100947E+000, 1.0111111E+002, 1.1907271E+000
 1.0211211E+002, 1.2099472E+000, 1.0211211E+002, 1.2278389E+000
 1.0311311E+002, 1.2099472E+000, 1.0311311E+002, 1.2278389E+000
 1.0411411E+002, 1.2099472E+000, 1.0411411E+002, 1.2278389E+000
 1.0511512E+002, 1.2099472E+000, 1.0511512E+002, 1.2278389E+000
 1.0611612E+002, 1.2910073E+000, 1.0611612E+002, 1.2815308E+000
 1.0711712E+002, 1.2910073E+000, 1.0711712E+002, 1.2815308E+000
 1.0811812E+002, 1.2910073E+000, 1.0811812E+002, 1.2815308E+000
 1.0911912E+002, 1.2910073E+000, 1.0911912E+002, 1.2815308E+000
 1.1012012E+002, 1.3350871E+000, 1.1012012E+002, 1.3201904E+000
 1.1112112E+002, 1.3350871E+000, 1.1112112E+002, 1.3201904E+000
 1.1212212E+002, 1.3350871E+000, 1.1212212E+002, 1.3201904E+000
 1.1312312E+002, 1.3350871E+000, 1.1312312E+002, 1.3201904E+000
 1.1412412E+002, 1.3221599E+000, 1.1412412E+002, 1.3627668E+000
 1.1512513E+002, 1.3221599E+000, 1.1512513E+002, 1.3627668E+000
 1.1612613E+002, 1.3221599E+000, 1.1612613E+002, 1.3627668E+000
 1.1712713E+002, 1.3221599E+000, 1.1712713E+002, 1.3627668E+000
 1.1812813E+002, 1.4248205E+000, 1.1812813E+002, 1.3898155E+000
 1.1912913E+002, 1.4248205E+000, 1.1912913E+002, 1.3898155E+000
 1.2013013E+002, 1.4248205E+000, 1.2013013E+002, 1.3898155E+000
 1.2113113E+002, 1.4248205E+000, 1.2113113E+002, 1.3898155E+000
 1.2213213E+002, 1.4230847E+000, 1.2213213E+002, 1.4435215E+000
 1.2313313E+002, 1.4230847E+000, 1.2313313E+002, 1.4435215E+000
 1.2413413E+002, 1.4230847E+000, 1.2413413E+002, 1.4435215E+000
 1.2513514E+002, 1.4230847E+000, 1.2513514E+002, 1.4435215E+000
 1.2613614E+002, 1.4814649E+000, 1.2613614E+002, 1.4880200E+000
 1.2713714E+002, 1.4814649E+000, 1.2713714E+002, 1.4880200E+000
 1.2813814E+002, 1.4814649E+000, 1.2813814E+002, 1.4880200E+000
 1.2913914E+002, 1.4814649E+000, 1.2913914E+002, 1.4880200E+000
 1.3014014E+002, 1.5095465E+000, 1.3014014E+002, 1.5177511E+000
 1.3114114E+002, 1.5095465E+000, 1.3114114E+002, 1.5177511E+000
 1.3214214E+002, 1.5095465E+000, 1.3214214E+002, 1.5177511E+000
 1.3314314E+002, 1.5095465E+000, 1.3314314E+002, 1.5177511E+000
 1.3414414E+002, 1.5710465E+000, 1.3414414E+002, 1.5698157E+000
 1.3514515E+002, 1.5710465E+000, 1.3514515E+002, 1.5698157E+000
 1.3614615E+002, 1.5710465E+000, 1.3614615E+002, 1.5698157E+000
 1.3714715E+002, 1.5710465E+000, 1.3714715E+002, 1.5698157E+000
 1.3814815E+002, 1.5952032E+000, 1.3814815E+002, 1.5948750E+000
 1.3914915E+002, 1.5952032E+000, 1.3914915E+002, 1.5948750E+000
 1.4015015E+002, 1.5952032E+000, 1.4015015E+002, 1.5948750E+000
 1.4115115E+002, 1.5952032E+000, 1.4115115E+002, 1.5948750E+000
 1.4215215E+002, 1.6283860E+000, 1.4215215E+002, 1.6538003E+000
 1.4315315E+002, 1.6283860E+000, 1.4315315E+002, 1.6538003E+000
 1.4415415E+002, 1.6283860E+000, 1.4415415E+002, 1.6538003E+000
 1.4515516E+002, 1.6283860E+000, 1.4515516E+002, 1.6538003E+000
 1.4615616E+002, 1.6662601E+000, 1.4615616E+002, 1.6921794E+000
 1.4715716E+002, 1.6662601E+000, 1.4715716E+002, 1.6921794E+000
 1.4815816E+002, 1.6662601E+000, 1.4815816E+002, 1.6921794E+000
 1.4915916E+002, 1.6662601E+000, 1.4915916E+002, 1.6921794E+000
 1.5016016E+002, 1.7211809E+000, 1.5016016E+002, 1.7221588E+000
 1.5116116E+002, 1.7211809E+000, 1.5116116E+002, 1.7221588E+000
 1.5216216E+002, 1.7211809E+000, 1.5216216E+002, 1.7221588E+000
 1.5316316E+002, 1.7211809E+000, 1.5316316E+002, 1.7221588E+000
 1.5416416E+002, 1.7742950E+000, 1.5416416E+002, 1.7628938E+000
 1.5516517E+002, 1.7742950E+000, 1.5516517E+002, 1.7628938E+000
 1.5616617E+002, 1.7742950E+000, 1.5616617E+002, 1.7628938E+000
 1.5716717E+002, 1.7742950E+000, 1.5716717E+002, 1.7628938E+000
 1.5816817E+002, 1.7602419E+000, 1.5816817E+002, 1.7784851E+000
 1.5916917E+002, 1.7602419E+000, 1.5916917E+002, 1.7784851E+000
 1.6017017E+002, 1.7602419E+000, 1.6017017E+002, 1.7784851E+000
 1.6117117E+002, 1.7602419E+000, 1.6117117E+002, 1.7784851E+000
 1.6217217E+002, 1.8386202E+000, 1.6217217E+002, 1.8675673E+000
 1.6317317E+002, 1.8386202E+000, 1.6317317E+002, 1.8675673E+000
 1.6417417E+002, 1.8386202E+000, 1.6417417E+002, 1.8675673E+000
 1.6517518E+002, 1.8386202E+000, 1.6517518E+002, 1.8675673E+000
 1.6617618E+002, 1.8588127E+000, 1.6617618E+002, 1.8639845E+000
 1.6717718E+002, 1.8588127E+000, 1.6717718E+002, 1.8639845E+000
 1.6817818E+002, 1.8588127E+000, 1.6817818E+002, 1.8639845E+000
 1.6917918E+002, 1.8588127E+000, 1.6917918E+002, 1.8639845E+000
 1.7018018E+002, 1.9285414E+000, 1.7018018E+002, 1.9341750E+000
 1.7118118E+002, 1.9285414E+000, 1.7118118E+002, 1.9341750E+000
 1.7218218E+002, 1.9285414E+000, 1.7218218E+002, 1.9341750E+000
 1.7318318E+002, 1.9285414E+000, 1.7318318E+002, 1.9341750E+000
 1.7418418E+002, 1.9427925E+000, 1.7418418E+002, 1.9529136E+000
 1.7518519E+002, 1.9427925E+000, 1.7518519E+002, 1.9529136E+000
