s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","GAS SOOT","WALL SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0596725E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6999989E+001, 0.0000000E+000, 2.0559397E-004, 3.1317010E+000, 2.2559415E-028, 2.2559383E-028, 2.2559357E-028, 2.2559317E-028, 2.2559251E-028, 2.8780503E-007, 2.0448295E-015
 2.0230112E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6999987E+001, 0.0000000E+000, 1.2426915E-003, 1.2439707E+001, 4.5029040E-024, 4.5029040E-024, 4.5029040E-024, 4.5029040E-024, 4.5029040E-024, 2.6626555E-006, 7.2308670E-014
 3.0826838E+000, 2.0755368E-001, 2.0755368E-001, 1.0868783E-122, 3.8640237E-004, 2.7000026E+001, 0.0000000E+000, 2.0072300E-003, 2.1018870E+001, 4.1691473E-013, 4.1691473E-013, 4.1691473E-013, 4.1691473E-013, 4.1691473E-013, 8.5344437E-006, 9.3176104E-013
 4.0262794E+000, 2.0755368E-001, 2.0755368E-001, 2.3986153E-111, 3.8640237E-004, 2.7000151E+001, 0.0000000E+000, 8.7471763E-004, 2.3924096E+001, 1.0078589E-017, 1.0078589E-017, 1.0078589E-017, 1.0078589E-017, 1.0078589E-017, 1.5766210E-005, 3.9926476E-012
 5.0082438E+000, 2.0755368E-001, 2.0755368E-001, 2.4616554E-103, 3.8640237E-004, 2.7000357E+001, 0.0000000E+000,-5.8724024E-004, 2.9283533E+001, 2.3243391E-018, 2.3243391E-018, 2.3243391E-018, 2.3243391E-018, 2.3243391E-018, 2.4209084E-005, 6.8528442E-012
 6.0236548E+000, 2.0755368E-001, 2.0755368E-001, 6.0255539E-082, 3.8640237E-004, 2.7000588E+001, 1.7212126E-285,-1.6480957E-003, 3.5845226E+001, 1.5455258E-015, 1.5455258E-015, 1.5455258E-015, 1.5455258E-015, 1.5455258E-015, 3.5017668E-005, 9.5969741E-012
 7.0239817E+000, 2.0755368E-001, 2.0755368E-001, 2.3341253E-064, 3.8640237E-004, 2.7000884E+001, 2.1134115E-270, 4.3968898E-003, 4.2533641E+001, 4.1078827E-015, 4.1078827E-015, 4.1078827E-015, 4.1078827E-015, 4.1078827E-015, 4.8161623E-005, 2.2551816E-011
 8.0019814E+000, 2.0755368E-001, 2.0755368E-001, 4.8914335E-052, 3.8640237E-004, 2.7001280E+001, 2.4081300E-248, 4.5895697E-003, 4.8774809E+001, 8.2883572E-014, 8.2883572E-014, 8.2883572E-014, 8.2883572E-014, 8.2883572E-014, 6.3184725E-005, 1.6459593E-009
 9.0134208E+000, 2.0755368E-001, 2.0755368E-001, 3.0839699E-043, 3.8640237E-004, 2.7001778E+001, 4.5118118E-223,-5.0255095E-002, 5.5461220E+001, 2.0840335E-013, 2.0840335E-013, 2.0840335E-013, 2.0840335E-013, 2.0840335E-013, 8.0310457E-005, 1.2260001E-008
 1.0014879E+001, 2.0755368E-001, 2.0755368E-001, 1.0245706E-028, 3.8640237E-004, 2.7002479E+001, 7.7471033E-204,-9.9531235E-002, 6.2169155E+001, 1.1962924E-012, 1.1962924E-012, 1.1962924E-012, 1.1962924E-012, 1.1962924E-012, 9.9904976E-005, 3.2375652E-008
 1.1008285E+001, 2.0755368E-001, 2.0755368E-001, 3.7078981E-017, 3.8640237E-004, 2.7003735E+001, 1.0361049E-182,-1.0494884E-001, 6.8760072E+001, 3.3129311E-012, 3.3129311E-012, 3.3129311E-012, 3.3129311E-012, 3.3129311E-012, 1.2165079E-004, 6.2941718E-008
 1.2001132E+001, 2.0755367E-001, 2.0755368E-001, 5.0280548E-012, 3.8640357E-004, 2.7005205E+001, 6.9119865E-163,-7.1251863E-002, 7.5273151E+001, 4.0230446E-011, 4.0230446E-011, 4.0230446E-011, 4.0230446E-011, 4.0230446E-011, 1.4543068E-004, 9.6012614E-008
 1.3001584E+001, 2.0755367E-001, 2.0755368E-001, 1.9758864E-011, 3.8640710E-004, 2.7005845E+001, 1.0759381E-143,-9.4122119E-002, 8.2008636E+001, 7.0307210E-011, 7.0307210E-011, 7.0307210E-011, 7.0307210E-011, 7.0307210E-011, 1.7140137E-004, 1.4490094E-007
 1.4016528E+001, 2.0755366E-001, 2.0755368E-001, 2.7404585E-011, 3.8640893E-004, 2.7006542E+001, 3.3753218E-122,-1.2558974E-001, 8.8755488E+001, 4.7842785E-010, 4.7842785E-010, 4.7842785E-010, 4.7842785E-010, 4.7842785E-010, 2.0009600E-004, 2.0062194E-007
 1.5006718E+001, 2.0755366E-001, 2.0755368E-001, 4.5025287E-011, 3.8641314E-004, 2.7007704E+001, 2.0183112E-103,-1.6975455E-001, 9.5141171E+001, 4.7456869E-010, 4.7456869E-010, 4.7456869E-010, 4.7456869E-010, 4.7456869E-010, 2.3079985E-004, 2.7061474E-007
 1.6021663E+001, 2.0755365E-001, 2.0755368E-001, 6.5340753E-011, 3.8641800E-004, 2.7009072E+001, 1.2046068E-086,-1.7644173E-001, 1.0204789E+002, 6.0217059E-009, 6.0217059E-009, 6.0217059E-009, 6.0217059E-009, 6.0217059E-009, 2.6372468E-004, 3.5594183E-007
 1.7020099E+001, 2.0755364E-001, 2.0755368E-001, 9.3131577E-011, 3.8642465E-004, 2.7010689E+001, 1.0336065E-071,-1.3348814E-001, 1.0857954E+002, 1.4787628E-007, 1.4787628E-007, 1.4787628E-007, 1.4787628E-007, 1.4787628E-007, 2.9902256E-004, 4.4692937E-007
 1.8000522E+001, 2.0755362E-001, 2.0755368E-001, 1.2602125E-010, 3.8643252E-004, 2.7012460E+001, 1.1453535E-058,-1.6997054E-001, 1.1522906E+002, 4.4350927E-009, 4.4350927E-009, 4.4350927E-009, 4.4350927E-009, 4.4350927E-009, 3.3581479E-004, 5.5463361E-007
