s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","GAS SOOT","WALL SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0596725E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6999989E+001, 0.0000000E+000, 2.0662646E-004, 3.1450254E+000, 2.2832166E-028, 2.2832132E-028, 2.2832106E-028, 2.2832069E-028, 2.2832002E-028, 2.8896326E-007, 2.0552343E-015
 2.0230112E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.6999987E+001, 0.0000000E+000, 1.2485621E-003, 1.2505520E+001, 4.7667641E-024, 4.7667641E-024, 4.7667641E-024, 4.7667641E-024, 4.7667641E-024, 2.6745900E-006, 7.2677924E-014
 3.0826838E+000, 2.0755368E-001, 2.0755368E-001, 1.1179768E-122, 3.8640237E-004, 2.7000026E+001, 0.0000000E+000, 2.0218648E-003, 2.1196896E+001, 7.3822058E-013, 7.3822058E-013, 7.3822058E-013, 7.3822058E-013, 7.3822058E-013, 8.5944860E-006, 9.3945201E-013
 4.0179408E+000, 2.0755368E-001, 2.0755368E-001, 2.1648128E-111, 3.8640237E-004, 2.7000151E+001, 0.0000000E+000, 8.4578360E-004, 2.4009412E+001, 1.0260566E-017, 1.0260566E-017, 1.0260566E-017, 1.0260566E-017, 1.0260566E-017, 1.5829766E-005, 4.0004232E-012
 5.0160889E+000, 2.0755368E-001, 2.0755368E-001, 3.2606599E-103, 3.8640237E-004, 2.7000359E+001, 0.0000000E+000,-4.8089596E-004, 2.9458830E+001, 2.7379401E-018, 2.7379401E-018, 2.7379401E-018, 2.7379401E-018, 2.7379401E-018, 2.4351788E-005, 6.8815330E-012
 6.0051195E+000, 2.0755368E-001, 2.0755368E-001, 7.1148410E-082, 3.8640237E-004, 2.7000589E+001, 1.9937461E-285,-1.0313202E-003, 3.6084187E+001, 1.6398766E-015, 1.6398766E-015, 1.6398766E-015, 1.6398766E-015, 1.6398766E-015, 3.5166677E-005, 9.6287954E-012
 7.0149493E+000, 2.0755368E-001, 2.0755368E-001, 4.3711697E-064, 3.8640237E-004, 2.7000884E+001, 2.4205539E-270, 4.5137369E-003, 4.2713835E+001, 4.6373176E-015, 4.6373176E-015, 4.6373176E-015, 4.6373176E-015, 4.6373176E-015, 4.8291042E-005, 2.4253984E-011
 8.0154390E+000, 2.0755368E-001, 2.0755368E-001, 1.1663650E-051, 3.8640237E-004, 2.7001288E+001, 2.0988948E-247, 2.5997406E-003, 4.9247140E+001, 9.6949417E-014, 9.6949417E-014, 9.6949417E-014, 9.6949417E-014, 9.6949417E-014, 6.3665261E-005, 1.7434810E-009
 9.0081094E+000, 2.0755368E-001, 2.0755368E-001, 5.1573859E-043, 3.8640237E-004, 2.7001792E+001, 7.6627449E-223,-5.2697008E-002, 5.5966254E+001, 2.3807655E-013, 2.3807655E-013, 2.3807655E-013, 2.3807655E-013, 2.3807655E-013, 8.0965895E-005, 1.2461409E-008
 1.0009858E+001, 2.0755368E-001, 2.0755368E-001, 2.7060913E-028, 3.8640237E-004, 2.7002495E+001, 1.2409026E-203,-1.0211002E-001, 6.2656353E+001, 1.4349472E-012, 1.4349472E-012, 1.4349472E-012, 1.4349472E-012, 1.4349472E-012, 1.0050973E-004, 3.2487942E-008
 1.1016191E+001, 2.0755368E-001, 2.0755368E-001, 3.9479594E-018, 3.8640237E-004, 2.7003748E+001, 2.2747224E-182,-1.0357885E-001, 6.9289317E+001, 4.2626278E-012, 4.2626278E-012, 4.2626278E-012, 4.2626278E-012, 4.2626278E-012, 1.2253768E-004, 6.4003192E-008
 1.2007042E+001, 2.0755368E-001, 2.0755368E-001, 3.2329036E-013, 3.8640245E-004, 2.7005118E+001, 2.8367720E-163,-5.9667543E-002, 7.5959649E+001, 7.4302933E-011, 7.4302933E-011, 7.4302933E-011, 7.4302933E-011, 7.4302933E-011, 1.4670568E-004, 9.6432411E-008
 1.3019044E+001, 2.0755367E-001, 2.0755368E-001, 1.5357447E-012, 3.8640274E-004, 2.7005739E+001, 7.7632502E-144,-8.2196096E-002, 8.2840306E+001, 1.1888972E-010, 1.1888972E-010, 1.1888972E-010, 1.1888972E-010, 1.1888972E-010, 1.7304697E-004, 1.4211753E-007
 1.4004129E+001, 2.0755367E-001, 2.0755368E-001, 1.9708883E-012, 3.8640284E-004, 2.7006400E+001, 3.4304034E-122,-1.4759090E-001, 8.9509969E+001, 1.2792754E-009, 1.2792754E-009, 1.2792754E-009, 1.2792754E-009, 1.2792754E-009, 2.0167917E-004, 1.9900953E-007
 1.5002833E+001, 2.0755367E-001, 2.0755368E-001, 2.5388374E-012, 3.8640298E-004, 2.7007387E+001, 3.1465136E-103,-1.8200198E-001, 9.5869027E+001, 1.3404478E-009, 1.3404478E-009, 1.3404478E-009, 1.3404478E-009, 1.3404478E-009, 2.3238259E-004, 2.6799459E-007
 1.6014636E+001, 2.0755367E-001, 2.0755368E-001, 4.5578340E-012, 3.8640346E-004, 2.7008729E+001, 5.2556162E-087,-1.4662225E-001, 1.0302345E+002, 2.3548017E-009, 2.3548017E-009, 2.3548017E-009, 2.3548017E-009, 2.3548017E-009, 2.6572562E-004, 3.4719970E-007
 1.7003727E+001, 2.0755367E-001, 2.0755368E-001, 8.7283646E-012, 3.8640446E-004, 2.7010141E+001, 7.8009738E-073,-1.3716179E-001, 1.0943157E+002, 4.2493101E-009, 4.2493101E-009, 4.2493101E-009, 4.2493101E-009, 4.2493101E-009, 3.0094301E-004, 4.3697524E-007
 1.8001087E+001, 2.0755367E-001, 2.0755368E-001, 1.9846469E-011, 3.8640712E-004, 2.7011562E+001, 7.6432594E-060,-1.9900427E-001, 1.1572466E+002, 1.0190961E-008, 1.0190961E-008, 1.0190961E-008, 1.0190961E-008, 1.0190961E-008, 3.3812570E-004, 5.6043999E-007
