s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kW,kW,kW,kW,kg,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2,1","R2,2","R2,3","R2,4","R2,5","GAS SOOT","WALL SOOT"
 0.0000000E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.2000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0596725E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.1992977E+001, 0.0000000E+000,-8.4691450E+000, 1.2648493E+000, 7.7853026E-030, 7.7852337E-030, 7.7851555E-030, 7.7850390E-030, 7.7848370E-030, 1.1395458E-007, 5.1766475E-016
 2.0230112E+000, 2.0755368E-001, 2.0755368E-001, 0.0000000E+000, 3.8640237E-004, 2.2003522E+001, 0.0000000E+000, 4.2455215E+000, 4.4983957E+000, 6.4690766E-028, 6.4690751E-028, 6.4690734E-028, 6.4690712E-028, 6.4690683E-028, 1.0224175E-006, 2.4786332E-014
 3.0826838E+000, 2.0755368E-001, 2.0755368E-001, 3.9262135E-124, 3.8640237E-004, 2.1999171E+001, 0.0000000E+000,-1.0329722E+000, 7.7187385E+000, 4.1397940E-025, 4.1397940E-025, 4.1397940E-025, 4.1397940E-025, 4.1397940E-025, 3.0661479E-006, 1.8040226E-013
 4.0460224E+000, 2.0755368E-001, 2.0755368E-001, 1.3649030E-113, 3.8640237E-004, 2.2001084E+001, 0.0000000E+000, 1.2101887E+000, 1.0609260E+001, 1.5014917E-022, 1.5014917E-022, 1.5014917E-022, 1.5014917E-022, 1.5014917E-022, 6.1619395E-006, 1.0710510E-012
 5.0093611E+000, 2.0755368E-001, 2.0755368E-001, 4.5282036E-107, 3.8640237E-004, 2.2000347E+001, 0.0000000E+000, 2.1636556E-001, 1.2272836E+001, 9.2430726E-023, 9.2430726E-023, 9.2430726E-023, 9.2430726E-023, 9.2430726E-023, 9.7968062E-006, 2.9165304E-012
 6.0231278E+000, 2.0755368E-001, 2.0755368E-001, 1.0956333E-101, 3.8640237E-004, 2.2001330E+001, 0.0000000E+000, 1.2590691E+000, 1.5317396E+001, 1.0480569E-022, 1.0480569E-022, 1.0480569E-022, 1.0480569E-022, 1.0480569E-022, 1.4268540E-005, 4.6932815E-012
 7.0336903E+000, 2.0755368E-001, 2.0755368E-001, 5.2038719E-094, 3.8640237E-004, 2.2001322E+001, 6.9084332E-282, 1.0815081E+000, 1.7786321E+001, 4.3920023E-020, 4.3920023E-020, 4.3920023E-020, 4.3920023E-020, 4.3920023E-020, 1.9822237E-005, 6.3822683E-012
 8.0308157E+000, 2.0755368E-001, 2.0755368E-001, 1.3577662E-074, 3.8640237E-004, 2.2001798E+001, 2.4871305E-268, 1.4676021E+000, 2.0556934E+001, 1.7909106E-019, 1.7909106E-019, 1.7909106E-019, 1.7909106E-019, 1.7909106E-019, 2.6228009E-005, 8.1814031E-012
