x,0.762mm
0.55321,0.752437
0.630311,0.768162
0.73685,0.76811
0.803263,0.82522
0.902598,0.722708
0.978888,0.771932
1.05394,0.872387
1.14244,0.817171
1.23457,0.6122
1.32098,0.643684
1.38276,0.49193
1.46921,0.521444
1.54503,0.590372
1.61612,0.454376
1.69074,0.172566
1.76688,0.227701
1.82361,0.284816
1.90262,0.221723
1.98072,0.196069
2.02538,0.351712
2.10234,0.373349
2.172,0.296467
2.2429,0.168353
2.34171,0.0875164
2.48703,0.0854744
2.61304,0.0814714
2.80679,0.0794055
2.93261,0.0832844
3.0682,0.0832176
3.22341,0.073289
3.3883,0.0633555
3.49512,0.0514802
3.63072,0.0514134
3.76674,0.0336124
3.87342,0.0276486
4.02829,0.0315132
4.19232,0.0570481
4.24982,0.0826356
4.30735,0.106253
4.37487,0.118042
4.48164,0.108137
4.50154,0.0864524
4.58899,0.0745867
4.68542,0.0922732
4.74367,0.0863332
4.84081,0.0744627
4.89854,0.0901978
5.014,0.121668
5.01434,0.107875
