s,s,s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FDS Time,"top_vent","front_hole","door","TC_A1","TC_A2","TC_A3","TC_A4","TC_A5","TC_A6","TC_A7","TC_B1","TC_B2","TC_B3","TC_B4","TC_B5","TC_B6","TC_B7","TC_C1","TC_C2","TC_C3","TC_C4","TC_C5","TC_C6","TC_C7"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0093083E+000, 2.9925333E+000, 2.9925333E+000, 2.9925333E+000, 2.2589636E+002, 8.5897215E+001, 7.8337413E+001, 6.0737916E+001, 5.0169464E+001, 3.3508667E+001, 2.8923894E+001, 2.1408176E+001, 2.1332650E+001, 2.2083957E+001, 2.2649025E+001, 2.2248543E+001, 2.1439915E+001, 2.1076528E+001, 2.0017284E+001, 2.0022310E+001, 2.0222938E+001, 2.1018580E+001, 2.1216798E+001, 2.0864840E+001, 2.0468134E+001
 1.0009356E+001, 7.5166851E+000, 7.5166851E+000, 7.5166851E+000, 5.2475498E+002, 3.7587657E+002, 3.5191494E+002, 2.9220533E+002, 1.5353047E+002, 5.1336874E+001, 3.7594100E+001, 1.3326075E+002, 4.0062511E+001, 2.6615069E+001, 2.3906100E+001, 2.3295634E+001, 2.2681226E+001, 2.2356475E+001, 2.0043698E+001, 2.0055131E+001, 2.0289762E+001, 2.1230896E+001, 2.1564753E+001, 2.1265087E+001, 2.0896751E+001
 1.5008521E+001, 1.2419912E+001, 1.2419912E+001, 1.2419912E+001, 6.2990821E+002, 4.6663617E+002, 4.4322170E+002, 3.9396067E+002, 1.9704801E+002, 7.3367491E+001, 4.4153670E+001, 2.5901510E+002, 1.8780503E+002, 7.9056965E+001, 3.4037824E+001, 2.4467142E+001, 2.3544742E+001, 2.3100909E+001, 4.4072601E+001, 2.7091355E+001, 2.0542617E+001, 2.1235964E+001, 2.1819744E+001, 2.1755735E+001, 2.1449105E+001
 2.0008715E+001, 1.7458774E+001, 1.7458774E+001, 1.7458774E+001, 6.2821036E+002, 5.0867845E+002, 4.9085751E+002, 4.4261670E+002, 2.7291773E+002, 1.2596073E+002, 5.9576181E+001, 3.0303086E+002, 2.1710487E+002, 1.1226412E+002, 3.0938205E+001, 2.7161469E+001, 2.4510547E+001, 2.3837302E+001, 6.3245203E+001, 2.7209855E+001, 2.0710105E+001, 2.1334442E+001, 2.2027591E+001, 2.1942722E+001, 2.1702050E+001
 2.5014839E+001, 2.2508357E+001, 2.2508357E+001, 2.2508357E+001, 5.9297531E+002, 4.9441634E+002, 4.8227784E+002, 4.3081714E+002, 3.0325335E+002, 1.6095803E+002, 6.8186729E+001, 3.1149399E+002, 2.5540318E+002, 1.5578487E+002, 3.3499496E+001, 2.7773799E+001, 2.5394725E+001, 2.4402664E+001, 1.0012297E+002, 3.8886611E+001, 2.8571276E+001, 2.4919686E+001, 2.2429198E+001, 2.2333709E+001, 2.2205681E+001
 3.0018574E+001, 2.7534615E+001, 2.7534615E+001, 2.7534615E+001, 5.5785821E+002, 4.7484023E+002, 4.6208593E+002, 4.1538747E+002, 3.3269567E+002, 1.8177133E+002, 6.5028235E+001, 2.9974268E+002, 2.5774927E+002, 1.7487450E+002, 4.3827635E+001, 2.8681925E+001, 2.6712430E+001, 2.5245888E+001, 1.2766553E+002, 5.7022295E+001, 5.4288632E+001, 4.1033793E+001, 3.0660833E+001, 2.6424967E+001, 2.2754186E+001
 3.5004749E+001, 3.2450770E+001, 3.2450770E+001, 3.2450770E+001, 5.2859238E+002, 4.6023775E+002, 4.4882636E+002, 4.0693611E+002, 3.3102279E+002, 2.1563967E+002, 7.1033433E+001, 2.9611931E+002, 2.7009638E+002, 2.1079030E+002, 6.1862910E+001, 3.9626679E+001, 2.6697118E+001, 2.4985026E+001, 1.4994087E+002, 8.9929434E+001, 7.4608675E+001, 5.2805082E+001, 3.0673849E+001, 2.4520655E+001, 2.3397372E+001
 4.0012466E+001, 3.7538585E+001, 3.7538585E+001, 3.7538585E+001, 4.3360555E+002, 4.0754260E+002, 4.0310269E+002, 3.7786188E+002, 3.1370927E+002, 2.6623271E+002, 8.9819484E+001, 2.7474015E+002, 2.7905805E+002, 2.3163848E+002, 8.5760916E+001, 4.3468559E+001, 3.1229591E+001, 2.5993573E+001, 1.7905769E+002, 1.2236949E+002, 9.4944120E+001, 7.3182800E+001, 3.5568477E+001, 2.4436069E+001, 2.3713069E+001
 4.5011463E+001, 4.2536651E+001, 4.2536651E+001, 4.2536651E+001, 3.8516753E+002, 3.6345765E+002, 3.5971051E+002, 3.4299084E+002, 3.0412420E+002, 2.7380865E+002, 9.8922175E+001, 2.5896574E+002, 2.6448978E+002, 2.6768227E+002, 9.2055201E+001, 4.6391096E+001, 3.3470025E+001, 2.5827225E+001, 2.0512311E+002, 1.5466901E+002, 1.1098358E+002, 9.6892886E+001, 4.5732134E+001, 2.7323375E+001, 2.4073279E+001
 5.0007149E+001, 4.7563171E+001, 4.7563171E+001, 4.7563171E+001, 3.7323484E+002, 3.4753639E+002, 3.4515768E+002, 3.3458822E+002, 3.1542905E+002, 3.0638379E+002, 1.3055750E+002, 2.8209694E+002, 3.0151623E+002, 3.0365689E+002, 1.3144830E+002, 5.6220451E+001, 3.5540788E+001, 2.8785327E+001, 2.5628394E+002, 1.9112223E+002, 1.3585707E+002, 1.0946988E+002, 6.6067783E+001, 3.1872388E+001, 2.5722423E+001
 5.5014793E+001, 5.2487415E+001, 5.2487415E+001, 5.2487415E+001, 3.8718100E+002, 3.5133474E+002, 3.4912687E+002, 3.4715042E+002, 3.4949512E+002, 3.6986687E+002, 1.9280054E+002, 2.9396317E+002, 3.0425447E+002, 3.0501137E+002, 2.0956689E+002, 8.8512679E+001, 4.4646747E+001, 3.0146328E+001, 2.4761640E+002, 2.2036192E+002, 1.7339892E+002, 1.4280535E+002, 9.6419167E+001, 3.8346864E+001, 2.6193723E+001
 6.0023727E+001, 5.7456434E+001, 5.7456434E+001, 5.7456434E+001, 4.1877476E+002, 4.0383137E+002, 4.1043743E+002, 4.1227881E+002, 4.1366468E+002, 3.9943147E+002, 2.2469543E+002, 3.1624862E+002, 3.2076944E+002, 2.8848478E+002, 2.4061610E+002, 1.0701103E+002, 4.9945721E+001, 2.9199789E+001, 2.3198826E+002, 2.1325021E+002, 1.9293352E+002, 1.7593297E+002, 1.3388541E+002, 6.1907685E+001, 2.8074428E+001
 6.5010612E+001, 6.2627076E+001, 6.2627076E+001, 6.2627076E+001, 4.4669796E+002, 4.1092673E+002, 4.0742218E+002, 3.9816486E+002, 3.8218824E+002, 3.1475546E+002, 2.2581716E+002, 3.0934953E+002, 3.1468456E+002, 2.8217512E+002, 2.4433692E+002, 1.6033262E+002, 7.8345603E+001, 4.3594334E+001, 2.2887062E+002, 2.2211915E+002, 2.0078574E+002, 1.8740747E+002, 1.8006496E+002, 1.1668284E+002, 3.4612449E+001
 7.0036850E+001, 6.7257287E+001, 6.7257287E+001, 6.7257287E+001, 3.9645979E+002, 3.8500731E+002, 3.8141763E+002, 3.6681364E+002, 3.2790158E+002, 2.6372116E+002, 2.2648184E+002, 2.8978331E+002, 2.8142287E+002, 2.6602694E+002, 2.3887636E+002, 2.0905730E+002, 1.2579333E+002, 7.0544536E+001, 2.3198989E+002, 2.1324565E+002, 2.0542960E+002, 2.0124061E+002, 2.0099912E+002, 1.6901712E+002, 6.0561563E+001
 7.5011230E+001, 7.2608488E+001, 7.2608488E+001, 7.2608488E+001, 3.3783772E+002, 3.3862455E+002, 3.3130310E+002, 3.0200438E+002, 2.6465792E+002, 2.3516860E+002, 1.9546545E+002, 2.3163903E+002, 2.4432929E+002, 2.3764287E+002, 2.2960388E+002, 1.9884461E+002, 1.6422716E+002, 8.7803371E+001, 2.1125118E+002, 2.1258782E+002, 2.0763608E+002, 2.1224988E+002, 2.1047280E+002, 1.7007734E+002, 9.6101386E+001
 8.0014114E+001, 7.7579803E+001, 7.7579803E+001, 7.7579803E+001, 3.0728145E+002, 3.0735237E+002, 2.9927272E+002, 2.7590138E+002, 2.4511887E+002, 2.1506203E+002, 1.7556552E+002, 2.3749000E+002, 2.1919744E+002, 2.1714546E+002, 2.2020532E+002, 2.1670974E+002, 2.1219586E+002, 1.2526212E+002, 1.9538788E+002, 2.0361856E+002, 2.0035951E+002, 2.0359696E+002, 2.1234943E+002, 1.9132401E+002, 1.2555310E+002
 8.5014519E+001, 8.2351676E+001, 8.2351676E+001, 8.2351676E+001, 2.8920464E+002, 2.9191805E+002, 2.8932778E+002, 2.8237568E+002, 2.6466510E+002, 2.3356368E+002, 1.8269711E+002, 3.2705499E+002, 2.7192709E+002, 2.5356084E+002, 2.4316582E+002, 2.4016135E+002, 2.1653071E+002, 1.4605401E+002, 2.0765029E+002, 2.2888901E+002, 2.3835111E+002, 2.2414993E+002, 2.0083662E+002, 1.8009404E+002, 1.5380778E+002
