s,s,s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
FDS Time,"top_vent","front_hole","door","TC_A1","TC_A2","TC_A3","TC_A4","TC_A5","TC_A6","TC_A7","TC_B1","TC_B2","TC_B3","TC_B4","TC_B5","TC_B6","TC_B7","TC_C1","TC_C2","TC_C3","TC_C4","TC_C5","TC_C6","TC_C7"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0063486E+000, 2.9911813E+000, 2.9911813E+000, 2.9911813E+000, 2.2646431E+002, 8.6993908E+001, 7.8987414E+001, 6.1974402E+001, 5.0760591E+001, 3.3593359E+001, 2.8843531E+001, 2.1185872E+001, 2.1238988E+001, 2.1976957E+001, 2.2523277E+001, 2.2144553E+001, 2.1383559E+001, 2.1034142E+001, 2.0016022E+001, 2.0020565E+001, 2.0200402E+001, 2.0926000E+001, 2.1111785E+001, 2.0793976E+001, 2.0429397E+001
 1.0003605E+001, 7.4830935E+000, 7.4830935E+000, 7.4830935E+000, 5.2200782E+002, 3.7644058E+002, 3.5479141E+002, 2.7730558E+002, 1.4982501E+002, 4.8263450E+001, 3.6297572E+001, 1.1864503E+002, 3.8542611E+001, 3.0623109E+001, 2.3902754E+001, 2.3240918E+001, 2.2650233E+001, 2.2258675E+001, 2.0036341E+001, 2.0047617E+001, 2.0267191E+001, 2.1206255E+001, 2.1568808E+001, 2.1257590E+001, 2.0895488E+001
 1.5013260E+001, 1.2471329E+001, 1.2471329E+001, 1.2471329E+001, 6.3042669E+002, 4.7119810E+002, 4.4611329E+002, 4.0787986E+002, 1.8646333E+002, 6.9411249E+001, 4.5513754E+001, 1.9350817E+002, 1.6212650E+002, 6.7691887E+001, 2.6371962E+001, 2.4674686E+001, 2.3818843E+001, 2.3285958E+001, 3.3205522E+001, 2.2159336E+001, 2.1914457E+001, 2.1170549E+001, 2.1759716E+001, 2.1633100E+001, 2.1334818E+001
 2.0017805E+001, 1.7512069E+001, 1.7512069E+001, 1.7512069E+001, 6.4368484E+002, 5.0981194E+002, 4.9576233E+002, 4.4960303E+002, 2.7501879E+002, 9.6104176E+001, 5.3189750E+001, 2.5231792E+002, 1.8719196E+002, 8.8590452E+001, 2.7221717E+001, 2.6554479E+001, 2.5017958E+001, 2.4275899E+001, 4.1107278E+001, 2.1844693E+001, 2.0731119E+001, 2.1364843E+001, 2.1858901E+001, 2.1823297E+001, 2.1588482E+001
 2.5017860E+001, 2.2503824E+001, 2.2503824E+001, 2.2503824E+001, 6.0298946E+002, 5.0453848E+002, 4.9078870E+002, 4.4331512E+002, 2.9249219E+002, 1.3295957E+002, 5.9710815E+001, 2.6381324E+002, 2.2738970E+002, 1.1739482E+002, 2.9388332E+001, 2.9239842E+001, 2.5204338E+001, 2.4372074E+001, 5.9339904E+001, 2.5138901E+001, 2.0934439E+001, 2.1581209E+001, 2.2072291E+001, 2.2081125E+001, 2.1848657E+001
 3.0007404E+001, 2.7522572E+001, 2.7522572E+001, 2.7522572E+001, 5.5192127E+002, 4.8192846E+002, 4.6498578E+002, 4.2077846E+002, 3.3495711E+002, 1.3304292E+002, 5.4446063E+001, 2.6421775E+002, 2.5157466E+002, 1.4032812E+002, 3.0356169E+001, 2.8065893E+001, 2.5909465E+001, 2.4423334E+001, 8.0795510E+001, 3.4902481E+001, 2.4713244E+001, 2.3442114E+001, 2.2504342E+001, 2.2655298E+001, 2.2524729E+001
 3.5012287E+001, 3.2529402E+001, 3.2529402E+001, 3.2529402E+001, 5.2114703E+002, 4.5548485E+002, 4.4059410E+002, 4.0236442E+002, 3.4308247E+002, 1.4050927E+002, 5.3563786E+001, 2.6754594E+002, 2.6164422E+002, 1.6111831E+002, 3.3153786E+001, 2.8653666E+001, 2.6732504E+001, 2.4869748E+001, 9.3923831E+001, 5.0065024E+001, 3.6816141E+001, 2.9584700E+001, 2.4686788E+001, 2.2956458E+001, 2.1910506E+001
 4.0001656E+001, 3.7572624E+001, 3.7572624E+001, 3.7572624E+001, 5.1213941E+002, 4.4435010E+002, 4.3126285E+002, 4.0006445E+002, 3.5171645E+002, 1.9835790E+002, 5.5620975E+001, 2.8903624E+002, 2.9312978E+002, 1.9755813E+002, 3.9118606E+001, 3.2790608E+001, 2.7822412E+001, 2.6606876E+001, 1.2108640E+002, 7.0197220E+001, 4.7260288E+001, 3.2562709E+001, 2.4794721E+001, 2.3989322E+001, 2.2965382E+001
 4.5006294E+001, 4.2512663E+001, 4.2512663E+001, 4.2512663E+001, 4.6581143E+002, 4.2102997E+002, 4.1231941E+002, 4.0050841E+002, 3.6366820E+002, 2.1930338E+002, 5.4880150E+001, 2.8977997E+002, 2.9898601E+002, 2.2725415E+002, 4.0492961E+001, 3.4432028E+001, 2.9681269E+001, 2.7292529E+001, 1.4408635E+002, 8.8449774E+001, 6.2159543E+001, 4.1023786E+001, 2.5664210E+001, 2.4060259E+001, 2.3661894E+001
 5.0007446E+001, 4.7552728E+001, 4.7552728E+001, 4.7552728E+001, 4.3417652E+002, 3.9224045E+002, 3.9042851E+002, 3.8927899E+002, 3.7342321E+002, 2.4418483E+002, 6.0882532E+001, 2.9357943E+002, 3.0762187E+002, 2.1937041E+002, 5.0925409E+001, 3.3997350E+001, 3.0611818E+001, 2.7256683E+001, 1.6302470E+002, 1.0688781E+002, 8.0775310E+001, 4.6517382E+001, 2.4507751E+001, 2.4142227E+001, 2.3765313E+001
 5.5007687E+001, 5.2476124E+001, 5.2476124E+001, 5.2476124E+001, 4.3114882E+002, 3.9506063E+002, 3.9865758E+002, 4.0918408E+002, 4.1748848E+002, 2.8778780E+002, 7.2231442E+001, 3.1030950E+002, 3.2671896E+002, 3.1302727E+002, 5.8978448E+001, 3.8716881E+001, 3.3427985E+001, 2.9967326E+001, 2.0893963E+002, 1.3783075E+002, 9.2840875E+001, 5.7272641E+001, 2.6606406E+001, 2.5775677E+001, 2.5475814E+001
 6.0013947E+001, 5.7518518E+001, 5.7518518E+001, 5.7518518E+001, 4.8885827E+002, 4.5811016E+002, 4.5635616E+002, 4.7830733E+002, 4.9645349E+002, 4.4013167E+002, 1.0941352E+002, 3.7533806E+002, 3.5688254E+002, 3.4458697E+002, 1.1310275E+002, 3.9369562E+001, 3.5447200E+001, 3.1426497E+001, 2.7005323E+002, 1.7572292E+002, 1.2306346E+002, 9.5279621E+001, 3.3664296E+001, 2.6449161E+001, 2.6341229E+001
 6.5000999E+001, 6.2536345E+001, 6.2536345E+001, 6.2536345E+001, 5.3837056E+002, 4.9763582E+002, 4.8715056E+002, 4.7108209E+002, 4.6488287E+002, 3.6106488E+002, 1.0934833E+002, 3.6019069E+002, 3.3777456E+002, 3.2617310E+002, 1.0146741E+002, 3.5444084E+001, 3.3239427E+001, 3.1165868E+001, 2.6900788E+002, 2.0840819E+002, 1.6567208E+002, 1.1046968E+002, 2.7978163E+001, 2.5536138E+001, 2.5349500E+001
 7.0002274E+001, 6.7456785E+001, 6.7456785E+001, 6.7456785E+001, 5.3121555E+002, 4.7881128E+002, 4.7350662E+002, 4.6599065E+002, 4.6935029E+002, 2.2927609E+002, 1.1154248E+002, 3.4728940E+002, 3.1578656E+002, 3.2367788E+002, 8.2548198E+001, 3.2533117E+001, 3.0799499E+001, 2.9223147E+001, 2.3644395E+002, 1.9330353E+002, 1.4883887E+002, 8.7793985E+001, 2.5744470E+001, 2.5241573E+001, 2.4351596E+001
 7.5013771E+001, 7.2505216E+001, 7.2505216E+001, 7.2505216E+001, 5.4559300E+002, 4.6895626E+002, 4.6084173E+002, 4.3962241E+002, 4.1419435E+002, 2.3999849E+002, 9.4069123E+001, 3.1977003E+002, 2.9866771E+002, 2.9283802E+002, 7.1475499E+001, 3.4485373E+001, 2.9917773E+001, 2.7548225E+001, 2.3588404E+002, 1.9292172E+002, 1.4197034E+002, 7.0672023E+001, 3.1181010E+001, 2.5429786E+001, 2.4358602E+001
 8.0006912E+001, 7.7518636E+001, 7.7518636E+001, 7.7518636E+001, 5.4372085E+002, 4.6939562E+002, 4.5381226E+002, 4.3098547E+002, 4.0693108E+002, 2.2935161E+002, 9.4233819E+001, 3.1960360E+002, 3.1897278E+002, 3.0275038E+002, 7.4416384E+001, 3.4220384E+001, 3.0650609E+001, 2.7057636E+001, 2.3661266E+002, 1.7519029E+002, 1.3428716E+002, 6.2642970E+001, 3.2427801E+001, 2.6690729E+001, 2.4728375E+001
 8.5000046E+001, 8.2511773E+001, 8.2511773E+001, 8.2511773E+001, 4.9962254E+002, 4.4533030E+002, 4.3770268E+002, 4.2096895E+002, 3.9644292E+002, 2.4863545E+002, 8.0157633E+001, 3.1600107E+002, 3.0995042E+002, 2.9754301E+002, 6.6531575E+001, 3.4564489E+001, 3.0252089E+001, 2.7325530E+001, 2.3980309E+002, 1.7813892E+002, 1.3183827E+002, 6.2322822E+001, 3.1171127E+001, 2.6583972E+001, 2.5533166E+001
