m,m/s
umean-z,umean
 9.8000000E-004,-2.3202006E-008
 2.9400000E-003,-2.2014094E-008
 4.9000000E-003,-1.4747779E-008
 6.8600000E-003, 2.3855655E-008
 8.8200000E-003, 2.1354321E-007
 1.0780000E-002, 5.2969429E+000
 1.2740000E-002, 6.0318369E+000
 1.4700000E-002, 6.5436095E+000
 1.6660000E-002, 6.9392491E+000
 1.8620000E-002, 7.2345553E+000
 2.0580000E-002, 7.4386391E+000
 2.2540000E-002, 7.5748174E+000
 2.4500000E-002, 7.6438547E+000
 2.6460000E-002, 7.6729499E+000
 2.8420000E-002, 7.6842019E+000
 3.0380000E-002, 7.6950381E+000
 3.2340000E-002, 7.7003786E+000
 3.4300000E-002, 7.6961338E+000
 3.6260000E-002, 7.7064896E+000
 3.8220000E-002, 7.7102107E+000
 4.0180000E-002, 7.6987323E+000
 4.2140000E-002, 7.6980503E+000
 4.4100000E-002, 7.7050336E+000
 4.6060000E-002, 7.7201210E+000
 4.8020000E-002, 7.7253193E+000
 4.9980000E-002, 7.7125336E+000
 5.1940000E-002, 7.7176503E+000
 5.3900000E-002, 7.7194559E+000
 5.5860000E-002, 7.6990923E+000
 5.7820000E-002, 7.6770176E+000
