z_Lund,up_wp_Lund,z_Spalart,up_wp_Spalart,z_Wu,up_wp_Wu
0.00296097,-0.00070118,0.0502738,-0.77400053,0.0172755,-1.0224648
0.0186209,-0.20828818,0.096789,-0.83409497,0.0461547,-0.99942208
0.0479056,-0.82464561,0.149983,-0.81144604,0.0981655,-0.93956188
0.1114,-0.91169842,0.196544,-0.74910583,0.138648,-0.87464019
0.184019,-0.79659731,0.251415,-0.68899462,0.187796,-0.80518318
0.249817,-0.74196,0.301292,-0.64990684,0.225394,-0.74519884
0.351953,-0.5428153,0.352855,-0.55926915,0.268773,-0.68125875
0.433666,-0.39403993,0.399415,-0.50772608,0.312195,-0.59672535
0.5267,-0.31970091,0.450985,-0.41313528,0.393237,-0.45966637
0.610696,-0.18082395,0.500886,-0.341597,0.488799,-0.30202609
0.671979,-0.12065341,0.547485,-0.24189577,0.535128,-0.2392462
0.746893,-0.049613553,0.600717,-0.17808822,0.587279,-0.1679803
0.801364,-0.02573971,0.653933,-0.14071201,0.645179,-0.11428659
0.876236,-0.016714094,0.700548,-0.067364126,0.700183,-0.072926462
0.951116,-0.006815246,0.752095,-0.050246361,0.73494,-0.04882288
1.02374,-2.18E-05,0.800341,-0.023848007,0.758082,-0.039306235
1.10085,-0.002642155,0.850226,-0.014177903,0.807241,-0.024522307
1.16893,-0.000118884,0.900118,-0.005219398,0.859273,-0.014083993
1.19842,-0.000118884,1.00154,-0.000597094,0.917064,-0.007136786
1.19842,-0.000118884,Nan,Nan,0.974833,-0.003341048
1.19842,-0.000118884,Nan,Nan,1.02681,-0.001496073
1.19842,-0.000118884,Nan,Nan,1.08455,-0.000541949
1.19842,-0.000118884,Nan,Nan,1.14515,-0.000236584
1.19842,-0.000118884,Nan,Nan,1.19708,-0.000127611
1.19842,-0.000118884,Nan,Nan,Nan,Nan
1.19842,-0.000118884,Nan,Nan,Nan,Nan
1.19842,-0.000118884,Nan,Nan,Nan,Nan
