m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
umean-z,umean,vmean-z,vmean,wmean-z,wmean,urms-z,urms,vrms-z,vrms,wrms-z,wrms
 1.5000000E-002, 9.9694336E-002, 1.5000000E-002,-5.2432408E-003, 1.5000000E-002,-4.2195381E-002, 1.5000000E-002, 3.7979613E-002, 1.5000000E-002, 5.4126775E-002, 1.5000000E-002, 4.0805500E-002
 7.5625000E-002, 2.7779255E-001, 7.5625000E-002,-1.2901458E-002, 7.5625000E-002,-5.4142585E-002, 7.5625000E-002, 3.5033185E-002, 7.5625000E-002, 8.2217879E-002, 7.5625000E-002, 7.6405223E-002
 1.3625000E-001, 4.6332808E-001, 1.3625000E-001,-1.3715192E-002, 1.3625000E-001,-4.5273534E-002, 1.3625000E-001, 4.8729223E-002, 1.3625000E-001, 8.8944281E-002, 1.3625000E-001, 9.0638978E-002
 1.9687500E-001, 6.2230391E-001, 1.9687500E-001,-1.0443796E-002, 1.9687500E-001,-3.1223483E-002, 1.9687500E-001, 6.0344341E-002, 1.9687500E-001, 8.9991003E-002, 1.9687500E-001, 9.5384711E-002
 2.5750000E-001, 7.5472732E-001, 2.5750000E-001,-2.4193354E-003, 2.5750000E-001,-1.6198439E-002, 2.5750000E-001, 7.3825837E-002, 2.5750000E-001, 9.0110934E-002, 2.5750000E-001, 9.8424596E-002
 3.1812500E-001, 8.5869734E-001, 3.1812500E-001, 3.1674844E-003, 3.1812500E-001,-4.8233308E-003, 3.1812500E-001, 8.8734943E-002, 3.1812500E-001, 9.1776817E-002, 3.1812500E-001, 9.8239310E-002
 3.7875000E-001, 9.3745644E-001, 3.7875000E-001, 6.4617143E-003, 3.7875000E-001, 4.9781257E-004, 3.7875000E-001, 9.9568350E-002, 3.7875000E-001, 9.5373529E-002, 3.7875000E-001, 9.5092592E-002
 4.3937500E-001, 9.8627595E-001, 4.3937500E-001, 3.6223065E-003, 4.3937500E-001, 3.9779450E-003, 4.3937500E-001, 1.0119881E-001, 4.3937500E-001, 9.1200860E-002, 4.3937500E-001, 9.5113199E-002
 5.0000000E-001, 1.0031293E+000, 5.0000000E-001,-1.6133866E-003, 5.0000000E-001, 8.1507815E-003, 5.0000000E-001, 9.8235166E-002, 5.0000000E-001, 8.6238080E-002, 5.0000000E-001, 9.8500760E-002
 5.6062500E-001, 9.8577369E-001, 5.6062500E-001,-4.4071035E-003, 5.6062500E-001, 1.4987189E-002, 5.6062500E-001, 8.8993555E-002, 5.6062500E-001, 8.6734461E-002, 5.6062500E-001, 1.0108272E-001
 6.2125000E-001, 9.3755173E-001, 6.2125000E-001,-1.6425152E-003, 6.2125000E-001, 2.0847935E-002, 6.2125000E-001, 8.1094988E-002, 6.2125000E-001, 9.1891483E-002, 6.2125000E-001, 1.0229627E-001
 6.8187500E-001, 8.6064521E-001, 6.8187500E-001, 4.9360475E-003, 6.8187500E-001, 2.3520465E-002, 6.8187500E-001, 7.4179397E-002, 6.8187500E-001, 9.0697795E-002, 6.8187500E-001, 1.0308603E-001
 7.4250000E-001, 7.5592996E-001, 7.4250000E-001, 1.1285819E-002, 7.4250000E-001, 2.5637253E-002, 7.4250000E-001, 6.6052501E-002, 7.4250000E-001, 8.9467042E-002, 7.4250000E-001, 1.0051555E-001
 8.0312500E-001, 6.2218899E-001, 8.0312500E-001, 1.2322753E-002, 8.0312500E-001, 2.9332218E-002, 8.0312500E-001, 5.7370502E-002, 8.0312500E-001, 9.0263072E-002, 8.0312500E-001, 9.4180577E-002
 8.6375000E-001, 4.6073302E-001, 8.6375000E-001, 1.1214931E-002, 8.6375000E-001, 3.5791783E-002, 8.6375000E-001, 4.5184809E-002, 8.6375000E-001, 9.0405395E-002, 8.6375000E-001, 8.5093769E-002
 9.2437500E-001, 2.7410987E-001, 9.2437500E-001, 8.5743876E-003, 9.2437500E-001, 3.9922715E-002, 9.2437500E-001, 3.4291957E-002, 9.2437500E-001, 8.3108340E-002, 9.2437500E-001, 6.4598371E-002
 9.8500000E-001, 9.1391754E-002, 9.8500000E-001, 7.1329628E-003, 9.8500000E-001, 0.0000000E+000, 9.8500000E-001, 3.4580518E-002, 9.8500000E-001, 5.0102513E-002, 9.8500000E-001, 0.0000000E+000
