m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
umean-z,umean,vmean-z,vmean,wmean-z,wmean,urms-z,urms,vrms-z,vrms,wrms-z,wrms
 1.5000000E-002, 1.0013219E+000, 1.5000000E-002,-8.8483776E-003, 1.5000000E-002,-9.5040824E-003, 1.5000000E-002, 8.0261599E-002, 1.5000000E-002, 7.2410693E-002, 1.5000000E-002, 7.0698193E-002
 7.5625000E-002, 9.9688403E-001, 7.5625000E-002,-1.3227293E-002, 7.5625000E-002,-1.0500932E-002, 7.5625000E-002, 8.8078805E-002, 7.5625000E-002, 8.4996286E-002, 7.5625000E-002, 8.8559145E-002
 1.3625000E-001, 9.9658465E-001, 1.3625000E-001,-1.3446397E-002, 1.3625000E-001,-7.5477585E-003, 1.3625000E-001, 9.1356299E-002, 1.3625000E-001, 9.0235191E-002, 1.3625000E-001, 9.3641783E-002
 1.9687500E-001, 9.9477296E-001, 1.9687500E-001,-1.0829157E-002, 1.9687500E-001, 6.8580109E-004, 1.9687500E-001, 8.9996409E-002, 1.9687500E-001, 9.0568648E-002, 1.9687500E-001, 9.6494870E-002
 2.5750000E-001, 9.9501086E-001, 2.5750000E-001,-3.2462475E-003, 2.5750000E-001, 9.4304810E-003, 2.5750000E-001, 9.2786637E-002, 2.5750000E-001, 9.2304989E-002, 2.5750000E-001, 9.9720092E-002
 3.1812500E-001, 9.9608548E-001, 3.1812500E-001, 1.7758307E-003, 3.1812500E-001, 1.4198204E-002, 3.1812500E-001, 9.9027508E-002, 3.1812500E-001, 9.2837654E-002, 3.1812500E-001, 9.8652353E-002
 3.7875000E-001, 1.0014124E+000, 3.7875000E-001, 4.5980904E-003, 3.7875000E-001, 1.3198012E-002, 3.7875000E-001, 1.0352443E-001, 3.7875000E-001, 9.5334143E-002, 3.7875000E-001, 9.3916444E-002
 4.3937500E-001, 1.0073672E+000, 4.3937500E-001, 1.5973415E-003, 4.3937500E-001, 9.9320099E-003, 4.3937500E-001, 1.0048585E-001, 4.3937500E-001, 9.2456446E-002, 4.3937500E-001, 9.3439798E-002
 5.0000000E-001, 1.0102930E+000, 5.0000000E-001,-3.9380040E-003, 5.0000000E-001, 7.5105278E-003, 5.0000000E-001, 9.6362874E-002, 5.0000000E-001, 8.7091202E-002, 5.0000000E-001, 9.6955173E-002
 5.6062500E-001, 1.0079793E+000, 5.6062500E-001,-6.8637016E-003, 5.6062500E-001, 7.8843154E-003, 5.6062500E-001, 9.0027025E-002, 5.6062500E-001, 8.7778332E-002, 5.6062500E-001, 1.0029067E-001
 6.2125000E-001, 1.0039961E+000, 6.2125000E-001,-4.0707799E-003, 6.2125000E-001, 6.3993021E-003, 6.2125000E-001, 8.6004435E-002, 6.2125000E-001, 9.1980734E-002, 6.2125000E-001, 1.0333725E-001
 6.8187500E-001, 9.9955506E-001, 6.8187500E-001, 3.2822615E-003, 6.8187500E-001, 1.9752258E-003, 6.8187500E-001, 8.4700349E-002, 6.8187500E-001, 9.0666624E-002, 6.8187500E-001, 1.0391256E-001
 7.4250000E-001, 9.9633693E-001, 7.4250000E-001, 9.9586002E-003, 7.4250000E-001,-4.0234605E-003, 7.4250000E-001, 8.6217248E-002, 7.4250000E-001, 8.8902104E-002, 7.4250000E-001, 1.0181327E-001
 8.0312500E-001, 9.9198843E-001, 8.0312500E-001, 1.2036050E-002, 8.0312500E-001,-7.1269257E-003, 8.0312500E-001, 9.0636906E-002, 8.0312500E-001, 8.9435466E-002, 8.0312500E-001, 9.6656417E-002
 8.6375000E-001, 9.8852002E-001, 8.6375000E-001, 1.1558245E-002, 8.6375000E-001,-6.0491817E-003, 8.6375000E-001, 9.1726647E-002, 8.6375000E-001, 9.3335156E-002, 8.6375000E-001, 9.0693376E-002
 9.2437500E-001, 9.8729564E-001, 9.2437500E-001, 1.0862627E-002, 9.2437500E-001,-4.1621502E-003, 9.2437500E-001, 9.0941973E-002, 9.2437500E-001, 9.0080322E-002, 9.2437500E-001, 8.2245364E-002
 9.8500000E-001, 9.9193526E-001, 9.8500000E-001, 8.5878597E-003, 9.8500000E-001,-5.4478844E-003, 9.8500000E-001, 7.7321510E-002, 9.8500000E-001, 7.6680556E-002, 9.8500000E-001, 6.6061787E-002
