z,u,T
 0.0220, -0.0002, 20.0000
 0.3661,  4.5914, 19.6610
 0.7101,  5.6709, 19.5789
 1.0542,  6.3132, 19.5288
 1.3983,  6.7715, 19.4922
 1.7423,  7.1277, 19.4630
 2.0864,  7.4189, 19.4386
 2.4305,  7.6651, 19.4174
 2.7746,  7.8782, 19.3987
 3.1186,  8.0660, 19.3819
 3.4627,  8.2338, 19.3665
 3.8068,  8.3854, 19.3522
 4.1508,  8.5236, 19.3390
 4.4949,  8.6506, 19.3266
 4.8390,  8.7680, 19.3149
 5.1830,  8.8771, 19.3037
 5.5271,  8.9790, 19.2931
 5.8712,  9.0746, 19.2830
 6.2152,  9.1646, 19.2733
 6.5593,  9.2495, 19.2639
 6.9034,  9.3300, 19.2549
 7.2474,  9.4064, 19.2462
 7.5915,  9.4792, 19.2377
 7.9356,  9.5486, 19.2295
 8.2797,  9.6149, 19.2215
 8.6237,  9.6785, 19.2137
 8.9678,  9.7394, 19.2061
 9.3119,  9.7980, 19.1986
 9.6559,  9.8543, 19.1914
10.0000,  9.9086, 19.1842
