m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,mu_strm_bot-x,mu_strm_bot,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib,mu_prof_rib-z,mu_prof_rib
-3.8750000E-001, 9.5472912E-002,-3.7500000E-002, 1.3304298E+000,-3.8750000E-001, 3.4812147E-004,-3.8750000E-001, 3.2588316E-001,-3.7500000E-002, 2.6667990E-001, 1.1250000E-001, 1.0787349E+000, 1.1250000E-001, 3.0658590E-001, 1.1250000E-001, 1.0189899E-003
-3.6250000E-001, 1.1690412E-001,-1.2500000E-002, 1.1665950E+000,-3.6250000E-001, 3.4228962E-004,-3.6250000E-001, 3.4183542E-001,-1.2500000E-002, 2.8846330E-001, 1.3750000E-001, 1.7010384E+000, 1.3750000E-001, 2.3312350E-001, 1.3750000E-001, 3.8292327E-004
-3.3750000E-001, 1.9500000E-001, 1.2500000E-002, 1.0787349E+000,-3.3750000E-001, 3.6094853E-004,-3.3750000E-001, 3.2391595E-001, 1.2500000E-002, 3.0658590E-001, 1.6250000E-001, 1.7827709E+000, 1.6250000E-001, 1.8862506E-001, 1.6250000E-001, 3.1674043E-004
-3.1250000E-001, 2.1937688E-001, 3.7500000E-002, 1.0028159E+000,-3.1250000E-001, 3.6880360E-004,-3.1250000E-001, 3.3484273E-001, 3.7500000E-002, 3.2513867E-001, 1.8750000E-001, 1.7447111E+000, 1.8750000E-001, 1.8412306E-001, 1.8750000E-001, 3.1985769E-004
-2.8750000E-001, 2.6604492E-001,NaN,NaN,-2.8750000E-001, 3.8365917E-004,-2.8750000E-001, 3.2973150E-001,NaN,NaN, 2.1250000E-001, 1.6850399E+000, 2.1250000E-001, 1.8921728E-001, 2.1250000E-001, 2.9164420E-004
-2.6250000E-001, 2.8067019E-001,NaN,NaN,-2.6250000E-001, 4.0668044E-004,-2.6250000E-001, 3.3851498E-001,NaN,NaN, 2.3750000E-001, 1.6144615E+000, 2.3750000E-001, 2.0072547E-001, 2.3750000E-001, 2.7019813E-004
-2.3750000E-001, 2.7974114E-001,NaN,NaN,-2.3750000E-001, 4.1965861E-004,-2.3750000E-001, 3.5808252E-001,NaN,NaN, 2.6250000E-001, 1.5339934E+000, 2.6250000E-001, 1.9827190E-001, 2.6250000E-001, 2.4664712E-004
-2.1250000E-001, 2.7255399E-001,NaN,NaN,-2.1250000E-001, 4.3935051E-004,-2.1250000E-001, 3.6678266E-001,NaN,NaN, 2.8750000E-001, 1.4149000E+000, 2.8750000E-001, 1.7787827E-001, 2.8750000E-001, 1.0868232E-003
-1.8750000E-001, 2.3591431E-001,NaN,NaN,-1.8750000E-001, 4.4241248E-004,-1.8750000E-001, 3.7568682E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.6250000E-001, 1.8285603E-001,NaN,NaN,-1.6250000E-001, 4.4011099E-004,-1.6250000E-001, 3.8387800E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.3750000E-001, 7.4930130E-002,NaN,NaN,-1.3750000E-001, 4.3555342E-004,-1.3750000E-001, 3.9544739E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.1250000E-001,-3.8059869E-002,NaN,NaN,-1.1250000E-001, 4.3650862E-004,-1.1250000E-001, 3.8298009E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-8.7500000E-002,-1.9631312E-001,NaN,NaN,-8.7500000E-002, 4.3096758E-004,-8.7500000E-002, 2.6206728E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-6.2500000E-002, 6.2270060E-007,NaN,NaN,-6.2500000E-002, 5.9874915E-004,-6.2500000E-002, 1.3138208E-004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3.7500000E-002, 6.2962539E-007,NaN,NaN,-3.7500000E-002, 5.9874915E-004,-3.7500000E-002, 1.1024847E-004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.2500000E-002, 4.8540864E-007,NaN,NaN,-1.2500000E-002, 1.2000000E-005,-1.2500000E-002, 8.9907625E-005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2500000E-002, 3.5798473E-007,NaN,NaN, 1.2500000E-002, 1.2000000E-005, 1.2500000E-002, 7.8788572E-005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.7500000E-002, 3.0439204E-007,NaN,NaN, 3.7500000E-002, 1.4844584E-004, 3.7500000E-002, 7.9518272E-005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.2500000E-002,-1.4325444E-002,NaN,NaN, 6.2500000E-002, 1.4844584E-004, 6.2500000E-002, 1.6237895E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.7500000E-002,-6.0949462E-002,NaN,NaN, 8.7500000E-002, 1.2584627E-004, 8.7500000E-002, 1.9446960E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1250000E-001,-9.1525960E-002,NaN,NaN, 1.1250000E-001, 1.4916277E-004, 1.1250000E-001, 2.1239532E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.3750000E-001,-1.2496726E-001,NaN,NaN, 1.3750000E-001, 1.7011224E-004, 1.3750000E-001, 2.2122501E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.6250000E-001,-1.4848597E-001,NaN,NaN, 1.6250000E-001, 1.8350787E-004, 1.6250000E-001, 2.2699558E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.8750000E-001,-1.8090652E-001,NaN,NaN, 1.8750000E-001, 2.0212271E-004, 1.8750000E-001, 2.3369255E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.1250000E-001,-2.3327387E-001,NaN,NaN, 2.1250000E-001, 2.3265856E-004, 2.1250000E-001, 2.2269391E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.3750000E-001,-2.7625797E-001,NaN,NaN, 2.3750000E-001, 2.5627691E-004, 2.3750000E-001, 2.2942382E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.6250000E-001,-3.0788007E-001,NaN,NaN, 2.6250000E-001, 2.7610112E-004, 2.6250000E-001, 2.2475537E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.8750000E-001,-3.2466269E-001,NaN,NaN, 2.8750000E-001, 3.0347595E-004, 2.8750000E-001, 2.3274565E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.1250000E-001,-3.3962140E-001,NaN,NaN, 3.1250000E-001, 3.0887501E-004, 3.1250000E-001, 2.2547980E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.3750000E-001,-3.4253647E-001,NaN,NaN, 3.3750000E-001, 3.2285986E-004, 3.3750000E-001, 2.3083043E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.6250000E-001,-3.2918471E-001,NaN,NaN, 3.6250000E-001, 3.1896869E-004, 3.6250000E-001, 2.3963846E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.8750000E-001,-3.1545626E-001,NaN,NaN, 3.8750000E-001, 3.2218891E-004, 3.8750000E-001, 2.5507104E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.1250000E-001,-2.8815772E-001,NaN,NaN, 4.1250000E-001, 3.2341355E-004, 4.1250000E-001, 2.6061310E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.3750000E-001,-2.6811610E-001,NaN,NaN, 4.3750000E-001, 3.1521499E-004, 4.3750000E-001, 2.7489440E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.6250000E-001,-2.0012768E-001,NaN,NaN, 4.6250000E-001, 3.1791946E-004, 4.6250000E-001, 2.9114461E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.8750000E-001,-2.0256258E-001,NaN,NaN, 4.8750000E-001, 3.1698491E-004, 4.8750000E-001, 2.9991101E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.1250000E-001,-1.0420862E-001,NaN,NaN, 5.1250000E-001, 3.3686933E-004, 5.1250000E-001, 3.0437230E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.3750000E-001,-9.8787965E-002,NaN,NaN, 5.3750000E-001, 3.1644806E-004, 5.3750000E-001, 3.1362054E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.6250000E-001,-5.0829663E-004,NaN,NaN, 5.6250000E-001, 3.4544005E-004, 5.6250000E-001, 3.1917807E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.8750000E-001, 2.7429898E-003,NaN,NaN, 5.8750000E-001, 3.2608124E-004, 5.8750000E-001, 3.2661803E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
