z_Eaton,wp_wp_Eaton,z_Lund,wp_wp_Lund,z_Spalart,wp_wp_Spalart,z_Wu,wp_wp_Wu
0.00335023,0.99038001,0.00296097,0.00070118,0.0228878,0.18236572,0.0169972,0.024460334
0.0060176,0.59418499,0.0326908,0.30921941,0.0530948,0.74545956,0.023796,0.16520729
0.0118218,1.38007,0.073671,0.78000338,0.0747932,1.002862,0.0441926,0.30521979
0.167604,1.4359099,0.155426,1.1786793,0.101424,1.1220741,0.0985836,0.76712373
0.238933,1.35848,0.271102,1.1120124,0.152972,1.1983024,0.152975,0.94105133
0.392738,1.19071,0.348208,1.0156407,0.201172,1.2003174,0.193768,1.0033628
0.593396,0.93297799,0.40489,0.8939381,0.252665,1.1039705,0.254958,0.9631067
0.925509,0.58439301,0.457043,0.80775875,0.302527,1.1059677,0.322946,0.86468983
NaN,NaN,0.531873,0.69964693,0.350705,1.0366701,0.397734,0.77167967
NaN,NaN,0.597615,0.55203563,0.398897,1.0152981,0.469122,0.66678983
NaN,NaN,0.66111,0.48478077,0.45206,0.94913773,0.523513,0.58516533
NaN,NaN,0.70645,0.40190021,0.503539,0.82158453,0.567705,0.52370985
NaN,NaN,0.763111,0.27554311,0.555033,0.74222705,0.652691,0.41098613
NaN,NaN,0.812996,0.22866855,0.598208,0.64804432,0.710482,0.35990041
NaN,NaN,0.858322,0.14802102,0.651349,0.54349333,0.761473,0.27819612
NaN,NaN,0.903676,0.12502094,0.702812,0.41791053,0.812465,0.24664732
NaN,NaN,0.939957,0.1039611,0.800783,0.26083288,0.860057,0.19799474
NaN,NaN,0.985305,0.076011041,0.852269,0.20644574,0.921246,0.15477458
NaN,NaN,1.03746,0.052428177,0.9004,0.12395469,0.982436,0.10985579
NaN,NaN,1.09187,0.027777889,0.945276,0.12455958,1.03683,0.078307068
NaN,NaN,1.14631,0.022828188,0.998424,0.087975119,1.10142,0.056991058
NaN,NaN,1.19393,0.014385124,NaN,NaN,1.16601,0.031253997
NaN,NaN,1.20754,0.014385124,NaN,NaN,1.29178,0.015824885
NaN,NaN,1.20754,0.014385124,NaN,NaN,1.36657,0.018731481
NaN,NaN,1.20754,0.014385124,NaN,NaN,NaN,NaN
NaN,NaN,1.20754,0.014385124,NaN,NaN,NaN,NaN
NaN,NaN,1.20754,0.014385124,NaN,NaN,NaN,NaN
