m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib
-1.2500000E-001, 2.2304062E+000,-1.5000000E-002, 9.0631861E+000,-1.2500000E-001, 2.0102311E+000,-1.5000000E-002, 2.3117377E+000, 3.0000000E-002, 1.4745356E-001, 3.0000000E-002, 3.2491341E+000
-1.2375000E-001, 2.2304062E+000,-1.3750000E-002, 8.2111877E+000,-1.2375000E-001, 2.0102311E+000,-1.3750000E-002, 2.7635889E+000, 3.1521739E-002, 6.2797144E-001, 3.1521739E-002, 3.2227547E+000
-1.2250000E-001, 2.2733988E+000,-1.2500000E-002, 7.3838610E+000,-1.2250000E-001, 1.9905258E+000,-1.2500000E-002, 3.0144785E+000, 3.3043478E-002, 3.3188716E+000, 3.3043478E-002, 3.7335282E+000
-1.2125000E-001, 2.3163913E+000,-1.1250000E-002, 6.5565343E+000,-1.2125000E-001, 2.0037860E+000,-1.1250000E-002, 3.4332549E+000, 3.4565217E-002, 5.7285868E+000, 3.4565217E-002, 3.9127657E+000
-1.2000000E-001, 2.3589518E+000,-1.0000000E-002, 5.8986445E+000,-1.2000000E-001, 1.9845037E+000,-1.0000000E-002, 3.5242320E+000, 3.6086957E-002, 7.8946085E+000, 3.6086957E-002, 3.7670721E+000
-1.1875000E-001, 2.4015123E+000,-8.7500000E-003, 5.2407547E+000,-1.1875000E-001, 1.9984202E+000,-8.7500000E-003, 3.7688803E+000, 3.7608696E-002, 9.1794593E+000, 3.7608696E-002, 3.0790449E+000
-1.1750000E-001, 2.4451024E+000,-7.5000000E-003, 4.8012386E+000,-1.1750000E-001, 1.9814260E+000,-7.5000000E-003, 3.7394289E+000, 3.9130435E-002, 1.0180604E+001, 3.9130435E-002, 2.6048339E+000
-1.1625000E-001, 2.4886925E+000,-6.2500000E-003, 4.3617226E+000,-1.1625000E-001, 1.9968799E+000,-6.2500000E-003, 3.8445646E+000, 4.0652174E-002, 1.0647854E+001, 4.0652174E-002, 2.1066272E+000
-1.1500000E-001, 2.5349201E+000,-5.0000000E-003, 4.0545116E+000,-1.1500000E-001, 1.9803192E+000,-5.0000000E-003, 3.7827174E+000, 4.2173913E-002, 1.0898435E+001, 4.2173913E-002, 1.8139360E+000
-1.1375000E-001, 2.5811476E+000,-3.7500000E-003, 3.7473005E+000,-1.1375000E-001, 1.9962065E+000,-3.7500000E-003, 3.8371545E+000, 4.3695652E-002, 1.1008819E+001, 4.3695652E-002, 1.6588657E+000
-1.1250000E-001, 2.6220486E+000,-2.5000000E-003, 3.5525775E+000,-1.1250000E-001, 1.9803222E+000,-2.5000000E-003, 3.7633349E+000, 4.5217391E-002, 1.1007575E+001, 4.5217391E-002, 1.4877464E+000
-1.1125000E-001, 2.6629496E+000,-1.2500000E-003, 3.3578545E+000,-1.1125000E-001, 1.9965011E+000,-1.2500000E-003, 3.7917445E+000, 4.6739130E-002, 1.0992776E+001, 4.6739130E-002, 1.4279687E+000
-1.1000000E-001, 2.7033662E+000, 0.0000000E+000, 3.2419887E+000,-1.1000000E-001, 1.9812946E+000, 0.0000000E+000, 3.7056075E+000, 4.8260870E-002, 1.0958091E+001, 4.8260870E-002, 1.3737767E+000
-1.0875000E-001, 2.7437828E+000, 1.2500000E-003, 3.1261229E+000,-1.0875000E-001, 1.9981267E+000, 1.2500000E-003, 3.7125372E+000, 4.9782609E-002, 1.0946942E+001, 4.9782609E-002, 1.3956199E+000
-1.0750000E-001, 2.7862461E+000, 2.5000000E-003, 3.0619250E+000,-1.0750000E-001, 1.9732728E+000, 2.5000000E-003, 3.6371926E+000, 5.1304348E-002, 1.0872757E+001, 5.1304348E-002, 1.3314856E+000
-1.0625000E-001, 2.8287093E+000, 3.7500000E-003, 2.9977270E+000,-1.0625000E-001, 1.9804802E+000, 3.7500000E-003, 3.6462185E+000, 5.2826087E-002, 1.0823569E+001, 5.2826087E-002, 1.2496596E+000
