s,m/s
Time,"Ub"
 0.0000000E+000, 3.3824849E-019
 1.0825318E-001, 2.9083886E-002
 2.0832114E-001, 7.6452535E-002
 3.0711010E-001, 1.2035190E-001
 4.0624786E-001, 1.6359844E-001
 5.0633009E-001, 2.0636822E-001
 6.0223559E-001, 2.4760243E-001
 7.0176111E-001, 2.8771939E-001
 8.0078945E-001, 3.2795440E-001
 9.0073005E-001, 3.6745568E-001
 1.0028055E+000, 4.0729201E-001
 1.1007401E+000, 4.4626606E-001
 1.2025999E+000, 4.8365854E-001
 1.3005537E+000, 5.1776835E-001
 1.4016673E+000, 5.4690163E-001
 1.5007379E+000, 5.7194293E-001
 1.6027843E+000, 5.9681302E-001
 1.7019962E+000, 6.2189510E-001
 1.8011572E+000, 6.4218797E-001
 1.9013214E+000, 6.6099095E-001
 2.0023618E+000, 6.8065530E-001
 2.1022628E+000, 6.9744620E-001
 2.2021639E+000, 7.1347508E-001
 2.3020650E+000, 7.3021527E-001
 2.4001548E+000, 7.4499600E-001
 2.5008999E+000, 7.5962712E-001
 2.6016450E+000, 7.7533180E-001
 2.7011803E+000, 7.9047155E-001
 2.8009090E+000, 8.0610856E-001
 2.9006376E+000, 8.2358735E-001
 3.0003662E+000, 8.4028163E-001
 3.1000949E+000, 8.5408085E-001
 3.2003019E+000, 8.6692884E-001
 3.3010902E+000, 8.8394048E-001
 3.4014294E+000, 8.9933905E-001
 3.5017686E+000, 9.2058904E-001
 3.6020229E+000, 9.4088423E-001
 3.7019714E+000, 9.5956475E-001
 3.8019199E+000, 9.7687972E-001
 3.9005729E+000, 9.9347823E-001
 4.0012126E+000, 1.0097966E+000
 4.1011682E+000, 1.0223206E+000
 4.2008009E+000, 1.0288667E+000
 4.3001598E+000, 1.0335379E+000
 4.4014748E+000, 1.0466123E+000
 4.5013750E+000, 1.0556047E+000
 4.6007732E+000, 1.0615861E+000
 4.7001713E+000, 1.0662197E+000
 4.8014102E+000, 1.0733184E+000
 4.9009954E+000, 1.0781228E+000
 5.0015185E+000, 1.0777130E+000
 5.1002984E+000, 1.0834394E+000
 5.2013516E+000, 1.0905329E+000
 5.3002838E+000, 1.0916053E+000
 5.4007483E+000, 1.0897777E+000
 5.5001052E+000, 1.0883983E+000
 5.6017046E+000, 1.0901382E+000
 5.7011261E+000, 1.0985900E+000
 5.8016590E+000, 1.1090276E+000
 5.9018190E+000, 1.1245179E+000
 6.0001579E+000, 1.1365719E+000
 6.1010739E+000, 1.1401026E+000
 6.2000116E+000, 1.1351918E+000
 6.3008280E+000, 1.1286851E+000
 6.4005417E+000, 1.1313477E+000
 6.5005419E+000, 1.1312289E+000
 6.6012659E+000, 1.1212796E+000
 6.7009257E+000, 1.1059842E+000
 6.8003943E+000, 1.0926790E+000
 6.9014672E+000, 1.0876007E+000
 7.0009358E+000, 1.0882582E+000
 7.1010163E+000, 1.0805798E+000
 7.2012249E+000, 1.0724454E+000
 7.3009123E+000, 1.0699780E+000
 7.4001697E+000, 1.0666262E+000
 7.5002941E+000, 1.0647131E+000
 7.6015214E+000, 1.0651029E+000
 7.7010766E+000, 1.0620392E+000
 7.8011796E+000, 1.0590313E+000
 7.9009224E+000, 1.0597095E+000
 8.0010486E+000, 1.0640490E+000
