m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,mu_strm_bot-x,mu_strm_bot,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib,mu_prof_rib-z,mu_prof_rib
-3.9687500E-001, 5.0049055E-001,-4.6875000E-002, 1.4330460E+000,-3.9687500E-001, 7.2478299E-005,-3.9687500E-001, 3.3584528E-001,-4.6875000E-002, 5.8110219E-001, 1.0312500E-001,-3.7425701E-001, 1.0312500E-001, 5.0258209E-001, 1.0312500E-001, 1.2257373E-004
-3.9062500E-001, 5.1003933E-001,-4.0625000E-002, 1.0040449E+000,-3.9062500E-001, 7.1954951E-005,-3.9062500E-001, 3.3695409E-001,-4.0625000E-002, 7.9003635E-001, 1.0937500E-001, 2.1654600E-001, 1.0937500E-001, 6.8087995E-001, 1.0937500E-001, 1.6438694E-004
-3.8437500E-001, 5.1766234E-001,-3.4375000E-002, 6.5752066E-001,-3.8437500E-001, 7.1754148E-005,-3.8437500E-001, 3.4124907E-001,-3.4375000E-002, 8.2973176E-001, 1.1562500E-001, 8.5171553E-001, 1.1562500E-001, 8.0718712E-001, 1.1562500E-001, 1.6557914E-004
-3.7812500E-001, 5.2707458E-001,-2.8125000E-002, 4.4615956E-001,-3.7812500E-001, 7.1259015E-005,-3.7812500E-001, 3.4325463E-001,-2.8125000E-002, 7.8638068E-001, 1.2187500E-001, 1.4093322E+000, 1.2187500E-001, 7.4684358E-001, 1.2187500E-001, 1.4134877E-004
-3.7187500E-001, 5.3893470E-001,-2.1875000E-002, 3.2389052E-001,-3.7187500E-001, 7.1459930E-005,-3.7187500E-001, 3.4144823E-001,-2.1875000E-002, 7.4302691E-001, 1.2812500E-001, 1.7812200E+000, 1.2812500E-001, 5.8141372E-001, 1.2812500E-001, 1.1703665E-004
-3.6562500E-001, 5.5000427E-001,-1.5625000E-002, 2.6167317E-001,-3.6562500E-001, 7.2056348E-005,-3.6562500E-001, 3.3979359E-001,-1.5625000E-002, 7.0684179E-001, 1.3437500E-001, 1.9582870E+000, 1.3437500E-001, 4.2754877E-001, 1.3437500E-001, 9.9997413E-005
-3.5937500E-001, 5.5983595E-001,-9.3750000E-003, 2.2422580E-001,-3.5937500E-001, 7.2041591E-005,-3.5937500E-001, 3.4001112E-001,-9.3750000E-003, 6.9111894E-001, 1.4062500E-001, 2.0111233E+000, 1.4062500E-001, 3.3587535E-001, 1.4062500E-001, 9.2368055E-005
-3.5312500E-001, 5.6879030E-001,-3.1250000E-003, 2.1654600E-001,-3.5312500E-001, 7.1814932E-005,-3.5312500E-001, 3.4007264E-001,-3.1250000E-003, 6.8087995E-001, 1.4687500E-001, 2.0094909E+000, 1.4687500E-001, 2.8382046E-001, 1.4687500E-001, 8.7411872E-005
-3.4687500E-001, 5.7725454E-001, 3.1250000E-003, 2.1472873E-001,-3.4687500E-001, 7.1736279E-005,-3.4687500E-001, 3.3941891E-001, 3.1250000E-003, 6.7470316E-001, 1.5312500E-001, 1.9919947E+000, 1.5312500E-001, 2.5146290E-001, 1.5312500E-001, 8.4217143E-005
-3.4062500E-001, 5.8521929E-001, 9.3750000E-003, 2.2631462E-001,-3.4062500E-001, 7.1265210E-005,-3.4062500E-001, 3.3924467E-001, 9.3750000E-003, 6.7106195E-001, 1.5937500E-001, 1.9685491E+000, 1.5937500E-001, 2.3640016E-001, 1.5937500E-001, 8.1843923E-005
-3.3437500E-001, 5.9378541E-001, 1.5625000E-002, 2.4859013E-001,-3.3437500E-001, 7.1206585E-005,-3.3437500E-001, 3.3844363E-001, 1.5625000E-002, 6.7181975E-001, 1.6562500E-001, 1.9427646E+000, 1.6562500E-001, 2.2679110E-001, 1.6562500E-001, 7.9262013E-005
-3.2812500E-001, 6.0106518E-001, 2.1875000E-002, 2.7297484E-001,-3.2812500E-001, 7.0757046E-005,-3.2812500E-001, 3.3764508E-001, 2.1875000E-002, 6.7176768E-001, 1.7187500E-001, 1.9171422E+000, 1.7187500E-001, 2.1899853E-001, 1.7187500E-001, 7.4904155E-005
-3.2187500E-001, 6.0662478E-001, 2.8125000E-002, 3.1017267E-001,-3.2187500E-001, 7.0334136E-005,-3.2187500E-001, 3.3969204E-001, 2.8125000E-002, 6.7306100E-001, 1.7812500E-001, 1.8960560E+000, 1.7812500E-001, 2.1377323E-001, 1.7812500E-001, 7.2176370E-005
-3.1562500E-001, 6.1035468E-001, 3.4375000E-002, 3.3640618E-001,-3.1562500E-001, 6.9590217E-005,-3.1562500E-001, 3.4292537E-001, 3.4375000E-002, 6.6662045E-001, 1.8437500E-001, 1.8784059E+000, 1.8437500E-001, 2.0998612E-001, 1.8437500E-001, 6.8775667E-005
-3.0937500E-001, 6.1582929E-001, 4.0625000E-002, 3.6874467E-001,-3.0937500E-001, 6.9208265E-005,-3.0937500E-001, 3.4355237E-001, 4.0625000E-002, 6.7427195E-001, 1.9062500E-001, 1.8596885E+000, 1.9062500E-001, 2.0600436E-001, 1.9062500E-001, 6.4891020E-005
-3.0312500E-001, 6.1925078E-001, 4.6875000E-002, 3.7828573E-001,-3.0312500E-001, 6.9191787E-005,-3.0312500E-001, 3.4556749E-001, 4.6875000E-002, 6.7100602E-001, 1.9687500E-001, 1.8421409E+000, 1.9687500E-001, 2.0644460E-001, 1.9687500E-001, 6.2555134E-005
-2.9687500E-001, 6.2194241E-001,NaN,NaN,-2.9687500E-001, 6.8936220E-005,-2.9687500E-001, 3.4673148E-001,NaN,NaN, 2.0312500E-001, 1.8269497E+000, 2.0312500E-001, 2.0578670E-001, 2.0312500E-001, 6.0692453E-005
-2.9062500E-001, 6.2659925E-001,NaN,NaN,-2.9062500E-001, 6.8391155E-005,-2.9062500E-001, 3.4391278E-001,NaN,NaN, 2.0937500E-001, 1.8125885E+000, 2.0937500E-001, 2.0543107E-001, 2.0937500E-001, 5.9469812E-005
-2.8437500E-001, 6.3187842E-001,NaN,NaN,-2.8437500E-001, 6.8058576E-005,-2.8437500E-001, 3.4049476E-001,NaN,NaN, 2.1562500E-001, 1.7990988E+000, 2.1562500E-001, 2.0461644E-001, 2.1562500E-001, 5.8945539E-005
-2.7812500E-001, 6.3743953E-001,NaN,NaN,-2.7812500E-001, 6.8356791E-005,-2.7812500E-001, 3.3710438E-001,NaN,NaN, 2.2187500E-001, 1.7869772E+000, 2.2187500E-001, 2.0095963E-001, 2.2187500E-001, 5.7884467E-005
-2.7187500E-001, 6.4155678E-001,NaN,NaN,-2.7187500E-001, 6.7857656E-005,-2.7187500E-001, 3.3254079E-001,NaN,NaN, 2.2812500E-001, 1.7748664E+000, 2.2812500E-001, 2.0195865E-001, 2.2812500E-001, 5.7265816E-005
-2.6562500E-001, 6.4296483E-001,NaN,NaN,-2.6562500E-001, 6.7456046E-005,-2.6562500E-001, 3.3030765E-001,NaN,NaN, 2.3437500E-001, 1.7598342E+000, 2.3437500E-001, 2.0461428E-001, 2.3437500E-001, 5.7549349E-005
-2.5937500E-001, 6.4304651E-001,NaN,NaN,-2.5937500E-001, 6.7536527E-005,-2.5937500E-001, 3.2987707E-001,NaN,NaN, 2.4062500E-001, 1.7463532E+000, 2.4062500E-001, 2.0237766E-001, 2.4062500E-001, 5.7391252E-005
-2.5312500E-001, 6.4156608E-001,NaN,NaN,-2.5312500E-001, 6.7586344E-005,-2.5312500E-001, 3.2985698E-001,NaN,NaN, 2.4687500E-001, 1.7350739E+000, 2.4687500E-001, 2.0531727E-001, 2.4687500E-001, 5.7326588E-005
-2.4687500E-001, 6.4171859E-001,NaN,NaN,-2.4687500E-001, 6.6969850E-005,-2.4687500E-001, 3.2928638E-001,NaN,NaN, 2.5312500E-001, 1.7213322E+000, 2.5312500E-001, 2.0694824E-001, 2.5312500E-001, 5.7903601E-005
-2.4062500E-001, 6.4313033E-001,NaN,NaN,-2.4062500E-001, 6.6588717E-005,-2.4062500E-001, 3.2467666E-001,NaN,NaN, 2.5937500E-001, 1.7067558E+000, 2.5937500E-001, 2.0845895E-001, 2.5937500E-001, 5.7930328E-005
-2.3437500E-001, 6.4302518E-001,NaN,NaN,-2.3437500E-001, 6.6786959E-005,-2.3437500E-001, 3.2092397E-001,NaN,NaN, 2.6562500E-001, 1.6899707E+000, 2.6562500E-001, 2.1224685E-001, 2.6562500E-001, 5.8621052E-005
-2.2812500E-001, 6.3780643E-001,NaN,NaN,-2.2812500E-001, 6.6758878E-005,-2.2812500E-001, 3.1974164E-001,NaN,NaN, 2.7187500E-001, 1.6670812E+000, 2.7187500E-001, 2.1892902E-001, 2.7187500E-001, 6.0046632E-005
-2.2187500E-001, 6.3157174E-001,NaN,NaN,-2.2187500E-001, 6.6460552E-005,-2.2187500E-001, 3.1862063E-001,NaN,NaN, 2.7812500E-001, 1.6383555E+000, 2.7812500E-001, 2.2175988E-001, 2.7812500E-001, 6.2188799E-005
-2.1562500E-001, 6.2516143E-001,NaN,NaN,-2.1562500E-001, 6.6811158E-005,-2.1562500E-001, 3.1649818E-001,NaN,NaN, 2.8437500E-001, 1.5922160E+000, 2.8437500E-001, 2.2342667E-001, 2.8437500E-001, 6.4947646E-005
