z_Eaton,vp_vp_Eaton,z_Lund,vp_vp_Lund,z_Spalart,vp_vp_Spalart,z_Wu,vp_vp_Wu
0.00335023,0.99038001,0.000692543,0.00070118,0.00691513,1.9642303,0.00303479,0.1035546
0.0060176,0.59418499,0.00780877,0.50671334,0.048505,2.1305489,0.00321123,0.027585888
0.0118218,1.38007,0.0398353,1.699738,0.0800539,2.0004425,0.00623426,0.24827299
0.167604,1.4359099,0.116983,1.8237692,0.0999987,2.0015459,0.0128214,0.46939078
0.238933,1.35848,0.198611,1.6194853,0.151508,1.9398918,0.0193615,0.83447312
0.392738,1.19071,0.27571,1.4647777,0.199685,1.8477509,0.0361469,1.2107701
0.593396,0.93297799,0.325615,1.4647777,0.252833,1.697809,0.0598136,1.4750831
0.925509,0.58439301,0.404968,1.2472869,0.30101,1.6116556,0.103959,1.5776867
NaN,NaN,0.47071,1.0472657,0.345856,1.4994003,0.154986,1.5004045
NaN,NaN,0.527378,0.86472703,0.400658,1.3380474,0.216223,1.4004119
NaN,NaN,0.602173,0.62365768,0.45049,1.2361437,0.277448,1.3276801
NaN,NaN,0.663378,0.48478077,0.498652,1.1138692,0.338685,1.2337211
NaN,NaN,0.747247,0.30921941,0.550107,0.90854258,0.403356,1.0775686
NaN,NaN,0.799385,0.22866855,0.598246,0.74365097,0.451007,0.97250957
NaN,NaN,0.856068,0.17296283,0.646401,0.63117464,0.515691,0.8156149
NaN,NaN,0.917294,0.13627837,0.701196,0.51156397,0.559954,0.70699509
NaN,NaN,0.989842,0.076011041,0.75102,0.43408332,0.631436,0.57423811
NaN,NaN,1.03972,0.045537853,0.80079,0.27267822,0.689344,0.42768853
NaN,NaN,1.11909,0.027777889,0.847283,0.20635942,0.726761,0.40096504
NaN,NaN,1.18033,0.018364044,0.897122,0.17708695,0.771036,0.31422079
NaN,NaN,1.18033,0.018364044,0.953594,0.13290108,0.828897,0.24827299
NaN,NaN,1.18033,0.018364044,NaN,NaN,0.873149,0.1992435
NaN,NaN,1.18033,0.018364044,NaN,NaN,0.90719,0.16389866
NaN,NaN,1.18033,0.018364044,NaN,NaN,0.968462,0.11034355
NaN,NaN,1.18033,0.018364044,NaN,NaN,1.03312,0.072843851
NaN,NaN,1.18033,0.018364044,NaN,NaN,1.11137,0.047520948
NaN,NaN,1.18033,0.018364044,NaN,NaN,1.18281,0.027585888
NaN,NaN,NaN,NaN,NaN,NaN,1.25423,0.021120518
NaN,NaN,NaN,NaN,NaN,NaN,1.29503,0.018210963
NaN,NaN,NaN,NaN,NaN,NaN,1.38685,0.010775686
NaN,NaN,NaN,NaN,NaN,NaN,1.40045,0.010775686
