m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,mu_strm_bot-x,mu_strm_bot,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib,mu_prof_rib-z,mu_prof_rib
-3.7500000E-001, 1.6773604E-001,-2.5000000E-002, 1.6634999E+000,-3.7500000E-001, 8.6776038E-004,-3.7500000E-001, 2.2409773E-001,-2.5000000E-002, 1.4670091E-001, 1.2500000E-001, 1.6139974E+000, 1.2500000E-001, 1.5364433E-001, 1.2500000E-001, 2.2547179E-003
-3.2500000E-001, 3.8805245E-001, 2.5000000E-002, 1.6139974E+000,-3.2500000E-001, 1.1653398E-003,-3.2500000E-001, 2.3074221E-001, 2.5000000E-002, 1.5364433E-001, 1.7500000E-001, 1.8748205E+000, 1.7500000E-001, 1.0558586E-001, 1.7500000E-001, 7.2287573E-004
-2.7500000E-001, 3.0521680E-001,NaN,NaN,-2.7500000E-001, 1.0974210E-003,-2.7500000E-001, 2.2938426E-001,NaN,NaN, 2.2500000E-001, 1.6618890E+000, 2.2500000E-001, 1.2103280E-001, 2.2500000E-001, 3.8469397E-004
-2.2500000E-001, 4.5166498E-001,NaN,NaN,-2.2500000E-001, 1.2653910E-003,-2.2500000E-001, 2.4092755E-001,NaN,NaN, 2.7500000E-001, 1.5514748E+000, 2.7500000E-001, 9.7357845E-002, 2.7500000E-001, 2.3049673E-003
-1.7500000E-001, 3.2810892E-001,NaN,NaN,-1.7500000E-001, 1.2808838E-003,-1.7500000E-001, 2.4246361E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.2500000E-001, 2.5635767E-001,NaN,NaN,-1.2500000E-001, 1.2449926E-003,-1.2500000E-001, 2.4649619E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-7.5000000E-002,-5.4273197E-006,NaN,NaN,-7.5000000E-002, 1.0583029E-003,-7.5000000E-002, 9.5308591E-004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-2.5000000E-002,-6.5309548E-006,NaN,NaN,-2.5000000E-002, 1.0583029E-003,-2.5000000E-002, 4.8116901E-004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.5000000E-002,-1.1971258E-005,NaN,NaN, 2.5000000E-002, 7.2039291E-004, 2.5000000E-002, 4.5776784E-004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.5000000E-002,-1.6832981E-002,NaN,NaN, 7.5000000E-002, 7.2039291E-004, 7.5000000E-002, 2.2493554E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2500000E-001,-1.3775207E-001,NaN,NaN, 1.2500000E-001, 5.7733687E-004, 1.2500000E-001, 2.2258663E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.7500000E-001,-1.3043828E-001,NaN,NaN, 1.7500000E-001, 5.6101084E-004, 1.7500000E-001, 2.5603732E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.2500000E-001,-2.6176383E-001,NaN,NaN, 2.2500000E-001, 7.0200880E-004, 2.2500000E-001, 2.0024909E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.7500000E-001,-1.2168277E-001,NaN,NaN, 2.7500000E-001, 6.0091024E-004, 2.7500000E-001, 2.5239081E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.2500000E-001,-2.7880316E-001,NaN,NaN, 3.2500000E-001, 6.7074372E-004, 3.2500000E-001, 1.6694037E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.7500000E-001,-3.4736613E-002,NaN,NaN, 3.7500000E-001, 7.7268610E-004, 3.7500000E-001, 2.1534989E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.2500000E-001,-1.8180189E-001,NaN,NaN, 4.2500000E-001, 6.3425750E-004, 4.2500000E-001, 1.9062494E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.7500000E-001, 1.2908651E-001,NaN,NaN, 4.7500000E-001, 8.6437030E-004, 4.7500000E-001, 2.0834408E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.2500000E-001,-5.4628076E-003,NaN,NaN, 5.2500000E-001, 7.1528628E-004, 5.2500000E-001, 2.1116534E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.7500000E-001, 2.7632513E-001,NaN,NaN, 5.7500000E-001, 9.7948605E-004, 5.7500000E-001, 2.0405953E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
