m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib
-1.2500000E-001, 2.6889732E+000,-1.5000000E-002, 9.4254526E+000,-1.2500000E-001, 1.9968702E+000,-1.5000000E-002, 1.9895766E+000, 3.0000000E-002,-2.1742985E+000, 3.0000000E-002, 2.8604794E+000
-1.2437500E-001, 2.6889732E+000,-1.4375000E-002, 9.6165597E+000,-1.2437500E-001, 1.9968702E+000,-1.4375000E-002, 2.5158621E+000, 3.0729167E-002,-1.9773257E+000, 3.0729167E-002, 2.8404310E+000
-1.2375000E-001, 2.7114997E+000,-1.3750000E-002, 9.0802575E+000,-1.2375000E-001, 1.9834985E+000,-1.3750000E-002, 2.9664010E+000, 3.1458333E-002,-5.9851568E-001, 3.1458333E-002, 3.1910089E+000
-1.2312500E-001, 2.7340261E+000,-1.3125000E-002, 8.5439554E+000,-1.2312500E-001, 1.9990228E+000,-1.3125000E-002, 3.6324693E+000, 3.2187500E-002, 7.9133536E-001, 3.2187500E-002, 3.7156599E+000
-1.2250000E-001, 2.7551322E+000,-1.2500000E-002, 7.7571154E+000,-1.2250000E-001, 1.9846668E+000,-1.2500000E-002, 3.9032778E+000, 3.2916667E-002, 2.1959078E+000, 3.2916667E-002, 4.2410861E+000
-1.2187500E-001, 2.7762382E+000,-1.1875000E-002, 6.9702754E+000,-1.2187500E-001, 1.9982554E+000,-1.1875000E-002, 4.3907308E+000, 3.3645833E-002, 3.5751416E+000, 3.3645833E-002, 4.4190909E+000
-1.2125000E-001, 2.7984950E+000,-1.1250000E-002, 6.2693435E+000,-1.2125000E-001, 1.9811458E+000,-1.1250000E-002, 4.4366465E+000, 3.4375000E-002, 4.9442400E+000, 3.4375000E-002, 4.7987772E+000
-1.2062500E-001, 2.8207518E+000,-1.0625000E-002, 5.5684117E+000,-1.2062500E-001, 1.9922161E+000,-1.0625000E-002, 4.6924971E+000, 3.5104167E-002, 6.2096074E+000, 3.5104167E-002, 4.5184039E+000
-1.2000000E-001, 2.8419137E+000,-1.0000000E-002, 5.0420311E+000,-1.2000000E-001, 1.9767249E+000,-1.0000000E-002, 4.6255299E+000, 3.5833333E-002, 7.4034917E+000, 3.5833333E-002, 4.4649271E+000
-1.1937500E-001, 2.8630756E+000,-9.3750000E-003, 4.5156506E+000,-1.1937500E-001, 1.9887998E+000,-9.3750000E-003, 4.7481636E+000, 3.6562500E-002, 8.4186680E+000, 3.6562500E-002, 4.1290896E+000
-1.1875000E-001, 2.8818185E+000,-8.7500000E-003, 4.1432080E+000,-1.1875000E-001, 1.9730068E+000,-8.7500000E-003, 4.6320346E+000, 3.7291667E-002, 9.2595579E+000, 3.7291667E-002, 3.7924647E+000
-1.1812500E-001, 2.9005614E+000,-8.1250000E-003, 3.7707653E+000,-1.1812500E-001, 1.9847413E+000,-8.1250000E-003, 4.6901044E+000, 3.8020833E-002, 9.9697329E+000, 3.8020833E-002, 3.4948040E+000
-1.1750000E-001, 2.9145716E+000,-7.5000000E-003, 3.5088369E+000,-1.1750000E-001, 1.9745997E+000,-7.5000000E-003, 4.5710280E+000, 3.8750000E-002, 1.0439790E+001, 3.8750000E-002, 3.0663535E+000
-1.1687500E-001, 2.9285818E+000,-6.8750000E-003, 3.2469086E+000,-1.1687500E-001, 1.9919471E+000,-6.8750000E-003, 4.6075218E+000, 3.9479167E-002, 1.0839626E+001, 3.9479167E-002, 2.8089414E+000
-1.1625000E-001, 2.9431696E+000,-6.2500000E-003, 3.0679515E+000,-1.1625000E-001, 1.9791671E+000,-6.2500000E-003, 4.4899850E+000, 4.0208333E-002, 1.1058249E+001, 4.0208333E-002, 2.4661353E+000
-1.1562500E-001, 2.9577574E+000,-5.6250000E-003, 2.8889945E+000,-1.1562500E-001, 1.9934232E+000,-5.6250000E-003, 4.5100262E+000, 4.0937500E-002, 1.1219997E+001, 4.0937500E-002, 2.2551280E+000
-1.1500000E-001, 2.9747017E+000,-5.0000000E-003, 2.7753009E+000,-1.1500000E-001, 1.9793149E+000,-5.0000000E-003, 4.4093547E+000, 4.1666667E-002, 1.1305915E+001, 4.1666667E-002, 2.0747587E+000
-1.1437500E-001, 2.9916460E+000,-4.3750000E-003, 2.6616073E+000,-1.1437500E-001, 1.9926874E+000,-4.3750000E-003, 4.4386434E+000, 4.2395833E-002, 1.1340314E+001, 4.2395833E-002, 1.9042000E+000
-1.1375000E-001, 3.0096662E+000,-3.7500000E-003, 2.5842816E+000,-1.1375000E-001, 1.9775073E+000,-3.7500000E-003, 4.3499626E+000, 4.3125000E-002, 1.1354106E+001, 4.3125000E-002, 1.8346654E+000
-1.1312500E-001, 3.0276864E+000,-3.1250000E-003, 2.5069559E+000,-1.1312500E-001, 1.9897704E+000,-3.1250000E-003, 4.3836642E+000, 4.3854167E-002, 1.1329346E+001, 4.3854167E-002, 1.6891062E+000
-1.1250000E-001, 3.0471786E+000,-2.5000000E-003, 2.4592372E+000,-1.1250000E-001, 1.9707947E+000,-2.5000000E-003, 4.3124521E+000, 4.4583333E-002, 1.1300606E+001, 4.4583333E-002, 1.6389299E+000
-1.1187500E-001, 3.0666708E+000,-1.8750000E-003, 2.4115185E+000,-1.1187500E-001, 1.9788612E+000,-1.8750000E-003, 4.3541201E+000, 4.5312500E-002, 1.1261915E+001, 4.5312500E-002, 1.5736542E+000
-1.1125000E-001, 3.0878447E+000,-1.2500000E-003, 2.3839744E+000,-1.1125000E-001, 1.9596214E+000,-1.2500000E-003, 4.2914068E+000, 4.6041667E-002, 1.1222656E+001, 4.6041667E-002, 1.5220720E+000
-1.1062500E-001, 3.1090187E+000,-6.2500000E-004, 2.3564303E+000,-1.1062500E-001, 1.9675051E+000,-6.2500000E-004, 4.3371900E+000, 4.6770833E-002, 1.1182971E+001, 4.6770833E-002, 1.5091176E+000
-1.1000000E-001, 3.1282426E+000, 0.0000000E+000, 2.3564303E+000,-1.1000000E-001, 1.9506740E+000, 0.0000000E+000, 4.3371900E+000, 4.7500000E-002, 1.1146032E+001, 4.7500000E-002, 1.4422919E+000
-1.0937500E-001, 3.1474666E+000, 6.2500000E-004, 2.3610959E+000,-1.0937500E-001, 1.9607596E+000, 6.2500000E-004, 4.3090624E+000, 4.8229167E-002, 1.1111100E+001, 4.8229167E-002, 1.4508863E+000
-1.0875000E-001, 3.1631362E+000, 1.2500000E-003, 2.3735662E+000,-1.0875000E-001, 1.9463985E+000, 1.2500000E-003, 4.2454615E+000, 4.8958333E-002, 1.1085465E+001, 4.8958333E-002, 1.3983689E+000
-1.0812500E-001, 3.1788058E+000, 1.8750000E-003, 2.3860366E+000,-1.0812500E-001, 1.9591843E+000, 1.8750000E-003, 4.2778605E+000, 4.9687500E-002, 1.1070816E+001, 4.9687500E-002, 1.4289512E+000
-1.0750000E-001, 3.1932557E+000, 2.5000000E-003, 2.4120842E+000,-1.0750000E-001, 1.9464200E+000, 2.5000000E-003, 4.2045799E+000, 5.0416667E-002, 1.1028498E+001, 5.0416667E-002, 1.4025033E+000
-1.0687500E-001, 3.2077057E+000, 3.1250000E-003, 2.4381318E+000,-1.0687500E-001, 1.9606438E+000, 3.1250000E-003, 4.2255262E+000, 5.1145833E-002, 1.1007021E+001, 5.1145833E-002, 1.3472099E+000
-1.0625000E-001, 3.2208408E+000, 3.7500000E-003, 2.4722216E+000,-1.0625000E-001, 1.9494950E+000, 3.7500000E-003, 4.1562600E+000, 5.1875000E-002, 1.0976954E+001, 5.1875000E-002, 1.3754896E+000
-1.0562500E-001, 3.2339758E+000, 4.3750000E-003, 2.5063113E+000,-1.0562500E-001, 1.9646770E+000, 4.3750000E-003, 4.1768598E+000, 5.2604167E-002, 1.0950414E+001, 5.2604167E-002, 1.3203097E+000
-1.0500000E-001, 3.2462614E+000, 5.0000000E-003, 2.5510754E+000,-1.0500000E-001, 1.9526138E+000, 5.0000000E-003, 4.1103685E+000, 5.3333333E-002, 1.0924835E+001, 5.3333333E-002, 1.3293503E+000
-1.0437500E-001, 3.2585470E+000, 5.6250000E-003, 2.5958394E+000,-1.0437500E-001, 1.9666070E+000, 5.6250000E-003, 4.1314582E+000, 5.4062500E-002, 1.0901659E+001, 5.4062500E-002, 1.3090656E+000
-1.0375000E-001, 3.2749476E+000, 6.2500000E-003, 2.6502929E+000,-1.0375000E-001, 1.9503830E+000, 6.2500000E-003, 4.0670867E+000, 5.4791667E-002, 1.0880558E+001, 5.4791667E-002, 1.2979368E+000
-1.0312500E-001, 3.2913481E+000, 6.8750000E-003, 2.7047465E+000,-1.0312500E-001, 1.9604438E+000, 6.8750000E-003, 4.0867975E+000, 5.5520833E-002, 1.0861014E+001, 5.5520833E-002, 1.3172847E+000
-1.0250000E-001, 3.3067310E+000, 7.5000000E-003, 2.7640024E+000,-1.0250000E-001, 1.9438545E+000, 7.5000000E-003, 4.0250466E+000, 5.6250000E-002, 1.0840057E+001, 5.6250000E-002, 1.2830368E+000
-1.0187500E-001, 3.3221138E+000, 8.1250000E-003, 2.8232583E+000,-1.0187500E-001, 1.9532637E+000, 8.1250000E-003, 4.0420873E+000, 5.6979167E-002, 1.0818687E+001, 5.6979167E-002, 1.3061761E+000
-1.0125000E-001, 3.3395034E+000, 8.7500000E-003, 2.8796215E+000,-1.0125000E-001, 1.9355715E+000, 8.7500000E-003, 3.9837959E+000, 5.7708333E-002, 1.0796244E+001, 5.7708333E-002, 1.2751263E+000
-1.0062500E-001, 3.3568929E+000, 9.3750000E-003, 2.9359847E+000,-1.0062500E-001, 1.9440610E+000, 9.3750000E-003, 4.0035865E+000, 5.8437500E-002, 1.0773606E+001, 5.8437500E-002, 1.2728208E+000
-1.0000000E-001, 3.3568929E+000, 1.0000000E-002, 2.9865783E+000,-1.0000000E-001, 1.9440610E+000, 1.0000000E-002, 3.9592211E+000, 5.9166667E-002, 1.0750706E+001, 5.9166667E-002, 1.2706504E+000
-9.9375000E-002, 3.3876582E+000, 1.0625000E-002, 3.0371719E+000,-9.9375000E-002, 1.9418096E+000, 1.0625000E-002, 3.9912887E+000, 5.9895833E-002, 1.0728627E+001, 5.9895833E-002, 1.2477393E+000
