s,m/s
Time,"Ub"
 1.5900806E+001, 1.0020317E+000
 1.6000926E+001, 1.0168359E+000
 1.6101045E+001, 1.0273815E+000
 1.6201164E+001, 1.0369867E+000
 1.6300477E+001, 1.0410949E+000
 1.6400147E+001, 1.0305401E+000
 1.6500804E+001, 1.0166249E+000
 1.6600084E+001, 1.0022184E+000
 1.6700992E+001, 9.9797229E-001
 1.6800793E+001, 9.9417268E-001
 1.6901381E+001, 9.9765733E-001
 1.7000456E+001, 1.0065930E+000
 1.7101070E+001, 1.0071635E+000
 1.7200462E+001, 1.0065214E+000
 1.7301293E+001, 1.0126103E+000
 1.7400002E+001, 1.0204558E+000
 1.7500507E+001, 1.0222586E+000
 1.7601471E+001, 1.0171108E+000
 1.7700504E+001, 1.0108463E+000
 1.7800679E+001, 1.0107307E+000
 1.7901098E+001, 1.0155466E+000
 1.8001517E+001, 1.0248991E+000
 1.8101536E+001, 1.0335610E+000
 1.8200614E+001, 1.0366202E+000
 1.8300149E+001, 1.0387852E+000
 1.8401289E+001, 1.0391668E+000
 1.8500441E+001, 1.0399065E+000
 1.8601331E+001, 1.0401018E+000
 1.8700026E+001, 1.0425260E+000
 1.8801228E+001, 1.0386392E+000
 1.8900768E+001, 1.0325775E+000
 1.9000459E+001, 1.0309678E+000
 1.9100151E+001, 1.0365184E+000
 1.9201504E+001, 1.0383035E+000
 1.9301176E+001, 1.0374555E+000
 1.9400584E+001, 1.0357042E+000
 1.9501331E+001, 1.0339464E+000
 1.9601869E+001, 1.0318338E+000
 1.9700997E+001, 1.0320278E+000
 1.9801199E+001, 1.0301795E+000
 1.9901091E+001, 1.0150630E+000
 2.0000115E+001, 9.9439246E-001
 2.0101530E+001, 9.8653586E-001
 2.0201419E+001, 9.8149641E-001
 2.0300111E+001, 9.7721977E-001
 2.0400662E+001, 9.7638954E-001
 2.0500444E+001, 9.8140985E-001
 2.0600751E+001, 9.8508081E-001
 2.0700976E+001, 9.9121682E-001
 2.0801307E+001, 1.0032086E+000
 2.0900513E+001, 1.0133645E+000
 2.1000331E+001, 1.0209630E+000
 2.1100150E+001, 1.0208500E+000
 2.1200597E+001, 1.0175048E+000
 2.1301657E+001, 1.0175339E+000
 2.1401361E+001, 1.0216432E+000
 2.1501065E+001, 1.0240997E+000
 2.1600176E+001, 1.0222707E+000
 2.1700314E+001, 1.0202752E+000
 2.1800229E+001, 1.0182148E+000
 2.1900918E+001, 1.0085633E+000
 2.2000193E+001, 9.9702930E-001
 2.2101318E+001, 9.9220729E-001
 2.2201338E+001, 1.0006950E+000
 2.2300182E+001, 1.0020484E+000
 2.2400143E+001, 9.9362945E-001
 2.2500249E+001, 9.8126674E-001
 2.2600354E+001, 9.7598762E-001
 2.2701578E+001, 9.7113400E-001
 2.2801314E+001, 9.6535000E-001
 2.2900364E+001, 9.5726936E-001
 2.3000055E+001, 9.5509034E-001
 2.3100220E+001, 9.6106719E-001
 2.3201129E+001, 9.6557410E-001
 2.3300662E+001, 9.7237250E-001
 2.3400320E+001, 9.7642577E-001
 2.3501119E+001, 9.8523122E-001
 2.3601654E+001, 9.9514336E-001
 2.3701585E+001, 1.0013560E+000
 2.3800247E+001, 1.0047229E+000
 2.3900715E+001, 1.0059197E+000
 2.4000063E+001, 1.0115396E+000
 2.4101584E+001, 1.0235528E+000
 2.4200916E+001, 1.0327646E+000
 2.4301061E+001, 1.0394797E+000
 2.4400081E+001, 1.0403015E+000
 2.4501605E+001, 1.0278808E+000
 2.4600798E+001, 1.0233162E+000
