m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
umean-z,umean,vmean-z,vmean,wmean-z,wmean,urms-z,urms,vrms-z,vrms,wrms-z,wrms
 1.5000000E-002, 5.6250300E-002, 1.5000000E-002,-4.8673423E-003, 1.5000000E-002,-2.6700322E-002, 1.5000000E-002, 3.0710141E-002, 1.5000000E-002, 5.5532470E-002, 1.5000000E-002, 3.3166467E-002
 7.5625000E-002, 1.5288123E-001, 7.5625000E-002,-1.4417980E-002, 7.5625000E-002,-3.8085062E-002, 7.5625000E-002, 2.5761511E-002, 7.5625000E-002, 6.8713951E-002, 7.5625000E-002, 6.7046028E-002
 1.3625000E-001, 2.6947708E-001, 1.3625000E-001,-1.4060706E-002, 1.3625000E-001,-3.6202897E-002, 1.3625000E-001, 3.4379150E-002, 1.3625000E-001, 8.4433823E-002, 1.3625000E-001, 8.4180032E-002
 1.9687500E-001, 3.8908191E-001, 1.9687500E-001,-1.0927783E-002, 1.9687500E-001,-2.8641335E-002, 1.9687500E-001, 4.4019020E-002, 1.9687500E-001, 8.9555066E-002, 1.9687500E-001, 9.1736798E-002
 2.5750000E-001, 5.1093530E-001, 2.5750000E-001,-3.7123291E-003, 2.5750000E-001,-2.0139033E-002, 2.5750000E-001, 5.5362231E-002, 2.5750000E-001, 8.8997392E-002, 2.5750000E-001, 9.7632134E-002
 3.1812500E-001, 6.3383088E-001, 3.1812500E-001, 1.7609910E-003, 3.1812500E-001,-1.5258353E-002, 3.1812500E-001, 6.6884566E-002, 3.1812500E-001, 9.1277705E-002, 3.1812500E-001, 9.7606010E-002
 3.7875000E-001, 7.5924928E-001, 3.7875000E-001, 4.9441895E-003, 3.7875000E-001,-1.5394713E-002, 3.7875000E-001, 8.1193344E-002, 3.7875000E-001, 9.4383669E-002, 3.7875000E-001, 9.4112169E-002
 4.3937500E-001, 8.8268702E-001, 4.3937500E-001, 1.9009350E-003, 4.3937500E-001,-1.4733277E-002, 4.3937500E-001, 9.0257905E-002, 4.3937500E-001, 9.1290237E-002, 4.3937500E-001, 9.4225492E-002
 5.0000000E-001, 9.7901526E-001, 5.0000000E-001,-3.2914800E-003, 5.0000000E-001, 2.2003136E-002, 5.0000000E-001, 9.4170505E-002, 5.0000000E-001, 8.6355389E-002, 5.0000000E-001, 9.7583756E-002
 5.6062500E-001, 8.8203056E-001, 5.6062500E-001,-6.1201040E-003, 5.6062500E-001, 3.3566887E-002, 5.6062500E-001, 8.0543624E-002, 5.6062500E-001, 8.5026109E-002, 5.6062500E-001, 9.8459458E-002
 6.2125000E-001, 7.5971244E-001, 6.2125000E-001,-3.1138777E-003, 6.2125000E-001, 3.3591709E-002, 6.2125000E-001, 6.7234501E-002, 6.2125000E-001, 9.0998097E-002, 6.2125000E-001, 9.9818079E-002
 6.8187500E-001, 6.3583668E-001, 6.8187500E-001, 4.1229523E-003, 6.8187500E-001, 3.0030896E-002, 6.8187500E-001, 5.5791825E-002, 6.8187500E-001, 8.9404458E-002, 6.8187500E-001, 1.0058548E-001
 7.4250000E-001, 5.1362759E-001, 7.4250000E-001, 1.0358762E-002, 7.4250000E-001, 2.6101417E-002, 7.4250000E-001, 4.6145130E-002, 7.4250000E-001, 8.8103349E-002, 7.4250000E-001, 9.7377357E-002
 8.0312500E-001, 3.9143465E-001, 8.0312500E-001, 1.0882152E-002, 8.0312500E-001, 2.3166726E-002, 8.0312500E-001, 3.8804079E-002, 8.0312500E-001, 8.7445608E-002, 8.0312500E-001, 8.9241784E-002
 8.6375000E-001, 2.6897423E-001, 8.6375000E-001, 8.7489071E-003, 8.6375000E-001, 2.3304192E-002, 8.6375000E-001, 3.2379782E-002, 8.6375000E-001, 8.1519911E-002, 8.6375000E-001, 7.6187629E-002
 9.2437500E-001, 1.5104600E-001, 9.2437500E-001, 8.3799426E-003, 9.2437500E-001, 2.2594005E-002, 9.2437500E-001, 2.5369073E-002, 9.2437500E-001, 6.8665107E-002, 9.2437500E-001, 5.2021938E-002
 9.8500000E-001, 4.9240833E-002, 9.8500000E-001, 4.2868550E-003, 9.8500000E-001, 0.0000000E+000, 9.8500000E-001, 2.7210495E-002, 9.8500000E-001, 4.3348045E-002, 9.8500000E-001, 0.0000000E+000
