m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib
-1.2500000E-001, 2.2641724E+000,-1.5000000E-002, 9.0692310E+000,-1.2500000E-001, 1.9523500E+000,-1.5000000E-002, 2.3634955E+000, 3.0000000E-002, 4.4621828E-001, 3.0000000E-002, 3.3201849E+000
-1.2375000E-001, 2.2641724E+000,-1.3750000E-002, 8.2058231E+000,-1.2375000E-001, 1.9523500E+000,-1.3750000E-002, 2.8197930E+000, 3.1521739E-002, 9.0795237E-001, 3.1521739E-002, 3.2984827E+000
-1.2250000E-001, 2.3144424E+000,-1.2500000E-002, 7.3960722E+000,-1.2250000E-001, 1.9284267E+000,-1.2500000E-002, 3.0737426E+000, 3.3043478E-002, 3.4936633E+000, 3.3043478E-002, 3.7967386E+000
-1.2125000E-001, 2.3647124E+000,-1.1250000E-002, 6.5863213E+000,-1.2125000E-001, 1.9396621E+000,-1.1250000E-002, 3.4817409E+000, 3.4565217E-002, 5.8095450E+000, 3.4565217E-002, 3.9617997E+000
-1.2000000E-001, 2.4118851E+000,-1.0000000E-002, 5.9472650E+000,-1.2000000E-001, 1.9225704E+000,-1.0000000E-002, 3.5779668E+000, 3.6086957E-002, 7.8915746E+000, 3.6086957E-002, 3.8230323E+000
-1.1875000E-001, 2.4590578E+000,-8.7500000E-003, 5.3082087E+000,-1.1875000E-001, 1.9395711E+000,-8.7500000E-003, 3.8217012E+000, 3.7608696E-002, 9.1524730E+000, 3.7608696E-002, 3.1309720E+000
-1.1750000E-001, 2.5035314E+000,-7.5000000E-003, 4.8612337E+000,-1.1750000E-001, 1.9214610E+000,-7.5000000E-003, 3.8187415E+000, 3.9130435E-002, 1.0146341E+001, 3.9130435E-002, 2.6566530E+000
-1.1625000E-001, 2.5480050E+000,-6.2500000E-003, 4.4142587E+000,-1.1625000E-001, 1.9378313E+000,-6.2500000E-003, 3.9476753E+000, 4.0652174E-002, 1.0634724E+001, 4.0652174E-002, 2.1440322E+000
-1.1500000E-001, 2.5854859E+000,-5.0000000E-003, 4.1410686E+000,-1.1500000E-001, 1.9226435E+000,-5.0000000E-003, 3.8815820E+000, 4.2173913E-002, 1.0909983E+001, 4.2173913E-002, 1.8278855E+000
-1.1375000E-001, 2.6229669E+000,-3.7500000E-003, 3.8678785E+000,-1.1375000E-001, 1.9414269E+000,-3.7500000E-003, 3.9279755E+000, 4.3695652E-002, 1.1047339E+001, 4.3695652E-002, 1.6570781E+000
-1.1250000E-001, 2.6549975E+000,-2.5000000E-003, 3.6941584E+000,-1.1250000E-001, 1.9266658E+000,-2.5000000E-003, 3.8443992E+000, 4.5217391E-002, 1.1049338E+001, 4.5217391E-002, 1.4961925E+000
-1.1125000E-001, 2.6870282E+000,-1.2500000E-003, 3.5204382E+000,-1.1125000E-001, 1.9451562E+000,-1.2500000E-003, 3.8566996E+000, 4.6739130E-002, 1.1034023E+001, 4.6739130E-002, 1.4331126E+000
-1.1000000E-001, 2.7207945E+000, 0.0000000E+000, 3.4197858E+000,-1.1000000E-001, 1.9294398E+000, 0.0000000E+000, 3.7698833E+000, 4.8260870E-002, 1.0992741E+001, 4.8260870E-002, 1.3698500E+000
