z,u_ideal,T_ideal
  0.0, -0.00,  20.0
  0.1,  2.17,  19.4
  1.0,  4.31,  18.8
  2.0,  4.93,  18.6
  3.0,  5.28,  18.5
  4.0,  5.53,  18.4
  5.0,  5.71,  18.4
  6.0,  5.86,  18.3
  7.0,  5.98,  18.3
  8.0,  6.08,  18.3
  9.0,  6.17,  18.2
 10.0,  6.25,  18.2
 15.0,  6.54,  18.1
 20.0,  6.74,  18.0
 25.0,  6.88,  17.9
 30.0,  6.99,  17.9
 50.0,  7.29,  17.6
100.0,  7.64,  17.1

