m,C,Pa
T-z,T,P
 5.0000000E-001, 1.9994957E+001, 1.0131914E+005
 1.5000000E+000, 1.9985009E+001, 1.0130741E+005
 2.5000000E+000, 1.9975003E+001, 1.0129569E+005
 3.5000000E+000, 1.9965008E+001, 1.0128396E+005
 4.5000000E+000, 1.9954985E+001, 1.0127224E+005
 5.5000000E+000, 1.9944991E+001, 1.0126052E+005
 6.5000000E+000, 1.9935010E+001, 1.0124879E+005
 7.5000000E+000, 1.9925010E+001, 1.0123707E+005
 8.5000000E+000, 1.9915024E+001, 1.0122536E+005
 9.5000000E+000, 1.9905037E+001, 1.0121364E+005
 1.0500000E+001, 1.9895034E+001, 1.0120192E+005
 1.1500000E+001, 1.9885035E+001, 1.0119020E+005
 1.2500000E+001, 1.9875030E+001, 1.0117849E+005
 1.3500000E+001, 1.9865025E+001, 1.0116677E+005
 1.4500000E+001, 1.9855035E+001, 1.0115506E+005
 1.5500000E+001, 1.9845052E+001, 1.0114335E+005
 1.6500000E+001, 1.9835067E+001, 1.0113163E+005
 1.7500000E+001, 1.9825050E+001, 1.0111992E+005
 1.8500000E+001, 1.9815024E+001, 1.0110821E+005
 1.9500000E+001, 1.9805038E+001, 1.0109651E+005
 2.0500000E+001, 1.9795058E+001, 1.0108480E+005
 2.1500000E+001, 1.9785052E+001, 1.0107309E+005
 2.2500000E+001, 1.9775056E+001, 1.0106138E+005
 2.3500000E+001, 1.9765066E+001, 1.0104968E+005
 2.4500000E+001, 1.9755046E+001, 1.0103798E+005
 2.5500000E+001, 1.9745041E+001, 1.0102627E+005
 2.6500000E+001, 1.9735062E+001, 1.0101457E+005
 2.7500000E+001, 1.9725077E+001, 1.0100287E+005
 2.8500000E+001, 1.9715074E+001, 1.0099117E+005
 2.9500000E+001, 1.9705071E+001, 1.0097947E+005
 3.0500000E+001, 1.9695080E+001, 1.0096777E+005
 3.1500000E+001, 1.9685093E+001, 1.0095607E+005
 3.2500000E+001, 1.9675088E+001, 1.0094438E+005
 3.3500000E+001, 1.9665096E+001, 1.0093268E+005
 3.4500000E+001, 1.9655091E+001, 1.0092099E+005
 3.5500000E+001, 1.9645093E+001, 1.0090929E+005
 3.6500000E+001, 1.9635112E+001, 1.0089760E+005
 3.7500000E+001, 1.9625091E+001, 1.0088591E+005
 3.8500000E+001, 1.9615089E+001, 1.0087422E+005
 3.9500000E+001, 1.9605124E+001, 1.0086253E+005
