z (m), u (m/s)
0.000 , 0.000
0.100 , 2.2821
0.500 , 3.7581
1.000 , 4.4151
1.900 , 5.0519
3.000 , 5.5348
4.000 , 5.8589
5.000 , 6.1249
6.000 , 6.3541
7.000 , 6.5579
8.000 , 6.7432
9.000 , 6.9142
10.000 , 7.0741
15.000 , 7.7640
20.000 , 8.3479
25.000 , 8.8736
30.000 , 9.3625

