z (m), u (m/s)
0.000 , 0.0000
0.001 , 1.4602
0.100 , 5.6354
0.500 , 7.0829
1.000 , 7.6964
1.900 , 8.2526
3.000 , 8.6373
4.000 , 8.8731
5.000 , 9.0519
6.000 , 9.1949
7.000 , 9.3134
8.000 , 9.4143
9.000 , 9.5018
10.000 , 9.5788
15.000 , 9.8640
20.000 , 10.0548
25.000 , 10.1960
30.000 , 10.3068
