z,T,P
0.5,19.995,101319.1369
1.5,19.985,101307.4114
2.5,19.975,101295.6869
3.5,19.965,101283.9633
4.5,19.955,101272.2407
5.5,19.945,101260.519
6.5,19.935,101248.7983
7.5,19.925,101237.0785
8.5,19.915,101225.3597
9.5,19.905,101213.6419
10.5,19.895,101201.925
11.5,19.885,101190.2091
12.5,19.875,101178.4941
13.5,19.865,101166.7801
14.5,19.855,101155.067
15.5,19.845,101143.3549
16.5,19.835,101131.6438
17.5,19.825,101119.9336
18.5,19.815,101108.2244
19.5,19.805,101096.5161
20.5,19.795,101084.8088
21.5,19.785,101073.1024
22.5,19.775,101061.397
23.5,19.765,101049.6925
24.5,19.755,101037.989
25.5,19.745,101026.2865
26.5,19.735,101014.5849
27.5,19.725,101002.8843
28.5,19.715,100991.1846
29.5,19.705,100979.4859
30.5,19.695,100967.7881
31.5,19.685,100956.0913
32.5,19.675,100944.3955
33.5,19.665,100932.7006
34.5,19.655,100921.0066
35.5,19.645,100909.3137
36.5,19.635,100897.6216
37.5,19.625,100885.9306
38.5,19.615,100874.2404
39.5,19.605,100862.5513
