Time,u_ideal,v_ideal
-5.000,5.950,0.000
-4.400,5.950,0.000
-3.990,5.950,0.000
-3.450,5.950,0.000
-2.920,5.950,0.000
-2.390,5.950,0.000
-1.990,5.950,0.000
-1.460,5.950,0.000
-0.930,5.950,0.000
-0.400,5.950,0.000
0.030,5.950,0.018
0.640,5.932,0.476
1.120,5.891,0.839
1.610,5.831,1.190
2.090,5.748,1.541
2.570,5.641,1.886
3.050,5.516,2.225
3.530,5.373,2.559
4.000,5.212,2.868
4.580,4.992,3.237
5.010,4.808,3.505
5.590,4.540,3.844
6.020,4.326,4.082
6.550,4.046,4.367
7.070,3.749,4.617
7.590,3.445,4.855
8.110,3.118,5.063
8.630,2.785,5.260
9.100,2.463,5.415
9.550,2.160,5.545
10.100,1.767,5.682
10.540,1.452,5.772
11.090,1.047,5.855
11.530,0.726,5.908
12.080,0.315,5.944
12.520,-0.018,5.950
13.070,-0.428,5.932
13.580,-0.803,5.896
14.070,-1.166,5.837
14.560,-1.523,5.754
15.070,-1.886,5.641
15.500,-2.190,5.534
16.040,-2.559,5.373
16.590,-2.927,5.182
17.070,-3.231,4.998
17.540,-3.522,4.796
18.020,-3.802,4.576
18.550,-4.100,4.308
19.070,-4.373,4.034
19.590,-4.629,3.737
20.010,-4.820,3.493
20.530,-5.034,3.171
21.050,-5.230,2.832
21.570,-5.403,2.487
22.090,-5.557,2.130
22.500,-5.658,1.833
23.020,-5.766,1.464
23.510,-5.849,1.107
24.070,-5.908,0.696
24.530,-5.938,0.351
25.090,-5.950,-0.065
25.550,-5.938,-0.411
26.010,-5.902,-0.756
26.570,-5.837,-1.166
27.030,-5.760,-1.505
27.590,-5.641,-1.898
28.080,-5.510,-2.243
28.590,-5.355,-2.594
29.100,-5.177,-2.933
29.550,-5.004,-3.219
30.040,-4.796,-3.522
30.580,-4.546,-3.838
31.020,-4.332,-4.082
31.510,-4.070,-4.344
32.010,-3.784,-4.593
32.520,-3.487,-4.820
33.090,-3.136,-5.058
33.590,-2.808,-5.248
34.030,-2.511,-5.397
34.580,-2.130,-5.557
35.020,-1.821,-5.664
35.620,-1.398,-5.783
36.050,-1.077,-5.849
36.550,-0.714,-5.908
37.070,-0.321,-5.944
37.510,0.006,-5.950
38.050,0.411,-5.938
38.570,0.797,-5.896
39.060,1.160,-5.837
39.540,1.511,-5.754
40.030,1.862,-5.653
40.580,2.243,-5.510
41.050,2.564,-5.367
41.520,2.874,-5.206
42.100,3.255,-4.980
42.570,3.540,-4.784
43.040,3.820,-4.564
43.540,4.100,-4.314
44.040,4.361,-4.052
44.540,4.605,-3.766
45.090,4.855,-3.439
45.530,5.034,-3.165
46.080,5.242,-2.814
46.520,5.391,-2.517
47.050,5.545,-2.160
47.530,5.664,-1.815
48.020,5.766,-1.464
48.530,5.849,-1.095
49.030,5.908,-0.726
49.510,5.938,-0.363
50.020,5.950,0.018
50.550,5.950,0.000
51.080,5.950,0.000
51.510,5.950,0.000
52.040,5.950,0.000
52.570,5.950,0.000
53.100,5.950,0.000
53.520,5.950,0.000
54.050,5.950,0.000
54.580,5.950,0.000
55.010,5.950,0.000
55.540,5.950,0.000
56.070,5.950,0.000
56.530,5.950,0.000
57.110,5.950,0.000
57.580,5.950,0.000
58.040,5.950,0.000
58.510,5.950,0.000
59.090,5.950,0.000
59.560,5.950,0.000
60.000,5.950,0.000
