Time,TMP,Pressure,Enthalpy,OH,O2,CH4,C_MF,H_MF,N_MF,O_MF
   0.00010, 926.84966,101325.00000,910121.77856,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   0.00110, 926.84937,101325.00000,910121.77856,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   0.00210, 926.86345,101325.00000,910121.77856,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   0.00310, 926.90547,101325.00000,910121.77856,   0.00000,   0.22510,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   0.00410, 926.97598,101325.00000,910121.77856,   0.00000,   0.22508,   0.03384,   0.02535,   0.00851,   0.74103,   0.22511
   0.00510, 927.06672,101325.00000,910121.77856,   0.00000,   0.22507,   0.03383,   0.02535,   0.00851,   0.74103,   0.22511
   0.00610, 927.17242,101325.00000,910121.77856,   0.00000,   0.22505,   0.03382,   0.02535,   0.00851,   0.74103,   0.22511
   0.00710, 927.29174,101325.00000,910121.77856,   0.00000,   0.22504,   0.03380,   0.02535,   0.00851,   0.74103,   0.22511
   0.00810, 927.42512,101325.00000,910121.77856,   0.00000,   0.22502,   0.03379,   0.02535,   0.00851,   0.74103,   0.22511
   0.00910, 927.57371,101325.00000,910121.77856,   0.00000,   0.22499,   0.03377,   0.02535,   0.00851,   0.74103,   0.22511
   0.01010, 927.73901,101325.00000,910121.77856,   0.00000,   0.22497,   0.03375,   0.02535,   0.00851,   0.74103,   0.22511
   0.01110, 927.92275,101325.00000,910121.77856,   0.00000,   0.22494,   0.03373,   0.02535,   0.00851,   0.74103,   0.22511
   0.01210, 928.12695,101325.00000,910121.77856,   0.00000,   0.22491,   0.03371,   0.02535,   0.00851,   0.74103,   0.22511
   0.01310, 928.35394,101325.00000,910121.77856,   0.00000,   0.22488,   0.03369,   0.02535,   0.00851,   0.74103,   0.22511
   0.01410, 928.60645,101325.00000,910121.77856,   0.00000,   0.22484,   0.03366,   0.02535,   0.00851,   0.74103,   0.22511
   0.01510, 928.88764,101325.00000,910121.77856,   0.00000,   0.22480,   0.03363,   0.02535,   0.00851,   0.74103,   0.22511
   0.01610, 929.20125,101325.00000,910121.77856,   0.00000,   0.22475,   0.03360,   0.02535,   0.00851,   0.74103,   0.22511
   0.01710, 929.55173,101325.00000,910121.77856,   0.00000,   0.22470,   0.03356,   0.02535,   0.00851,   0.74103,   0.22511
   0.01810, 929.94441,101325.00000,910121.77856,   0.00000,   0.22464,   0.03352,   0.02535,   0.00851,   0.74103,   0.22511
   0.01910, 930.38575,101325.00000,910121.77856,   0.00000,   0.22458,   0.03347,   0.02535,   0.00851,   0.74103,   0.22511
   0.02010, 930.88363,101325.00000,910121.77856,   0.00000,   0.22450,   0.03342,   0.02535,   0.00851,   0.74103,   0.22511
   0.02110, 931.44788,101325.00000,910121.77856,   0.00000,   0.22442,   0.03336,   0.02535,   0.00851,   0.74103,   0.22511
