Time,TMP,Pressure,Enthalpy,OH,O2,CH4,C_MF,H_MF,N_MF,O_MF
   0.01000, 626.84999,101324.99909,526541.51729,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   0.11000, 626.85038,101325.04321,526541.63329,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   0.21000, 626.85198,101325.22269,526542.10513,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   0.31000, 626.85473,101325.53110,526542.91593,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   0.41000, 626.85821,101325.92110,526543.94121,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   0.51000, 626.86212,101326.36031,526545.09588,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   0.61000, 626.86635,101326.83470,526546.34302,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   0.71000, 626.87085,101327.33877,526547.66821,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   0.81000, 626.87559,101327.87048,526549.06605,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   0.91000, 626.88057,101328.42921,526550.53492,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   1.01000, 626.88579,101329.01504,526552.07504,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   1.11000, 626.89126,101329.62842,526553.68759,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   1.21000, 626.89698,101330.27001,526555.37432,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   1.31000, 626.90295,101330.94062,526557.13732,   0.00000,   0.22510,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   1.41000, 626.90919,101331.64114,526558.97895,   0.00000,   0.22510,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   1.51000, 626.91571,101332.37253,526560.90174,   0.00000,   0.22510,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   1.61000, 626.92251,101333.13583,526562.90841,   0.00000,   0.22510,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   1.71000, 626.92960,101333.93212,526565.00183,   0.00000,   0.22510,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   1.81000, 626.93699,101334.76256,526567.18502,   0.00000,   0.22510,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   1.91000, 626.94470,101335.62835,526569.46114,   0.00000,   0.22510,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   2.01000, 626.95273,101336.53075,526571.83353,   0.00000,   0.22510,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   2.11000, 626.96110,101337.47110,526574.30568,   0.00000,   0.22510,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   2.21000, 626.96982,101338.45079,526576.88124,   0.00000,   0.22510,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   2.31000, 626.97890,101339.47128,526579.56405,   0.00000,   0.22510,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   2.41000, 626.98836,101340.53410,526582.35815,   0.00000,   0.22510,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   2.51000, 626.99821,101341.64085,526585.26775,   0.00000,   0.22509,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   2.61000, 627.00846,101342.79321,526588.29728,   0.00000,   0.22509,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   2.71000, 627.01913,101343.99297,526591.45139,   0.00000,   0.22509,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   2.81000, 627.03024,101345.24198,526594.73497,   0.00000,   0.22509,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   2.91000, 627.04180,101346.54218,526598.15314,   0.00000,   0.22509,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   3.01000, 627.05383,101347.89563,526601.71130,   0.00000,   0.22509,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   3.11000, 627.06636,101349.30448,526605.41511,   0.00000,   0.22509,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   3.21000, 627.07939,101350.77100,526609.27053,   0.00000,   0.22509,   0.03384,   0.02535,   0.00851,   0.74103,   0.22511
   3.31000, 627.09296,101352.29758,526613.28384,   0.00000,   0.22508,   0.03384,   0.02535,   0.00851,   0.74103,   0.22511
   3.41000, 627.10708,101353.88672,526617.46163,   0.00000,   0.22508,   0.03384,   0.02535,   0.00851,   0.74103,   0.22511
   3.51000, 627.12178,101355.54108,526621.81087,   0.00000,   0.22508,   0.03384,   0.02535,   0.00851,   0.74103,   0.22511
   3.61000, 627.13708,101357.26345,526626.33890,   0.00000,   0.22508,   0.03384,   0.02535,   0.00851,   0.74103,   0.22511
   3.71000, 627.15301,101359.05676,526631.05344,   0.00000,   0.22508,   0.03384,   0.02535,   0.00851,   0.74103,   0.22511
   3.81000, 627.16959,101360.92413,526635.96266,   0.00000,   0.22508,   0.03384,   0.02535,   0.00851,   0.74103,   0.22511
   3.91000, 627.18686,101362.86883,526641.07520,   0.00000,   0.22507,   0.03384,   0.02535,   0.00851,   0.74103,   0.22511
   4.01000, 627.20485,101364.89433,526646.40016,   0.00000,   0.22507,   0.03384,   0.02535,   0.00851,   0.74103,   0.22511
   4.11000, 627.22358,101367.00430,526651.94718,   0.00000,   0.22507,   0.03384,   0.02535,   0.00851,   0.74103,   0.22511
   4.21000, 627.24309,101369.20262,526657.72647,   0.00000,   0.22507,   0.03383,   0.02535,   0.00851,   0.74103,   0.22511
   4.31000, 627.26342,101371.49340,526663.74883,   0.00000,   0.22507,   0.03383,   0.02535,   0.00851,   0.74103,   0.22511
   4.41000, 627.28461,101373.88100,526670.02573,   0.00000,   0.22506,   0.03383,   0.02535,   0.00851,   0.74103,   0.22511
   4.51000, 627.30669,101376.37004,526676.56931,   0.00000,   0.22506,   0.03383,   0.02535,   0.00851,   0.74103,   0.22511
   4.61000, 627.32972,101378.96544,526683.39250,   0.00000,   0.22506,   0.03383,   0.02535,   0.00851,   0.74103,   0.22511
   4.71000, 627.35373,101381.67241,526690.50900,   0.00000,   0.22506,   0.03383,   0.02535,   0.00851,   0.74103,   0.22511
   4.81000, 627.37877,101384.49650,526697.93341,   0.00000,   0.22505,   0.03383,   0.02535,   0.00851,   0.74103,   0.22511
