Time,TMP,Pressure,Enthalpy,OH,O2,CH4,C_MF,H_MF,N_MF,O_MF
   0.00010, 926.84966,101325.00000,910121.77856,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   0.00110, 926.84896,101325.00000,910121.77856,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   0.00210, 926.85222,101325.00000,910121.77856,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   0.00310, 926.86389,101325.00000,910121.77856,   0.00000,   0.22511,   0.03386,   0.02535,   0.00851,   0.74103,   0.22511
   0.00410, 926.88835,101325.00000,910121.77856,   0.00000,   0.22510,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   0.00510, 926.92688,101325.00000,910121.77857,   0.00000,   0.22509,   0.03385,   0.02535,   0.00851,   0.74103,   0.22511
   0.00610, 926.97773,101325.00001,910121.77859,   0.00000,   0.22509,   0.03384,   0.02535,   0.00851,   0.74103,   0.22511
   0.00710, 927.03871,101325.00002,910121.77863,   0.00000,   0.22508,   0.03383,   0.02535,   0.00851,   0.74103,   0.22511
   0.00810, 927.10863,101325.00004,910121.77870,   0.00000,   0.22506,   0.03383,   0.02535,   0.00851,   0.74103,   0.22511
   0.00910, 927.18730,101325.00007,910121.77881,   0.00000,   0.22505,   0.03382,   0.02535,   0.00851,   0.74103,   0.22511
   0.01010, 927.27506,101325.00011,910121.77897,   0.00000,   0.22504,   0.03381,   0.02535,   0.00851,   0.74103,   0.22511
   0.01110, 927.37263,101325.00017,910121.77919,   0.00000,   0.22502,   0.03380,   0.02535,   0.00851,   0.74103,   0.22511
   0.01210, 927.48088,101325.00025,910121.77946,   0.00000,   0.22501,   0.03378,   0.02535,   0.00851,   0.74103,   0.22511
   0.01310, 927.60085,101325.00035,910121.77982,   0.00000,   0.22499,   0.03377,   0.02535,   0.00851,   0.74103,   0.22511
   0.01410, 927.73374,101325.00047,910121.78025,   0.00000,   0.22497,   0.03376,   0.02535,   0.00851,   0.74103,   0.22511
   0.01510, 927.88089,101325.00061,910121.78077,   0.00000,   0.22495,   0.03374,   0.02535,   0.00851,   0.74103,   0.22511
   0.01610, 928.04386,101325.00079,910121.78138,   0.00000,   0.22492,   0.03372,   0.02535,   0.00851,   0.74103,   0.22511
   0.01710, 928.22439,101325.00099,910121.78211,   0.00000,   0.22490,   0.03370,   0.02535,   0.00851,   0.74103,   0.22511
   0.01810, 928.42448,101325.00123,910121.78296,   0.00000,   0.22487,   0.03368,   0.02535,   0.00851,   0.74103,   0.22511
   0.01910, 928.64645,101325.00151,910121.78393,   0.00000,   0.22483,   0.03366,   0.02535,   0.00851,   0.74103,   0.22511
   0.02010, 928.89297,101325.00182,910121.78506,   0.00000,   0.22480,   0.03363,   0.02535,   0.00851,   0.74103,   0.22511
   0.02110, 929.16714,101325.00219,910121.78634,   0.00000,   0.22476,   0.03360,   0.02535,   0.00851,   0.74103,   0.22511
   0.02210, 929.47262,101325.00260,910121.78780,   0.00000,   0.22471,   0.03357,   0.02535,   0.00851,   0.74103,   0.22511
   0.02310, 929.81373,101325.00307,910121.78945,   0.00000,   0.22466,   0.03353,   0.02535,   0.00851,   0.74103,   0.22511
   0.02410, 930.19563,101325.00359,910121.79131,   0.00000,   0.22461,   0.03349,   0.02535,   0.00851,   0.74103,   0.22511
   0.02510, 930.62457,101325.00419,910121.79341,   0.00000,   0.22454,   0.03345,   0.02535,   0.00851,   0.74103,   0.22511
   0.02610, 931.10814,101325.00486,910121.79578,   0.00000,   0.22447,   0.03340,   0.02535,   0.00851,   0.74103,   0.22511
   0.02710, 931.65576,101325.00561,910121.79844,   0.00000,   0.22439,   0.03334,   0.02535,   0.00851,   0.74103,   0.22511
   0.02810, 932.27927,101325.00646,910121.80144,   0.00000,   0.22430,   0.03328,   0.02535,   0.00851,   0.74103,   0.22511
   0.02910, 932.99376,101325.00742,910121.80481,   0.00000,   0.22420,   0.03321,   0.02535,   0.00851,   0.74103,   0.22511
   0.03010, 933.81895,101325.00849,910121.80862,   0.00000,   0.22408,   0.03313,   0.02535,   0.00851,   0.74103,   0.22511
   0.03110, 934.78115,101325.00971,910121.81294,   0.00000,   0.22394,   0.03304,   0.02535,   0.00851,   0.74103,   0.22511
   0.03210, 935.91650,101325.01110,910121.81785,   0.00000,   0.22378,   0.03293,   0.02535,   0.00851,   0.74103,   0.22511
   0.03310, 937.27644,101325.01269,910121.82347,   0.00000,   0.22358,   0.03280,   0.02535,   0.00851,   0.74103,   0.22511
   0.03410, 938.93741,101325.01452,910121.82996,   0.00000,   0.22335,   0.03264,   0.02535,   0.00851,   0.74103,   0.22511
   0.03510, 941.01958,101325.01665,910121.83753,   0.00000,   0.22305,   0.03245,   0.02535,   0.00851,   0.74103,   0.22511
   0.03610, 943.72657,101325.01917,910121.84651,   0.00000,   0.22266,   0.03220,   0.02535,   0.00851,   0.74103,   0.22511
   0.03710, 947.44170,101325.02223,910121.85741,   0.00000,   0.22213,   0.03187,   0.02535,   0.00851,   0.74103,   0.22511
   0.03810, 953.01139,101325.02604,910121.87106,   0.00000,   0.22134,   0.03139,   0.02535,   0.00851,   0.74103,   0.22511
   0.03910, 962.89121,101325.03103,910121.88906,   0.00000,   0.21992,   0.03057,   0.02535,   0.00851,   0.74103,   0.22511
   0.04010, 990.06052,101325.03792,910121.91422,   0.00000,   0.21603,   0.02847,   0.02535,   0.00851,   0.74103,   0.22511
   0.04110,1968.54138,101324.84050,910120.78697,   0.00699,   0.09108,   0.00000,   0.02535,   0.00851,   0.74103,   0.22511
   0.04210,2077.92895,101326.15431,910129.79466,   0.00454,   0.08934,   0.00000,   0.02535,   0.00851,   0.74103,   0.22511
   0.04310,2079.31402,101327.59663,910139.75586,   0.00448,   0.08923,   0.00000,   0.02535,   0.00851,   0.74103,   0.22511
   0.04410,2079.08862,101328.90299,910148.77176,   0.00447,   0.08914,   0.00000,   0.02535,   0.00851,   0.74103,   0.22511
   0.04510,2078.83842,101330.08313,910156.91003,   0.00447,   0.08905,   0.00000,   0.02535,   0.00851,   0.74103,   0.22511
   0.04610,2078.58914,101331.14938,910164.25748,   0.00446,   0.08896,   0.00000,   0.02535,   0.00851,   0.74103,   0.22511
   0.04710,2078.34141,101332.11287,910170.89237,   0.00446,   0.08887,   0.00000,   0.02535,   0.00851,   0.74103,   0.22511
   0.04810,2078.09541,101332.98363,910176.88493,   0.00445,   0.08878,   0.00000,   0.02535,   0.00851,   0.74103,   0.22511
   0.04910,2077.85131,101333.77068,910182.29830,   0.00445,   0.08869,   0.00000,   0.02535,   0.00851,   0.74103,   0.22511
   0.05010,2077.60925,101334.48214,910187.18922,   0.00444,   0.08861,   0.00000,   0.02535,   0.00851,   0.74103,   0.22511
   0.05110,2077.36939,101335.12534,910191.60874,   0.00444,   0.08853,   0.00000,   0.02535,   0.00851,   0.74103,   0.22511
   0.05210,2077.13183,101335.70688,910195.60279,   0.00443,   0.08844,   0.00000,   0.02535,   0.00851,   0.74103,   0.22511
   0.05310,2076.89670,101336.23271,910199.21276,   0.00443,   0.08836,   0.00000,   0.02535,   0.00851,   0.74103,   0.22511
   0.05410,2076.66408,101336.70821,910202.47592,   0.00442,   0.08828,   0.00000,   0.02535,   0.00851,   0.74103,   0.22511
   0.05510,2076.43406,101337.13823,910205.42587,   0.00442,   0.08820,   0.00000,   0.02535,   0.00851,   0.74103,   0.22511
