x,Curve1
2703.77,1.35211
2710.08,1.01408
2716.38,1.01408
2722.06,1.01408
2727.73,1.35211
2734.03,1.69014
2739.71,1.35211
2746.01,1.35211
2752.32,1.35211
2758.62,1.35211
2764.93,1.35211
2771.23,1.35211
2777.54,1.35211
2783.84,1.69014
2789.51,2.02817
2795.81,2.3662
2802.12,2.70423
2808.42,3.04225
2814.08,3.71831
2820.38,4.39437
2826.04,5.74648
2831.07,7.43662
2836.09,9.46479
2839.84,12.507
2842.33,15.5493
2843.56,18.5915
2845.42,21.9718
2846.01,25.3521
2846.61,28.7324
2847.2,32.1127
2847.8,35.493
2848.39,38.8732
2848.99,42.2535
2849.58,45.6338
2850.14,52.3944
2850.18,49.0141
2850.74,55.7746
2851.3,62.5352
2851.33,59.1549
2851.9,65.5775
2852.49,68.9577
2853.05,75.7183
2853.09,72.338
2853.65,79.0986
2854.2,85.8592
2854.24,82.4789
2854.8,89.2394
2856.03,92.6197
2857.95,89.9155
2858.61,86.8732
2859.27,83.493
2859.94,80.1127
2860.61,76.7324
2861.27,73.3521
2861.94,69.9718
2863.23,66.5915
2863.9,63.2113
2864.57,59.831
2865.23,56.4507
2865.9,53.0704
2866.56,49.6901
2867.23,46.3099
2868.53,42.9296
2869.82,39.8873
2872.35,38.8732
2875.47,41.9155
2877.4,38.5352
2879.32,35.493
2880.62,32.1127
2881.92,28.7324
2885.73,26.0282
2890.12,28.0563
2892.61,31.0986
2894.47,34.1408
2896.33,37.5211
2898.82,40.5634
2900.67,43.9437
2902.53,46.9859
2904.39,50.0282
2906.25,53.4085
2907.47,56.7887
2909.33,60.169
2909.93,63.2113
2911.15,66.5915
2911.75,69.9718
2912.34,73.3521
2913.57,76.7324
2914.13,83.493
2914.16,80.1127
2914.72,86.8732
2915.28,93.6338
2915.32,90.2535
2915.88,97.0141
2916.47,100.394
2917.03,107.155
2917.07,103.775
2917.63,110.535
2918.19,117.296
2918.22,113.915
2918.78,120.676
2919.34,127.437
2919.38,124.056
2919.9,134.197
2919.94,130.817
2920.5,137.577
2921.06,144.338
2921.09,140.958
2921.62,151.099
2921.65,147.718
2922.17,157.859
2922.21,154.479
2922.77,161.239
2923.37,164.282
2924.59,167.662
2925.85,168.338
2927.14,164.958
2927.81,161.915
2928.47,158.535
2929.14,155.155
2929.8,151.775
2930.47,148.394
2931.85,137.239
2932.52,133.859
2932.55,130.479
2933.22,127.099
2933.88,123.718
2934.55,120.338
2934.58,116.958
2935.25,113.577
2935.92,110.197
2936.58,106.817
2936.62,103.437
2937.28,100.056
2937.95,96.6761
2937.99,93.2958
2938.65,89.9155
2939.32,86.5352
2939.98,83.1549
2940.02,79.7746
2940.69,76.3944
2941.35,73.3521
2942.01,69.9718
2942.68,66.5915
2943.35,63.2113
2944.01,59.831
2945.31,56.4507
2945.97,53.0704
2947.9,49.6901
2950.43,49.0141
2952.29,52.3944
2952.89,55.4366
2953.48,58.8169
2954.71,62.1972
2955.3,65.5775
2956.53,68.9577
2957.12,72.338
2958.98,75.7183
2961.51,74.3662
2962.81,70.9859
2964.11,67.6056
2964.77,64.2254
2965.44,60.8451
2966.74,57.4648
2967.4,54.0845
2968.07,50.7042
2968.73,47.3239
2969.4,43.9437
2970.06,40.9014
2970.73,37.5211
2972.02,34.1408
2972.69,30.7606
2973.99,27.3803
2974.65,24
2975.95,20.6197
2977.87,17.5775
2980.43,14.1972
2982.98,11.1549
2987.42,8.78873
2992.49,7.09859
2998.18,5.40845
3003.86,4.39437
3010.18,3.71831
3016.49,3.04225
3022.17,2.70423
3028.47,2.3662
3034.78,2.02817
3041.09,2.02817
3047.4,1.69014
3053.08,1.35211
3059.38,1.35211
3065.06,1.01408
3071.36,1.01408
3077.67,1.01408
3083.98,0.676056
3089.65,0.676056
3095.96,0.676056
3102.26,0.676056
3108.57,0.676056
3114.87,0.676056
3121.18,0.676056
3126.22,0.676056
3132.53,0.676056
3137.58,0.338028
3143.88,0.338028
3150.19,0.338028
3156.49,0.338028
3162.8,0.338028
3169.1,0.338028
3175.41,0.338028
3181.71,0.338028
3188.02,0.338028
3194.32,0.338028
3200.63,0.338028
