s,kg/m3,kg/m3,kg/m3,%/m
FDS Time,"sp1","sp2","sp3","asp1"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1180340E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0434945E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0823445E+000, 1.7829129E-005, 1.7829129E-005, 1.7829129E-005, 0.0000000E+000
 4.0550499E+000, 7.8319646E-005, 7.8319646E-005, 7.8319646E-005, 0.0000000E+000
 5.0723133E+000, 9.0180201E-005, 9.0180201E-005, 9.0180201E-005, 0.0000000E+000
 6.0726895E+000, 1.0263916E-004, 1.0263916E-004, 1.0263916E-004, 0.0000000E+000
 7.0204740E+000, 1.2363388E-004, 1.2363388E-004, 1.2363388E-004, 0.0000000E+000
 8.0289097E+000, 1.2874330E-004, 1.2874330E-004, 1.2874330E-004, 0.0000000E+000
 9.0045424E+000, 1.3537608E-004, 1.3537608E-004, 1.3537608E-004, 0.0000000E+000
 1.0130735E+001, 1.5936058E-004, 1.5936058E-004, 1.5936058E-004, 0.0000000E+000
 1.1005192E+001, 1.5394798E-004, 1.5394798E-004, 1.5394798E-004, 0.0000000E+000
 1.2039965E+001, 1.5991344E-004, 1.5991344E-004, 1.5991344E-004, 0.0000000E+000
 1.3049961E+001, 1.7569557E-004, 1.7569557E-004, 1.7569557E-004, 0.0000000E+000
 1.4108053E+001, 1.9116274E-004, 1.9116274E-004, 1.9116274E-004, 0.0000000E+000
 1.5166145E+001, 2.1307388E-004, 2.1307388E-004, 2.1307388E-004, 0.0000000E+000
 1.6047888E+001, 2.2374037E-004, 2.2374037E-004, 2.2374037E-004, 0.0000000E+000
 1.7105980E+001, 2.3893211E-004, 2.3893211E-004, 2.3893211E-004, 0.0000000E+000
 1.8164072E+001, 2.7453470E-004, 2.7453470E-004, 2.7453470E-004, 0.0000000E+000
 1.9100483E+001, 2.9108377E-004, 2.9108377E-004, 2.9108377E-004, 0.0000000E+000
 2.0218517E+001, 2.9148607E-004, 2.9148607E-004, 2.9148607E-004, 0.0000000E+000
 2.1112944E+001, 2.9760181E-004, 2.9760181E-004, 2.9760181E-004, 0.0000000E+000
 2.2007372E+001, 3.2026561E-004, 3.2026561E-004, 3.2026561E-004, 0.0000000E+000
 2.3125404E+001, 3.4624753E-004, 3.4624753E-004, 3.4624753E-004, 0.0000000E+000
 2.4019833E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 2.5137867E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 2.6032293E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 2.7150328E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 2.8044754E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 2.9162788E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 3.0057217E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 3.1175249E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 3.2069675E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 3.3187710E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 3.4082138E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 3.5200172E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 3.6094601E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 3.7212635E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 3.8107059E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 3.9001488E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 4.0119522E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 4.1013950E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 4.2131985E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 4.3026409E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 4.4144444E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 4.5038872E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 4.6156906E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 4.7051334E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 4.8169365E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 4.9063793E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 5.0181828E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 5.1076256E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 0.0000000E+000
 5.2194290E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.1892017E-001
 5.3088715E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 2.5606671E+000
 5.4206749E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 1.1361731E+001
 5.5101177E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 2.1165503E+001
 5.6219212E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 2.4257997E+001
 5.7113640E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 2.7380928E+001
 5.8008064E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 3.0348090E+001
 5.9126099E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 3.2210467E+001
 6.0020527E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 3.3901602E+001
 6.1138561E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 3.5905837E+001
 6.2032990E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 3.7135971E+001
 6.3151024E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 3.8404344E+001
 6.4045448E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 4.0899090E+001
 6.5163483E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 4.3723123E+001
 6.6057907E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 4.6542083E+001
 6.7175941E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 4.8712569E+001
 6.8070374E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 5.1690257E+001
 6.9188408E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 5.5349869E+001
 7.0082832E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 5.6639774E+001
 7.1200867E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 5.7565517E+001
 7.2095291E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 5.9127287E+001
 7.3213326E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.1449685E+001
 7.4107758E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3408043E+001
 7.5002182E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3616878E+001
 7.6120216E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 7.7014641E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 7.8132675E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 7.9027107E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 8.0145142E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 8.1039566E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
 8.2157600E+001, 3.4929945E-004, 3.4929945E-004, 3.4929945E-004, 6.3686056E+001
