s,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"Temp_Col_A_FDS","Temp_Col_B_FDS","Temp_Col_C_FDS","Temp_Col_D_FDS","Temp_Col_E_FDS","Temp_Col_F_FDS","Flux_Col_A_FDS","Flux_Col_B_FDS","Flux_Col_C_FDS","Flux_Col_D_FDS","Flux_Col_E_FDS","Flux_Col_F_FDS"
 0.0000000E+000, 3.6000000E+001, 3.6000000E+001, 3.6000000E+001, 3.6000000E+001, 3.6000000E+001, 3.6000000E+001,-1.5209430E-005,-1.3504981E-005,-1.4006028E-005,-1.3417189E-005,-1.3052028E-005,-2.2400565E-005
 1.5053285E+001, 3.6035795E+001, 3.6062500E+001, 3.7256928E+001, 4.0484964E+001, 3.6002101E+001, 3.6000004E+001, 2.5692578E-001, 4.3430306E-001, 8.6925130E+000, 3.2889254E+001, 1.5283783E-002, 3.0043554E-005
 3.0020013E+001, 3.6345003E+001, 3.6328282E+001, 4.3389673E+001, 5.8772051E+001, 3.6011331E+001, 3.6000038E+001, 1.4564248E+000, 1.1135471E+000, 2.6142809E+001, 7.1130091E+001, 4.3185135E-002, 1.9757093E-004
 4.5075207E+001, 3.7210820E+001, 3.6867448E+001, 4.9584935E+001, 6.9501415E+001, 3.6090084E+001, 3.6000184E+001, 2.1365147E+000, 1.6153954E+000, 2.2893980E+001, 3.8532900E+001, 3.5516283E-001, 7.4845587E-004
 6.0053020E+001, 3.8085828E+001, 3.7444994E+001, 5.9838991E+001, 7.2641168E+001, 3.6206220E+001, 3.6000567E+001, 2.2244125E+000, 1.5447579E+000, 4.0506907E+001, 2.0637622E+001, 3.0351762E-001, 1.8104289E-003
 7.5057827E+001, 3.9105822E+001, 3.8072128E+001, 7.0200123E+001, 7.6464772E+001, 3.6336792E+001, 3.6001300E+001, 2.5494476E+000, 1.7730739E+000, 3.5853139E+001, 2.0604171E+001, 3.2066722E-001, 3.3795085E-003
 9.0000309E+001, 4.0149951E+001, 3.8711848E+001, 8.1846166E+001, 8.1410698E+001, 3.6499359E+001, 3.6002777E+001, 2.4546279E+000, 1.8537390E+000, 4.5197218E+001, 2.3254478E+001, 4.9875042E-001, 6.8647015E-003
 1.0503072E+002, 4.1117663E+001, 3.9384076E+001, 9.6355868E+001, 8.7416078E+001, 3.6723425E+001, 3.6008018E+001, 2.3322296E+000, 1.8980528E+000, 5.1315199E+001, 2.7595537E+001, 6.3086155E-001, 4.2524761E-002
 1.2001471E+002, 4.2103839E+001, 4.0064099E+001, 1.0860463E+002, 9.4099921E+001, 3.6968168E+001, 3.6038437E+001, 2.4882111E+000, 1.9630075E+000, 4.1267032E+001, 3.0318286E+001, 6.6678770E-001, 1.4229154E-001
