s,C,m,kW/m2,1/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m
Time,"HGL_Temp_FDS","HGL_Height_FDS","Heat_Flux_FDS","OD_FDS","Smoke1","Smoke2","Smoke3","Smoke4","Smoke5","Smoke6","Smoke7","Smoke8","Smoke9","Smoke10","Smoke11","Smoke12"
 0.0000000E+000, 1.9999994E+001, 5.1999998E+000,-3.1448305E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5033493E+001, 1.9999919E+001, 5.1999998E+000,-7.5984481E-005, 2.2734040E-107, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0066985E+001, 1.9999931E+001, 5.1999998E+000, 2.8216597E-006, 3.3634052E-093, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6426593E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.5055117E+001, 2.0000074E+001, 5.1999998E+000, 1.2897670E-005, 3.2483673E-081, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6025188E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0096864E+001, 2.0000308E+001, 5.1999998E+000, 6.0203674E-005, 6.9138243E-053, 3.6063267E-015, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2279766E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.5035119E+001, 2.0000484E+001, 5.1999998E+000, 1.7440706E-004, 7.5013931E-032, 2.7063239E-014, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6623621E+001, 1.4771249E-002, 0.0000000E+000, 2.0440984E-008, 0.0000000E+000, 0.0000000E+000
 9.0014601E+001, 2.0000816E+001, 5.1999998E+000, 3.9788030E-004, 2.6275148E-027, 1.5107935E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0245276E+001, 9.7680854E+000, 0.0000000E+000, 2.4181578E+000, 0.0000000E+000, 0.0000000E+000
 1.0502918E+002, 2.0001898E+001, 5.1999998E+000, 7.3932966E-004, 3.1484930E-026, 5.9022402E-013, 2.3729244E-014, 0.0000000E+000, 5.3920976E-013, 0.0000000E+000, 0.0000000E+000, 7.1674915E+001, 2.5692102E+001, 0.0000000E+000, 2.1287375E+001, 4.6212589E+000, 0.0000000E+000
 1.2005979E+002, 2.0003271E+001, 5.1999998E+000, 1.2382528E-003, 1.1470603E-025, 3.6727491E-012, 9.4583839E-013, 0.0000000E+000, 4.2558012E-011, 8.4162068E-015, 0.0000000E+000, 7.9706982E+001, 4.4623762E+001, 0.0000000E+000, 3.7634363E+001, 2.1160050E+001, 0.0000000E+000
