s,C,null,m,null,C,C,null,kW/m2,kW/m2,null,C,kW/m2
Time,"HGL_Temp_Low_FDS","HGL_Temp_High_FDS","HGL_Height_Low_FDS","HGL_Height_High_FDS","Temp_Cable_A_FDS","Temp_Cable_B_FDS","Temp_Cable_C_FDS","Flux_Cable_A_FDS","Flux_Cable_B_FDS","Flux_Cable_B_FDS","Temp_Cabinet_FDS","Flux_Cabinet_FDS"
 0.0000000E+000, 1.9999994E+001, 1.9999994E+001, 3.0000000E+000, 9.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001,-2.7973283E-005,-2.8835658E-005,-9.4321219E-005, 2.0000000E+001,-3.7698002E-005
 1.5011961E+001, 2.0001962E+001, 2.0002011E+001, 3.0000000E+000, 9.0000000E+000, 2.0047174E+001, 2.0000414E+001, 2.0000000E+001, 5.1142021E-001, 6.2622453E-003, 6.0367154E-006, 2.0001944E+001, 2.8706101E-003
 3.0013819E+001, 2.0020674E+001, 2.0011019E+001, 3.0000000E+000, 9.0000000E+000, 2.0625112E+001, 2.0008772E+001, 2.0000008E+001, 1.2251691E+000, 4.5145139E-002, 3.4549517E-005, 2.0020339E+001, 1.2705381E-002
 4.5018618E+001, 2.0040363E+001, 2.0023933E+001, 3.0000000E+000, 9.0000000E+000, 2.2056989E+001, 2.0041668E+001, 2.0000048E+001, 2.7037830E+000, 7.5481021E-002, 6.6887130E-005, 2.0062896E+001, 2.3163841E-002
 6.0011222E+001, 2.0057437E+001, 2.0038528E+001, 3.0000000E+000, 9.0000000E+000, 2.4822504E+001, 2.0111543E+001, 2.0000135E+001, 4.1310339E+000, 9.4548269E-002, 1.2449888E-004, 2.0132454E+001, 3.6154283E-002
 7.5018664E+001, 2.0075787E+001, 2.0055857E+001, 3.0000000E+000, 9.0000000E+000, 2.9149384E+001, 2.0220232E+001, 2.0000294E+001, 6.4155524E+000, 1.2418009E-001, 2.5155859E-004, 2.0228756E+001, 4.7509876E-002
 9.0012386E+001, 2.0110676E+001, 2.0073831E+001, 3.0000000E+000, 9.0000000E+000, 3.5309228E+001, 2.0364125E+001, 2.0000612E+001, 1.0596086E+001, 1.7988670E-001, 1.1990471E-003, 2.0375281E+001, 8.5522638E-002
 1.0501088E+002, 2.0154392E+001, 2.0094619E+001, 3.0000000E+000, 9.0000000E+000, 4.4418950E+001, 2.0571263E+001, 2.0002482E+001, 1.6620416E+001, 2.6736686E-001, 1.4112967E-002, 2.0616333E+001, 1.1760679E-001
 1.2000299E+002, 2.0178768E+001, 2.0116307E+001, 3.0000000E+000, 9.0000000E+000, 5.9539868E+001, 2.0893037E+001, 2.0012001E+001, 2.1671811E+001, 4.5227939E-001, 3.4000004E-002, 2.0907791E+001, 1.4287901E-001
 1.3500273E+002, 2.0238856E+001, 2.0139802E+001, 3.0000000E+000, 9.0000000E+000, 7.7743274E+001, 2.1420060E+001, 2.0036060E+001, 2.5741094E+001, 5.3287503E-001, 3.2774386E-002, 2.1263725E+001, 1.7404537E-001
 1.5000479E+002, 2.0255140E+001, 2.0164939E+001, 3.0000000E+000, 9.0000000E+000, 1.0043941E+002, 2.2024367E+001, 2.0064700E+001, 3.1819901E+001, 6.0500269E-001, 3.6918607E-002, 2.1668327E+001, 2.0021417E-001
 1.6500835E+002, 2.0350352E+001, 2.0192684E+001, 3.0000000E+000, 9.0000000E+000, 1.2991118E+002, 2.2689815E+001, 2.0097747E+001, 3.8896120E+001, 7.4944787E-001, 4.2033100E-002, 2.2115196E+001, 2.2922002E-001
 1.8000900E+002, 2.0403367E+001, 2.0221659E+001, 3.0000000E+000, 9.0000000E+000, 1.6398368E+002, 2.3450555E+001, 2.0131739E+001, 4.5785265E+001, 9.9245879E-001, 5.8305386E-002, 2.2670597E+001, 2.8143845E-001
 1.9500694E+002, 2.0573101E+001, 2.0255113E+001, 3.0000000E+000, 9.0000000E+000, 2.0114153E+002, 2.4460868E+001, 2.0175459E+001, 5.1489982E+001, 9.3895817E-001, 7.0313080E-002, 2.3269317E+001, 3.1382636E-001
 2.1000835E+002, 2.2320419E+001, 2.0294404E+001, 2.7900852E+000, 9.0000000E+000, 2.3952959E+002, 2.5501385E+001, 2.0232691E+001, 5.7152981E+001, 1.2723116E+000, 8.8269810E-002, 2.3961932E+001, 3.6278482E-001
 2.2500783E+002, 2.4966570E+001, 2.0326677E+001, 2.5989265E+000, 9.0000000E+000, 2.7619508E+002, 2.6675716E+001, 2.0297930E+001, 6.2483133E+001, 1.2296756E+000, 1.1375403E-001, 2.4731103E+001, 4.3508606E-001
 2.4001340E+002, 2.7715422E+001, 2.0286068E+001, 2.2673295E+000, 9.0000000E+000, 3.1078520E+002, 2.7871053E+001, 2.0377615E+001, 6.6202711E+001, 1.3166981E+000, 1.3266476E-001, 2.5618101E+001, 4.7015645E-001
 2.5500462E+002, 2.9223253E+001, 2.0407749E+001, 2.3385022E+000, 9.0000000E+000, 3.4453867E+002, 2.9112233E+001, 2.0464680E+001, 7.2241710E+001, 1.5994081E+000, 1.3094424E-001, 2.6650177E+001, 5.7045292E-001
 2.7001077E+002, 2.8579090E+001, 2.0421362E+001, 2.1995825E+000, 9.0000000E+000, 3.7545323E+002, 3.0527560E+001, 2.0553573E+001, 7.4290674E+001, 1.3631118E+000, 1.7534299E-001, 2.7790183E+001, 6.1622227E-001
 2.8501786E+002, 3.1839178E+001, 2.0481885E+001, 2.2962357E+000, 9.0000000E+000, 4.0463231E+002, 3.1718928E+001, 2.0665295E+001, 8.7526768E+001, 1.4524877E+000, 1.8465337E-001, 2.9148567E+001, 8.1522471E-001
 3.0000288E+002, 3.3454084E+001, 2.0623118E+001, 2.2593739E+000, 9.0000000E+000, 4.3563533E+002, 3.2896660E+001, 2.0803976E+001, 8.1043125E+001, 1.9871764E+000, 2.3641883E-001, 3.0708446E+001, 8.2988506E-001
 3.1500482E+002, 3.4737119E+001, 2.0763544E+001, 2.3083793E+000, 9.0000000E+000, 4.5702298E+002, 3.4448511E+001, 2.0978110E+001, 8.0608692E+001, 2.1382778E+000, 2.3462670E-001, 3.2192704E+001, 9.7980393E-001
 3.3001092E+002, 3.7478964E+001, 2.0849974E+001, 2.2706562E+000, 9.0000000E+000, 4.7420251E+002, 3.6335912E+001, 2.1140612E+001, 8.1681041E+001, 2.3266604E+000, 2.8955898E-001, 3.4203899E+001, 1.1388695E+000
 3.4500667E+002, 3.7191922E+001, 2.0845678E+001, 2.2756937E+000, 9.0000000E+000, 4.9161736E+002, 3.8293068E+001, 2.1311098E+001, 7.5994381E+001, 2.6197104E+000, 3.1977255E-001, 3.6105423E+001, 1.1656188E+000
 3.6000948E+002, 3.9994829E+001, 2.0965783E+001, 2.2469853E+000, 9.0000000E+000, 5.0429256E+002, 4.0400007E+001, 2.1525548E+001, 8.5207857E+001, 2.7524642E+000, 2.9779542E-001, 3.8428258E+001, 1.4268137E+000
 3.7501402E+002, 3.9723757E+001, 2.1156017E+001, 2.2812473E+000, 9.0000000E+000, 5.1826405E+002, 4.2735690E+001, 2.1713436E+001, 7.4453859E+001, 3.4722554E+000, 3.4544015E-001, 4.0714787E+001, 1.5186893E+000
 3.9001838E+002, 4.3543590E+001, 2.1246939E+001, 2.2861266E+000, 9.0000000E+000, 5.2764495E+002, 4.5515540E+001, 2.1935224E+001, 7.8001701E+001, 3.4199451E+000, 4.3175223E-001, 4.3576026E+001, 1.7584042E+000
 4.0500276E+002, 4.4404080E+001, 2.1591334E+001, 2.2831850E+000, 8.5544382E+000, 5.3540691E+002, 4.8361793E+001, 2.2213775E+001, 7.1324607E+001, 4.2528830E+000, 4.4058555E-001, 4.6376465E+001, 2.1453457E+000
 4.2001837E+002, 4.6637293E+001, 2.4001014E+001, 2.2266273E+000, 5.0649534E+000, 5.3854825E+002, 5.1534549E+001, 2.2496472E+001, 7.5656043E+001, 3.8355642E+000, 4.6603114E-001, 4.9697371E+001, 2.1427146E+000
 4.3500471E+002, 4.9749328E+001, 2.7103373E+001, 2.2200233E+000, 2.0698006E+000, 5.4284882E+002, 5.4986485E+001, 2.2792983E+001, 7.9673585E+001, 5.5851706E+000, 5.1220193E-001, 5.3686416E+001, 2.5209326E+000
 4.5000110E+002, 5.1560947E+001, 2.7392391E+001, 2.2906367E+000, 2.0287142E+000, 5.5105329E+002, 5.9130183E+001, 2.3097170E+001, 7.4342351E+001, 5.4390737E+000, 5.1878429E-001, 5.7989050E+001, 2.7359664E+000
 4.6500833E+002, 5.3322549E+001, 2.8044587E+001, 2.2252261E+000, 1.7552130E+000, 5.5819313E+002, 6.3200058E+001, 2.3369936E+001, 7.4429061E+001, 5.3755927E+000, 6.0763048E-001, 6.2981588E+001, 3.1974377E+000
 4.8001399E+002, 5.7543994E+001, 2.8837065E+001, 2.2683746E+000, 1.9339509E+000, 5.6432265E+002, 6.7099114E+001, 2.3698704E+001, 7.5695967E+001, 5.4382272E+000, 6.5184937E-001, 6.8849791E+001, 3.7597292E+000
 4.9500284E+002, 5.8382552E+001, 2.9428691E+001, 2.2370457E+000, 1.6973562E+000, 5.6787376E+002, 7.0800161E+001, 2.4100418E+001, 7.3557281E+001, 5.0042579E+000, 7.2544063E-001, 7.4674335E+001, 3.6498767E+000
 5.1000201E+002, 5.9402891E+001, 3.0036946E+001, 2.2357379E+000, 1.7721313E+000, 5.6978222E+002, 7.4135078E+001, 2.4485141E+001, 7.9001103E+001, 5.7219037E+000, 7.1511287E-001, 8.0253720E+001, 4.0608220E+000
 5.2500406E+002, 5.8441671E+001, 3.0658304E+001, 2.1853218E+000, 1.6050815E+000, 5.7364589E+002, 7.7769569E+001, 2.4910470E+001, 7.5339506E+001, 5.7831640E+000, 8.1309852E-001, 8.6284757E+001, 4.4841597E+000
 5.4001897E+002, 6.1293962E+001, 3.1518874E+001, 2.2203817E+000, 1.6824272E+000, 5.7710366E+002, 8.1663737E+001, 2.5394283E+001, 7.5977291E+001, 5.9341615E+000, 8.3451179E-001, 9.2586183E+001, 4.3759910E+000
 5.5500248E+002, 6.7321806E+001, 3.2440822E+001, 2.1978039E+000, 1.4298837E+000, 5.7904755E+002, 8.5254542E+001, 2.5882504E+001, 7.3796123E+001, 5.6268899E+000, 9.5656335E-001, 9.7459545E+001, 4.1680002E+000
 5.7002254E+002, 7.1222184E+001, 3.3069711E+001, 2.2266274E+000, 1.5736352E+000, 5.7819412E+002, 8.8641913E+001, 2.6403870E+001, 7.4854419E+001, 7.6108838E+000, 9.3426142E-001, 1.0283032E+002, 4.8636635E+000
 5.8500763E+002, 6.8502734E+001, 3.3875807E+001, 2.1792687E+000, 1.4264614E+000, 5.7718365E+002, 9.2706358E+001, 2.6930329E+001, 7.4412260E+001, 5.9555209E+000, 9.3274110E-001, 1.0797133E+002, 4.7732916E+000
 6.0001804E+002, 8.1231511E+001, 3.4373277E+001, 2.3046180E+000, 1.4202951E+000, 5.7392276E+002, 9.6182513E+001, 2.7442847E+001, 7.6145234E+001, 5.8970367E+000, 1.1137172E+000, 1.1305936E+002, 4.8728126E+000
 6.1500866E+002, 8.0428051E+001, 3.5577170E+001, 2.2763071E+000, 1.5235957E+000, 5.7133913E+002, 9.9319122E+001, 2.7996150E+001, 7.2219437E+001, 6.1553141E+000, 1.0880113E+000, 1.1822002E+002, 5.2106162E+000
 6.3001326E+002, 8.6696482E+001, 3.6227553E+001, 2.2865545E+000, 1.4636522E+000, 5.6980690E+002, 1.0266105E+002, 2.8544159E+001, 7.4388639E+001, 7.9507728E+000, 1.2221296E+000, 1.2418436E+002, 6.3825847E+000
 6.4500986E+002, 8.3893421E+001, 3.7187203E+001, 2.1945298E+000, 1.3707373E+000, 5.7132432E+002, 1.0680104E+002, 2.9148447E+001, 7.3690416E+001, 6.2857008E+000, 1.2843479E+000, 1.3051555E+002, 6.2016462E+000
 6.6001783E+002, 8.4529720E+001, 3.8019422E+001, 2.1558000E+000, 1.3495289E+000, 5.7377789E+002, 1.1048897E+002, 2.9821356E+001, 7.5221051E+001, 7.1662625E+000, 1.4347202E+000, 1.3744245E+002, 6.7267148E+000
 6.7501739E+002, 9.8081633E+001, 3.8705887E+001, 2.2533634E+000, 1.2775272E+000, 5.7449107E+002, 1.1430105E+002, 3.0585231E+001, 7.3179181E+001, 6.6960404E+000, 1.3087759E+000, 1.4385933E+002, 6.9972857E+000
 6.9001046E+002, 9.8644691E+001, 3.9749921E+001, 2.2012889E+000, 1.2170967E+000, 5.7387506E+002, 1.1766883E+002, 3.1281300E+001, 7.1693667E+001, 7.3269992E+000, 1.4279302E+000, 1.4893177E+002, 6.7055666E+000
 7.0501669E+002, 1.0062953E+002, 4.0929248E+001, 2.2187571E+000, 1.2614404E+000, 5.7601618E+002, 1.2139346E+002, 3.1977845E+001, 7.5664427E+001, 8.1265355E+000, 1.5621445E+000, 1.5671970E+002, 9.2730406E+000
 7.2001015E+002, 1.0382359E+002, 4.1791362E+001, 2.1814262E+000, 1.1631147E+000, 5.8348148E+002, 1.2546671E+002, 3.2700174E+001, 7.4581924E+001, 7.4842244E+000, 1.5553098E+000, 1.6467393E+002, 7.7339441E+000
 7.3501774E+002, 1.0218101E+002, 4.2857602E+001, 2.1206907E+000, 1.1632323E+000, 5.8878249E+002, 1.2930135E+002, 3.3416234E+001, 7.1488680E+001, 9.4377907E+000, 1.6020123E+000, 1.6972248E+002, 8.1533719E+000
 7.5000654E+002, 1.0496264E+002, 4.3574607E+001, 2.1567987E+000, 1.0868169E+000, 5.9370008E+002, 1.3387237E+002, 3.4141155E+001, 7.1552144E+001, 8.2648166E+000, 1.7102713E+000, 1.7426848E+002, 7.6141998E+000
 7.6500012E+002, 1.0609651E+002, 4.4519215E+001, 2.1339415E+000, 1.1562434E+000, 5.9837367E+002, 1.3777363E+002, 3.4952646E+001, 7.3590411E+001, 8.2846683E+000, 1.8544201E+000, 1.7739826E+002, 7.3178452E+000
 7.8002284E+002, 1.0201577E+002, 4.5781611E+001, 2.0736936E+000, 1.0596766E+000, 6.0339721E+002, 1.4126122E+002, 3.5845774E+001, 7.2687198E+001, 8.8483027E+000, 1.9678243E+000, 1.8225274E+002, 9.2562255E+000
 7.9500520E+002, 1.0677742E+002, 4.6234710E+001, 2.0887399E+000, 1.0153142E+000, 6.0858424E+002, 1.4449703E+002, 3.6728849E+001, 7.4350332E+001, 7.7890032E+000, 1.8151232E+000, 1.8616943E+002, 8.1668941E+000
 8.1001349E+002, 9.9852949E+001, 4.7048135E+001, 2.0226973E+000, 1.0313028E+000, 6.1395997E+002, 1.4737888E+002, 3.7491094E+001, 7.4080965E+001, 9.1295090E+000, 1.8936084E+000, 1.8976212E+002, 8.9161747E+000
 8.2500886E+002, 1.0191283E+002, 4.7606803E+001, 2.0535428E+000, 9.2422349E-001, 6.2081158E+002, 1.5062692E+002, 3.8245877E+001, 7.4570640E+001, 8.6895655E+000, 1.9742514E+000, 1.9434348E+002, 9.2046709E+000
 8.4000693E+002, 1.0289782E+002, 4.8374334E+001, 2.0277427E+000, 8.9547501E-001, 6.2601857E+002, 1.5377949E+002, 3.9009993E+001, 7.4902486E+001, 8.6893062E+000, 1.9016445E+000, 1.9768284E+002, 9.1724878E+000
 8.5500318E+002, 9.9842041E+001, 4.8994866E+001, 1.9798565E+000, 9.1015424E-001, 6.3079040E+002, 1.5686192E+002, 3.9771143E+001, 7.3593480E+001, 9.3010488E+000, 1.9636180E+000, 2.0102993E+002, 8.0369215E+000
 8.7001301E+002, 1.0488997E+002, 4.9671444E+001, 2.0148113E+000, 8.6528565E-001, 6.3394566E+002, 1.5976612E+002, 4.0536376E+001, 7.4724392E+001, 9.7684478E+000, 1.9702218E+000, 2.0035882E+002, 8.1242423E+000
 8.8500790E+002, 1.0016851E+002, 4.9980774E+001, 1.9617000E+000, 8.6395912E-001, 6.3800914E+002, 1.6243121E+002, 4.1269193E+001, 7.4044999E+001, 9.4000622E+000, 2.0711647E+000, 2.0128490E+002, 8.0001237E+000
 9.0000583E+002, 1.0184281E+002, 5.0800656E+001, 1.9526333E+000, 9.4584509E-001, 6.4116801E+002, 1.6504097E+002, 4.2064888E+001, 7.2321748E+001, 1.0586339E+001, 2.0865556E+000, 2.0016633E+002, 7.2376214E+000
 9.1500821E+002, 1.0175341E+002, 5.0669611E+001, 1.9349753E+000, 8.3302280E-001, 6.4343687E+002, 1.6762630E+002, 4.2805909E+001, 7.3680444E+001, 9.2463482E+000, 2.0498430E+000, 1.9944113E+002, 7.8025929E+000
