s,C,C,C,C,C,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,kW/m2,kW/m2,kW/m2
Time,"Temp_Cable_1_FDS","Temp_Cable_2_FDS","Temp_Cable_3_FDS","Temp_Cable_4_FDS","Temp_Cable_5_FDS","Temp_Cable_6_FDS","Smoke1","Smoke2","Smoke3","Smoke4","Smoke5","Smoke6","Smoke7","Smoke8","Smoke9","Smoke10","Smoke11","Smoke12","Smoke13","Smoke14","HGL_Temp_FDS","HGL_Height_FDS","Flux_Cable_1_FDS","Flux_Cable_A_FDS","Flux_Cable_B_FDS"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9999994E+001, 4.0000000E+000,-4.3503091E-004,-3.6379100E-004,-2.7147319E-004
 1.5020819E+001, 1.9999998E+001, 1.9999999E+001, 1.9999998E+001, 1.9999999E+001, 1.9999998E+001, 1.9999998E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9999791E+001, 4.0000000E+000, 8.4954374E-006,-8.8253734E-007,-1.1072133E-007
 3.0041638E+001, 2.0000022E+001, 2.0000005E+001, 2.0000008E+001, 2.0000055E+001, 2.0000064E+001, 2.0000390E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9999779E+001, 4.0000000E+000, 2.8659064E-004, 7.2596038E-005, 1.0417109E-003
 4.5001387E+001, 2.0003497E+001, 2.0001579E+001, 2.0001338E+001, 2.0002775E+001, 2.0004323E+001, 2.0009796E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4336706E-013, 1.7836324E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000117E+001, 4.0000000E+000, 2.4132113E-003, 2.0743733E-003, 5.7475565E-003
 6.0008065E+001, 2.0021806E+001, 2.0014838E+001, 2.0014935E+001, 2.0010287E+001, 2.0026034E+001, 2.0049067E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5651554E-001, 9.6309469E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000542E+001, 4.0000000E+000, 7.4011562E-003, 4.6547393E-003, 1.4383582E-002
 7.5023102E+001, 2.0073655E+001, 2.0042810E+001, 2.0046134E+001, 2.0028782E+001, 2.0077224E+001, 2.0126396E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9831821E+000, 2.5570324E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000786E+001, 4.0000000E+000, 1.2447318E-002, 7.5737334E-003, 2.2142440E-002
 9.0034394E+001, 2.0164274E+001, 2.0104436E+001, 2.0092912E+001, 2.0062930E+001, 2.0158764E+001, 2.0245068E+001, 0.0000000E+000, 0.0000000E+000, 2.7771538E-015, 4.2673016E+000, 4.2585468E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0001194E+001, 4.0000000E+000, 2.1416189E-002, 1.1047222E-002, 3.5573197E-002
 1.0500491E+002, 2.0300131E+001, 2.0186067E+001, 2.0157772E+001, 2.0121506E+001, 2.0272430E+001, 2.0424490E+001, 0.0000000E+000, 0.0000000E+000, 1.2211460E+000, 6.4305082E+000, 6.3379786E+000, 0.0000000E+000, 0.0000000E+000, 5.0406004E-008, 3.3349424E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0002648E+001, 4.0000000E+000, 2.5327300E-002, 1.5028244E-002, 4.3678260E-002
 1.2000225E+002, 2.0447098E+001, 2.0261407E+001, 2.0228376E+001, 2.0210647E+001, 2.0421938E+001, 2.0659798E+001, 0.0000000E+000, 0.0000000E+000, 3.9837311E+000, 8.8980134E+000, 8.8259148E+000, 0.0000000E+000, 0.0000000E+000, 3.9331342E-003, 4.0556220E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0004557E+001, 4.0000000E+000, 2.8541622E-002, 1.9350443E-002, 6.6375007E-002
