s,C,m,kW/m2,1/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m,%/m
Time,"HGL_Temp_FDS","HGL_Height_FDS","Heat_Flux_FDS","OD_FDS","Smoke1","Smoke2","Smoke3","Smoke4","Smoke5","Smoke6","Smoke7","Smoke8","Smoke9","Smoke10","Smoke11","Smoke12"
 0.0000000E+000, 1.9999994E+001, 5.1999998E+000,-3.1448305E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5004127E+001, 2.0011580E+001, 5.1999998E+000,-3.9816381E-005, 6.8993283E-032, 8.7331506E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4197718E-016, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000695E+001, 2.0035433E+001, 5.1999998E+000, 5.1798302E-005, 2.0238249E-014, 4.0673018E-001, 1.2485336E-015, 0.0000000E+000, 5.8464270E-014, 0.0000000E+000, 0.0000000E+000, 8.8070116E-002, 4.0335400E-007, 0.0000000E+000, 1.0903292E-010, 0.0000000E+000, 0.0000000E+000
 4.5007362E+001, 2.0037289E+001, 5.1999998E+000, 7.8039072E-005, 1.5922034E-006, 7.0863189E-001, 2.2961026E-005, 6.2945013E-014, 2.0702916E-004, 8.3215938E-011, 3.0631995E-016, 2.4174018E+000, 3.7905135E-004, 7.0162210E-014, 2.9240121E-002, 2.4382126E-011, 4.5723855E-015
 6.0003930E+001, 2.0036520E+001, 5.1999998E+000, 1.0222779E-004, 4.7271758E-004, 1.8123575E+000, 8.9034747E-004, 8.2149712E-007, 1.0790055E-001, 6.0776995E-006, 7.8756625E-009, 1.0796054E+001, 1.9913560E-003, 2.6602654E-007, 2.6168691E-001, 3.2408630E-005, 5.5877585E-011
 7.5000498E+001, 2.0035714E+001, 5.1999998E+000, 1.8579195E-004, 8.8788583E-004, 2.8345763E+000, 1.8507080E-002, 5.3429757E-005, 5.9355397E-001, 1.5439421E-003, 1.4742210E-004, 1.4819238E+001, 2.0342233E-002, 1.3182353E-004, 5.3636358E-001, 3.3533675E-003, 5.4624601E-007
 9.0007165E+001, 2.0041255E+001, 5.1999998E+000, 2.7091394E-004, 1.4021857E-004, 5.2230996E+000, 2.1687321E-002, 3.0543606E-004, 3.8969568E+000, 9.3652034E-003, 1.5677657E-003, 3.0830995E+001, 1.4318587E-001, 7.1369007E-004, 2.2765422E+000, 1.3394906E-002, 2.4731367E-004
 1.0500373E+002, 2.0041394E+001, 5.1999998E+000, 5.0132900E-004, 7.0236307E-004, 4.8741030E+000, 1.4191568E-001, 1.2845796E-003, 3.2900387E+000, 2.3193016E-002, 7.6195048E-003, 4.8971841E+001, 1.0234632E-001, 1.7033087E-003, 3.0893633E+000, 3.2726807E-002, 1.6360806E-003
 1.2000030E+002, 2.0040988E+001, 5.1999998E+000, 7.1923767E-004, 4.0921629E-004, 5.3832699E+000, 3.1084129E-001, 5.6284937E-003, 5.7992047E+000, 1.3282056E-001, 2.5323926E-002, 5.4927959E+001, 6.0344091E-002, 6.4039961E-003, 1.5519127E+001, 1.5663921E-001, 5.9824396E-003
