s,C,kW/m2,C
Time,"Max_Cable_Temp_FDS","Max_Heat_Flux_FDS","Link_Temp_FDS"
 0.0000000E+000, 3.5000000E+001,-8.5446662E-006, 3.5000000E+001
 1.5012930E+001, 3.5000931E+001, 2.2661985E-003, 3.5000000E+001
 3.0004853E+001, 3.5028087E+001, 2.4590648E-002, 3.5001166E+001
 4.5022166E+001, 3.5149449E+001, 5.9729657E-002, 3.5063182E+001
 6.0025961E+001, 3.5382063E+001, 1.0353164E-001, 3.5268615E+001
 7.5018140E+001, 3.5738525E+001, 1.5798051E-001, 3.5791835E+001
 9.0019270E+001, 3.6230470E+001, 2.2093565E-001, 3.6487650E+001
 1.0501040E+002, 3.6865535E+001, 2.9019448E-001, 3.7161312E+001
 1.2002011E+002, 3.7656273E+001, 3.6895007E-001, 3.7870281E+001
 1.3502369E+002, 3.8606416E+001, 4.5759382E-001, 3.8627672E+001
 1.5000984E+002, 3.9714884E+001, 5.4010522E-001, 3.9555767E+001
 1.6501000E+002, 4.0969565E+001, 6.3151430E-001, 4.0548002E+001
 1.8001015E+002, 4.2354220E+001, 7.1391408E-001, 4.1421437E+001
 1.9501475E+002, 4.3845952E+001, 7.9873517E-001, 4.2538596E+001
 2.1001044E+002, 4.5421906E+001, 8.6541494E-001, 4.3956229E+001
 2.2501736E+002, 4.7037537E+001, 9.2748551E-001, 4.4992649E+001
 2.4000331E+002, 4.8659867E+001, 9.7769495E-001, 4.6105645E+001
 2.5500778E+002, 5.0311813E+001, 1.0324534E+000, 4.7381573E+001
 2.7001544E+002, 5.2070824E+001, 1.1040830E+000, 4.8686890E+001
 2.8500453E+002, 5.3873633E+001, 1.1714587E+000, 4.9985766E+001
 3.0001658E+002, 5.5637763E+001, 1.1840960E+000, 5.1221343E+001
 3.1500275E+002, 5.7347745E+001, 1.2402267E+000, 5.1641452E+001
 3.3000678E+002, 5.9205983E+001, 1.3115736E+000, 5.2409142E+001
 3.4501081E+002, 6.1150598E+001, 1.3812417E+000, 5.4047545E+001
 3.6001223E+002, 6.3031122E+001, 1.4133513E+000, 5.5303049E+001
 3.7501644E+002, 6.4941077E+001, 1.4758206E+000, 5.5877600E+001
 3.9001346E+002, 6.6805990E+001, 1.5118606E+000, 5.7527642E+001
 4.0500880E+002, 6.8828605E+001, 1.5499295E+000, 5.8968999E+001
 4.2001547E+002, 7.0804305E+001, 1.6120643E+000, 6.1194306E+001
 4.3501317E+002, 7.2783444E+001, 1.6734139E+000, 6.2818562E+001
 4.5001407E+002, 7.4837112E+001, 1.7356953E+000, 6.3776338E+001
 4.6501547E+002, 7.6870494E+001, 1.7731763E+000, 6.4731616E+001
 4.8000912E+002, 7.8678702E+001, 1.7249279E+000, 6.5874498E+001
 4.9500395E+002, 8.0518989E+001, 1.7382767E+000, 6.6701589E+001
 5.1000962E+002, 8.2190212E+001, 1.7140048E+000, 6.8379554E+001
 5.2500047E+002, 8.3736622E+001, 1.7451946E+000, 6.9872051E+001
 5.4000585E+002, 8.5267743E+001, 1.7482558E+000, 7.0191206E+001
 5.5501120E+002, 8.6572140E+001, 1.7334705E+000, 7.1073259E+001
 5.7000003E+002, 8.7951308E+001, 1.7961270E+000, 7.2386044E+001
 5.8500038E+002, 8.9203602E+001, 1.7899671E+000, 7.2843440E+001
 6.0000469E+002, 9.0438752E+001, 1.7721537E+000, 7.2665550E+001
 6.1500223E+002, 9.1557414E+001, 1.7655592E+000, 7.3615089E+001
 6.3001173E+002, 9.2882150E+001, 1.8413051E+000, 7.5342568E+001
 6.4501175E+002, 9.4138900E+001, 1.8095622E+000, 7.5917859E+001
 6.6001375E+002, 9.5160581E+001, 1.7412405E+000, 7.6427494E+001
 6.7500833E+002, 9.6082978E+001, 1.7630564E+000, 7.6334401E+001
 6.9001247E+002, 9.7050186E+001, 1.8082421E+000, 7.7139715E+001
 7.0500574E+002, 9.8097560E+001, 1.8460802E+000, 7.6891892E+001
 7.2000124E+002, 9.9140311E+001, 1.8678386E+000, 7.6052646E+001
 7.3500010E+002, 1.0016850E+002, 1.7866085E+000, 7.6762052E+001
 7.5000533E+002, 1.0103501E+002, 1.7790443E+000, 7.7182672E+001
 7.6501025E+002, 1.0190487E+002, 1.7784763E+000, 7.6605223E+001
 7.8000879E+002, 1.0277410E+002, 1.8418121E+000, 7.6490193E+001
 7.9501568E+002, 1.0365132E+002, 1.8000085E+000, 7.6560818E+001
 8.1000718E+002, 1.0452741E+002, 1.9405214E+000, 7.6748547E+001
 8.2500664E+002, 1.0542853E+002, 1.8574580E+000, 7.6537602E+001
 8.4001426E+002, 1.0615447E+002, 1.8357374E+000, 7.6394025E+001
 8.5501168E+002, 1.0694367E+002, 1.9180027E+000, 7.5805909E+001
 8.7001458E+002, 1.0759522E+002, 1.8823951E+000, 7.6469675E+001
 8.8500621E+002, 1.0821953E+002, 1.8553162E+000, 7.6504966E+001
 9.0000799E+002, 1.0873188E+002, 1.8374875E+000, 7.7260135E+001
 9.1500609E+002, 1.0908915E+002, 1.8075587E+000, 7.7626750E+001
 9.3000134E+002, 1.0952115E+002, 1.8488773E+000, 7.7259356E+001
 9.4500811E+002, 1.1043575E+002, 1.9399456E+000, 7.6927876E+001
 9.6001403E+002, 1.1112668E+002, 1.9423421E+000, 7.7004557E+001
 9.7500897E+002, 1.1181129E+002, 1.9213096E+000, 7.7897187E+001
 9.9000166E+002, 1.1238107E+002, 1.8674715E+000, 7.9213504E+001
 1.0050018E+003, 1.1288853E+002, 1.8493045E+000, 8.0236136E+001
 1.0200041E+003, 1.1324165E+002, 1.9343550E+000, 8.0623454E+001
 1.0350087E+003, 1.1373258E+002, 1.9517836E+000, 8.1566338E+001
 1.0500041E+003, 1.1444518E+002, 1.9302820E+000, 8.1410613E+001
 1.0650165E+003, 1.1494652E+002, 1.8794091E+000, 8.0964528E+001
 1.0800128E+003, 1.1527727E+002, 1.8813992E+000, 8.1163212E+001
 1.0950092E+003, 1.1516784E+002, 1.8487998E+000, 8.1677836E+001
 1.1100009E+003, 1.1542059E+002, 1.9187037E+000, 8.1063702E+001
 1.1250114E+003, 1.1619390E+002, 1.8811814E+000, 8.0683862E+001
 1.1400101E+003, 1.1654683E+002, 1.8799464E+000, 8.1255820E+001
 1.1550154E+003, 1.1685322E+002, 1.9468760E+000, 8.0680087E+001
 1.1700006E+003, 1.1745686E+002, 2.0259878E+000, 8.0681684E+001
 1.1850033E+003, 1.1805036E+002, 1.9489198E+000, 8.1371249E+001
 1.2000043E+003, 1.1854304E+002, 1.9566405E+000, 8.1613904E+001
 1.2150062E+003, 1.1883256E+002, 1.8774632E+000, 8.2026416E+001
 1.2300169E+003, 1.1931561E+002, 2.0018852E+000, 8.2904246E+001
 1.2450001E+003, 1.1953256E+002, 1.8757454E+000, 8.2318355E+001
 1.2600123E+003, 1.1948076E+002, 1.9306880E+000, 8.1702368E+001
 1.2750053E+003, 1.1975921E+002, 1.9483553E+000, 8.1199372E+001
 1.2900028E+003, 1.2010576E+002, 1.9903562E+000, 8.0353191E+001
 1.3050125E+003, 1.2045860E+002, 1.9181964E+000, 8.0752697E+001
 1.3200057E+003, 1.2079548E+002, 2.0252727E+000, 8.2250766E+001
 1.3350093E+003, 1.2105214E+002, 2.0723713E+000, 8.2322537E+001
