x,Kv
303.372,0.425576
320.784,0.426516
338.197,0.427455
353.868,0.428392
367.825,0.422934
381.782,0.417476
395.739,0.412018
409.696,0.40656
420.173,0.400183
432.397,0.392896
444.616,0.386521
455.098,0.379232
467.317,0.372857
477.799,0.365567
490.018,0.359193
502.241,0.351906
512.719,0.345529
524.942,0.338242
535.42,0.331865
547.639,0.325491
559.863,0.318204
572.082,0.31183
582.56,0.305453
596.525,0.298168
608.744,0.291794
620.963,0.28542
633.179,0.279959
645.398,0.273585
659.359,0.267214
671.574,0.261753
685.531,0.256295
699.492,0.249923
711.708,0.244462
725.665,0.239004
739.622,0.233546
753.579,0.228088
767.536,0.222629
781.489,0.218084
795.446,0.212626
811.14,0.208084
825.097,0.202626
840.792,0.198083
854.745,0.193538
870.44,0.188996
886.134,0.184454
900.087,0.179909
915.782,0.175366
931.473,0.171737
947.164,0.168108
962.858,0.163566
978.549,0.159937
994.244,0.155395
1009.93,0.151766
1025.62,0.148136
1041.32,0.144507
1057.01,0.140878
1074.44,0.137252
1090.13,0.133623
1105.82,0.130907
1121.51,0.127278
1138.94,0.124565
1154.63,0.120936
1172.05,0.118222
1187.74,0.115506
1203.43,0.112791
1220.86,0.110077
1236.55,0.106448
1253.97,0.104648
1269.66,0.101933
1287.09,0.0992193
1302.77,0.0965035
1320.2,0.0947035
1335.88,0.0919876
1353.31,0.0901877
1369,0.0874718
1386.42,0.0856719
1403.84,0.0838719
1419.53,0.0811561
1435.21,0.0793534
1452.64,0.0775535
1470.06,0.0757535
1485.74,0.0739509
1503.17,0.0721509
