x,Methanol,Toluene
292.208,0.000395639,0.000243301
301.299,0.000395969,0.000257283
305.195,0.000396111,0.000254732
311.688,0.000396347,0.000250537
318.182,0.000396583,0.000248397
324.675,0.000398643,0.000246276
331.169,0.000400715,0.000243923
336.364,0.00040238,0.000242058
344.156,0.00040489,0.000234039
346.753,0.000404986,0.000231426
357.143,0.000405373,0.000238111
367.532,0.000402464,0.000227652
368.831,0.000402102,0.000227471
380.519,0.000399223,0.000225842
381.818,0.000398905,0.000225409
392.208,0.000389636,0.000221975
393.506,0.000388493,0.000219302
396.104,0.000388585,0.000214053
406.494,0.000388956,0.000222266
416.883,0.000382249,0.000210563
416.883,0.000382249,0.000210563
429.87,0.000375747,0.000210814
441.558,0.000369311,0.000207203
441.558,0.000369311,0.000207203
446.753,0.000366487,0.000199833
453.247,0.000362986,0.000203421
457.143,0.000363116,0.000205605
466.234,0.000363419,0.000199274
467.532,0.000361799,0.000198386
476.623,0.000350659,0.00019714
479.221,0.000348604,0.000196785
488.312,0.000341506,0.000195689
492.208,0.000338121,0.000195221
498.701,0.000332553,0.000193928
511.688,0.000332949,0.000191367
516.883,0.000328556,0.000190352
522.078,0.00032422,0.00018905
529.87,0.000318553,0.000187114
533.766,0.000315757,0.000186609
541.558,0.000305298,0.000185604
544.156,0.000301889,0.000185138
555.844,0.000304998,0.000183056
567.532,0.000297037,0.000180997
579.221,0.000289283,0.000179701
580.519,0.000288435,0.000179558
590.909,0.000281733,0.000178415
593.506,0.000280653,0.00017813
602.597,0.000276907,0.000177011
615.584,0.000277237,0.000175425
616.883,0.000275685,0.000175267
625.974,0.000265061,0.000174291
629.87,0.000263539,0.000173874
637.662,0.000260521,0.000173043
642.857,0.000257083,0.000172491
648.052,0.000253691,0.000171908
661.039,0.000253993,0.000170459
667.532,0.00024757,0.000169739
670.13,0.000245046,0.000169468
680.519,0.000239939,0.00016839
683.117,0.000238679,0.000168121
693.506,0.000230298,0.000167051
706.494,0.000230573,0.000165554
716.883,0.000224528,0.000164366
728.571,0.000220682,0.000163189
729.87,0.000220102,0.000163059
741.558,0.000214948,0.000160267
753.247,0.000211266,0.00015905
766.234,0.000211518,0.00015771
775.325,0.000202204,0.000156831
779.221,0.000201166,0.000156456
788.312,0.000198765,0.000155584
792.208,0.000196794,0.000155212
798.701,0.000193553,0.000154184
811.688,0.000193784,0.000152147
816.883,0.000190352,0.000151341
822.078,0.00018698,0.000150858
829.87,0.000185066,0.000150137
835.065,0.0001838,0.000149659
842.857,0.000178938,0.000148944
845.455,0.000177347,0.000148524
857.143,0.000177537,0.000146652
866.234,0.000173457,0.000145212
867.532,0.000172882,0.000145096
879.221,0.000169921,0.000144057
890.909,0.000163975,0.000143026
892.208,0.000163894,0.000142912
910.39,0.000162768,0.000140277
916.883,0.000160088,0.000139347
920.779,0.000158501,0.000138632
929.87,0.000155273,0.000136977
932.468,0.000154363,0.000136651
963.636,0.000149228,0.000132799
966.234,0.0001479,0.000132483
974.026,0.000143988,0.00013185
979.221,0.000142887,0.00013143
985.714,0.000141522,0.000130472
1016.88,0.000134327,0.000125972
1029.87,0.000132042,0.000124971
1029.87,0.000132042,0.000124971
1081.82,0.000118843,0.000118843
1093.51,0.000115741,0.000115741
1093.51,0.000115741,0.000115741
1106.49,0.000115879,0.000115879
1116.88,0.000113881,0.000113881
1116.88,0.000113881,0.000113881
1129.87,0.000111943,0.000111943
1144.16,0.000107065,0.000107065
1144.16,0.000107065,0.000107065
1155.84,0.000108168,0.000108168
1167.53,0.000106315,0.000106315
1167.53,0.000106315,0.000106315
1216.88,0.000101078,0.000101078
1229.87,9.93587e-05,9.93587e-05
1229.87,9.93587e-05,9.93587e-05
1267.53,8.93095e-05,9.43631e-05
1279.22,8.69784e-05,9.36876e-05
1280.52,8.69001e-05,9.36128e-05
1290.91,8.62766e-05,9.24821e-05
1316.88,8.26052e-05,8.97148e-05
1328.57,8.11904e-05,8.83402e-05
1329.87,8.09769e-05,8.81887e-05
1341.56,7.90806e-05,8.66784e-05
1367.53,7.57155e-05,8.37547e-05
1367.53,7.57155e-05,8.37547e-05
1380.52,7.44276e-05,8.30888e-05
1390.91,7.24762e-05,8.18227e-05
1392.21,7.22359e-05,8.16658e-05
