T (K),T (C),Normalized Mass (1-M/M0),Normalized Mass (M/M0)
3.16654E2,4.35048E+01,1.752823E-2,0.9824718
3.27926E2,5.47765E+01,1.844962E-2,0.9815504
3.16164E2,4.30147E+01,3.096409E-2,0.9690359
3.26946E2,5.37963E+01,3.098858E-2,0.9690114
3.31357E2,5.82070E+01,3.099859E-2,0.9690014
3.44589E2,7.14390E+01,5.521520E-2,0.9447848
3.48019E2,7.48695E+01,6.507678E-2,0.9349232
3.54880E2,8.17306E+01,5.971756E-2,0.9402824
3.61251E2,8.81015E+01,5.704463E-2,0.9429554
3.63701E2,9.05519E+01,7.048718E-2,0.9295128
3.65172E2,9.20221E+01,8.751069E-2,0.9124893
3.60271E2,8.71214E+01,9.108276E-2,0.9089172
3.61251E2,8.81015E+01,1.107925E-1,0.8892074
3.68602E2,9.54526E+01,1.099134E-1,0.8900865
3.76933E2,1.03784E+02,8.037101E-2,0.9196290
3.87225E2,1.14075E+02,8.935236E-2,0.9106476
3.88205E2,1.15056E+02,1.108537E-1,0.8891462
3.91146E2,1.17996E+02,1.189226E-1,0.8810774
4.13199E2,1.40049E+02,9.030714E-2,0.9096929
4.08788E2,1.35639E+02,1.117962E-1,0.8882037
4.12709E2,1.39559E+02,1.180757E-1,0.8819242
4.23490E2,1.50341E+02,1.172044E-1,0.8827955
4.14669E2,1.41520E+02,1.297256E-1,0.8702744
4.10258E2,1.37109E+02,1.413609E-1,0.8586390
4.33292E2,1.60142E+02,1.234973E-1,0.8765027
4.41623E2,1.68474E+02,1.315784E-1,0.8684216
4.31822E2,1.58672E+02,1.423057E-1,0.8576942
4.54855E2,1.81706E+02,1.396706E-1,0.8603293
4.53875E2,1.80726E+02,1.611676E-1,0.8388324
4.59266E2,1.86116E+02,1.719294E-1,0.8280706
4.57306E2,1.84156E+02,1.996947E-1,0.8003053
4.58776E2,1.85626E+02,2.203014E-1,0.7796986
4.55835E2,1.82686E+02,2.310443E-1,0.7689556
