mpuv,rad
0.00,47.42
0.10,36.76
0.20,28.50
0.30,22.09
0.40,17.13
0.50,13.28
0.60,10.29
0.70,7.98
0.80,6.19
0.90,4.80
1.00,3.72
1.10,2.88
1.20,2.23
1.30,1.73
1.40,1.34
1.50,1.04
1.60,0.81
