Time,T_A,T_B
0.00,20.00,20.00
1.00,20.00,20.00
2.00,143.28,70.85
3.00,212.28,112.46
4.00,250.90,146.52
5.00,272.52,174.39
6.00,284.62,197.20
7.00,291.39,215.87
8.00,295.18,231.15
9.00,297.30,243.65
10.00,298.49,253.88
11.00,299.15,262.26
12.00,299.53,269.11
13.00,299.74,274.72
14.00,299.85,279.31
15.00,299.92,283.07
16.00,299.95,286.14
17.00,299.97,288.66
18.00,299.99,290.72
19.00,299.99,292.40
20.00,300.00,293.78
21.00,300.00,294.91
22.00,300.00,295.84
23.00,300.00,296.59
24.00,300.00,297.21
25.00,300.00,297.72
26.00,300.00,298.13
27.00,300.00,298.47
28.00,300.00,298.75
29.00,300.00,298.98
30.00,300.00,299.16
31.00,300.00,299.31
