m,  
npv-z, npv
0.010000, 0.000727
0.126582, 0.001187
0.253165, 0.001744
0.379747, 0.002597
0.506329, 0.003868
0.632911, 0.004915
0.759494, 0.006509
0.886076, 0.008558
1.012658, 0.010570
1.139241, 0.012624
1.265823, 0.015397
1.392405, 0.018186
1.518987, 0.021343
1.645570, 0.025598
1.772152, 0.029606
1.898734, 0.034758
2.025317, 0.039698
2.151899, 0.046737
2.278481, 0.054099
2.405063, 0.062481
2.531646, 0.071301
2.658228, 0.081130
2.784810, 0.092275
2.911392, 0.103564
3.037975, 0.115368
3.164557, 0.126990
3.291139, 0.138576
3.417721, 0.152780
3.544304, 0.165303
3.670886, 0.178969
3.797468, 0.193487
3.924051, 0.206662
4.050633, 0.216617
4.177215, 0.227553
4.303797, 0.237821
4.430380, 0.245005
4.556962, 0.251395
4.683544, 0.255005
4.810127, 0.257458
4.936709, 0.259922
5.063291, 0.259407
5.189873, 0.256201
5.316456, 0.251793
5.443038, 0.247460
5.569620, 0.240651
5.696203, 0.233036
5.822785, 0.223638
5.949367, 0.215544
6.075949, 0.204460
6.202532, 0.191949
6.329114, 0.178674
6.455696, 0.165634
6.582279, 0.151628
6.708861, 0.139146
6.835443, 0.126227
6.962025, 0.113282
7.088608, 0.101726
7.215190, 0.090834
7.341772, 0.080624
7.468354, 0.071100
7.594937, 0.062977
7.721519, 0.055229
7.848101, 0.048118
7.974684, 0.041288
8.101266, 0.034705
8.227848, 0.029494
8.354430, 0.024691
8.481013, 0.020457
8.607595, 0.016957
8.734177, 0.013477
8.860760, 0.010782
8.987342, 0.008900
9.113924, 0.007031
9.240506, 0.005398
9.367089, 0.004431
9.493671, 0.003556
9.620253, 0.002735
9.746835, 0.001907
9.873418, 0.001349
9.990000, 0.000945
