m,
npv-z,npv
 1.0000000E-002, 1.4836716E+000
 1.2658228E-001, 2.4212846E+000
 2.5316456E-001, 3.5577853E+000
 3.7974684E-001, 5.2971695E+000
 5.0632911E-001, 7.8889292E+000
 6.3291139E-001, 1.0026089E+001
 7.5949367E-001, 1.3277557E+001
 8.8607595E-001, 1.7456888E+001
 1.0126582E+000, 2.1560732E+001
 1.1392405E+000, 2.5749813E+001
 1.2658228E+000, 3.1406595E+001
 1.3924051E+000, 3.7095319E+001
 1.5189873E+000, 4.3535210E+001
 1.6455696E+000, 5.2212630E+001
 1.7721519E+000, 6.0388375E+001
 1.8987342E+000, 7.0897477E+001
 2.0253165E+000, 8.0974170E+001
 2.1518987E+000, 9.5331402E+001
 2.2784810E+000, 1.1034751E+002
 2.4050633E+000, 1.2744478E+002
 2.5316456E+000, 1.4543612E+002
 2.6582278E+000, 1.6548561E+002
 2.7848101E+000, 1.8821831E+002
 2.9113924E+000, 2.1124489E+002
 3.0379747E+000, 2.3532190E+002
 3.1645570E+000, 2.5902870E+002
 3.2911392E+000, 2.8266086E+002
 3.4177215E+000, 3.1163289E+002
 3.5443038E+000, 3.3717759E+002
 3.6708861E+000, 3.6505296E+002
 3.7974684E+000, 3.9466604E+002
 3.9240506E+000, 4.2153991E+002
 4.0506329E+000, 4.4184528E+002
 4.1772152E+000, 4.6415180E+002
 4.3037975E+000, 4.8509637E+002
 4.4303797E+000, 4.9975017E+002
 4.5569620E+000, 5.1278260E+002
 4.6835443E+000, 5.2014766E+002
 4.8101266E+000, 5.2515096E+002
 4.9367089E+000, 5.3017644E+002
 5.0632911E+000, 5.2912518E+002
 5.1898734E+000, 5.2258677E+002
 5.3164557E+000, 5.1359598E+002
 5.4430380E+000, 5.0475783E+002
 5.5696203E+000, 4.9086848E+002
 5.6962025E+000, 4.7533473E+002
 5.8227848E+000, 4.5616603E+002
 5.9493671E+000, 4.3965651E+002
 6.0759494E+000, 4.1704804E+002
 6.2025316E+000, 3.9152822E+002
 6.3291139E+000, 3.6445008E+002
 6.4556962E+000, 3.3785142E+002
 6.5822785E+000, 3.0928440E+002
 6.7088608E+000, 2.8382409E+002
 6.8354430E+000, 2.5747140E+002
 6.9620253E+000, 2.3106809E+002
 7.0886076E+000, 2.0749629E+002
 7.2151899E+000, 1.8527938E+002
 7.3417722E+000, 1.6445385E+002
 7.4683544E+000, 1.4502675E+002
 7.5949367E+000, 1.2845687E+002
 7.7215190E+000, 1.1265413E+002
 7.8481013E+000, 9.8148610E+001
 7.9746835E+000, 8.4217565E+001
 8.1012658E+000, 7.0789034E+001
 8.2278481E+000, 6.0160062E+001
 8.3544304E+000, 5.0363964E+001
 8.4810127E+000, 4.1726559E+001
 8.6075949E+000, 3.4588797E+001
 8.7341772E+000, 2.7489197E+001
 8.8607595E+000, 2.1993140E+001
 8.9873418E+000, 1.8154759E+001
 9.1139241E+000, 1.4341261E+001
 9.2405063E+000, 1.1010776E+001
 9.3670886E+000, 9.0378713E+000
 9.4936709E+000, 7.2541035E+000
 9.6202532E+000, 5.5777650E+000
 9.7468354E+000, 3.8889851E+000
 9.8734177E+000, 2.7524844E+000
 9.9900000E+000, 1.9285214E+000
