Time,Delta e_part,Delta e_gas,mass fuel gas,mass CO2,mass foliage,mass O2
25,-0.1134,0.1134,0.000029453,0.00002582,0.000000196,-0.0000162
27,-0.1134,0.1134,0.000029453,0.00002582,0.000000196,-0.0000162
